Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
12H trail run,,,,,,,,,,1,,,1
duathlon,,,,,1,,,1,,,,,2
indoor triathlon,1,,1,,,,,,,,,,2
kids run,,,1,2,1,3,3,2,3,1,1,,17
novelty run,,,,,,,,1,,,,,1
triathlon,,1,,,,,2,1,,,,,4
1M fun run,,,,,,,,,1,,1,,2
1M run,,,,1,,1,,,,,,,2
1M walk,,,,1,,2,,,2,,1,,6
3K run,,,,,,,1,,,,,,1
2M run,,,,,,,,,2,,,,2
2.5M walk,,,,,,,,,1,,,,1
3M obstacle run,,,,,,1,,,,,,,1
3M run,,1,,,,,,,,,,,1
3M walk,,1,,,,,,,,,,,1
5K fun run,,,,1,,,,2,1,1,,,5
5K novelty run,,,,,,2,1,4,2,1,,,10
5K run,,1,1,7,9,21,13,10,12,10,3,2,89
5K walk,,,,4,6,17,7,10,8,6,3,2,63
4M trail run,,,,,,1,,,,,,,1
5M run,,,,,,,,,,,1,,1
8K fun run,,,,,,,,,,1,,,1
10K run,,1,,5,3,7,4,4,4,7,2,,37
10K walk,,,,1,2,,1,,,,,,4
7M relay,,1,,,,,,,,,,,1
7M run,,1,,,,,,,,,,,1
14K run,,,,,,1,,,,,,,1
14K walk,,,,,,1,,,,,,,1
15K run,,,,,,1,,,,,,,1
10M run,,,,,,,,,1,,,,1
13.1M relay,,,,1,,,,1,1,,,,3
13.1M run,,,,1,1,1,,3,3,1,,,10
16M trail run,,,,,,,,1,,,,,1
26.2M relay,,,,,1,,,,2,,,,3
26.2M run,,,,,1,,,1,3,,,,5
50K relay,,,1,,,,,,,,,,1
50K trail run,,,1,,,,,1,,,,,2
50M trail run,,,,,,,,1,,,,,1
100K trail run,,,1,,,,,,,,,,1
Total,1,7,6,24,25,59,32,43,46,29,12,4,288
