Top 50 of 104
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
duathlon,,,,,1,2,2,1,1,1,,,8
fun run,,,,,1,1,,,1,,,,3
kids run,1,,1,4,7,4,6,3,12,14,9,,61
mud run,,,,,1,,1,,,,,,2
triathlon,,1,,,2,4,3,6,7,,,,23
walk,,,1,,,,1,1,,,,,3
1M fun run,,,1,,1,1,,1,,1,1,,6
1M run,1,,1,,,,2,1,,,,,5
1M trail run,,,,,1,,,,,1,,,2
1M walk,,,,,,2,,2,,,,,4
2K fun run,,1,,,1,,,,,,,,2
2K walk,,,,,1,,,,,,1,,2
3K run,,,,,,,,,2,1,,,3
3K walk,,,,1,,,,1,2,1,,,5
2M run,,,1,,,,,,1,,,1,3
2M walk,,,,,,,,,3,,,,3
4K run,,,,1,,,2,,,,,,3
3M run,1,,1,1,,,1,,1,,1,1,7
3M walk,,,,,,1,,,,,1,1,3
5K fun run,,,1,2,,1,,,1,,,,5
5K novelty run,,,,1,,1,,1,2,,,,5
5K obstacle run,,,,,1,,,1,1,,,,3
5K run,6,9,9,18,41,25,15,23,39,35,36,2,258
5K trail run,,,,1,9,6,2,2,9,6,3,1,39
5K walk,1,,1,6,25,16,7,4,19,19,15,1,114
3.5M run,,,,,,,,1,,1,,,2
4M run,2,4,,,,1,2,3,,,,,12
4M trail run,,,,1,1,,,,,,1,,3
4M walk,,,,,,,1,2,1,,,,4
7K run,,1,1,,,,1,,,,,,3
5M run,,,1,2,,1,3,,2,1,1,,11
5M trail run,,,,,,1,1,1,,1,1,,5
5M walk,,,,1,,,,,,,1,,2
8K run,,,,,,,,,,2,,,2
10K run,1,,1,2,6,1,5,2,1,4,2,,25
10K trail run,,,,,1,,,,1,1,,,3
10K walk,,,,,2,,,1,,1,,,4
7M run,,,,,,1,1,,,,,,2
12.5K trail run,,,,,1,,,1,,,,,2
15K run,,,,,,1,,1,,,,,2
10M relay,,,,,,1,,1,,,,,2
10M run,,,,,,1,,2,,1,1,,5
10M trail run,,,,,,2,,2,,,,,4
11M trail run,,,,,,,,,,1,1,,2
12M run,,,,,,,,,2,,,,2
13.1M relay,,,,,,,,1,2,1,,,4
13.1M run,,,2,2,4,2,,2,4,7,4,1,28
13.1M walk,,,,,1,,,,,1,,,2
26.2M relay,,,,,1,,,,1,,1,,3
26.2M run,,,,,3,,,,1,2,1,,7
Total,13,16,22,43,112,76,56,67,116,103,81,8,713
