Top 50 of 92
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,1,,,,,,,,,1,2
duathlon,,,,,1,1,,,1,,,,3
indoor triathlon,,,,2,,,,,,,,,2
kids run,1,1,,6,1,1,1,2,3,8,1,2,27
mud run,,,,,,,,,,2,,,2
novelty run,,,,,,,,,1,1,,,2
stair climb,,,2,,,,,,,,,,2
triathlon,,,,2,1,1,,2,6,2,,,14
youth triathlon,,,,,1,,2,,,,,,3
fun run,,,,,,1,,,,1,,,2
1K run,1,,1,,,,,,,,,,2
1K walk,,,1,1,,,,,,,,,2
1M fun run,,1,,1,,,,,2,3,1,,8
1M run,,,,,2,,,,,1,3,1,7
1M walk,1,3,2,2,7,1,1,,3,3,6,1,30
1.5M walk,,,2,,,,,,1,,,,3
3K run,,,,,,,,,,,1,,1
3K walk,,,,,1,,,,,,1,,2
2M run,,,,,,,,,,1,1,,2
2M walk,1,,,,,,,,,1,1,,3
5K fun run,,1,1,3,1,,1,,1,,1,2,11
5K mud run,,,,,,,,,1,,,,1
5K novelty run,1,2,1,,,,,1,1,5,2,,13
5K run,5,12,19,17,21,9,7,6,13,28,21,8,166
5K trail run,,1,2,3,1,1,1,1,2,1,,1,14
5K walk,,3,5,7,7,1,4,1,4,6,5,6,49
5M trail run,,,,,,,,1,,,,,1
8K run,,,,1,,,,,2,1,1,,5
1H run,,,,,,,1,,,,1,,2
6M obstacle run,,,,,,,,,,1,,,1
10K obstacle run,,,,,,,,,,1,,,1
10K run,2,3,1,3,4,3,4,2,1,9,7,4,43
10K trail run,,1,1,3,1,1,,1,1,,,1,10
21K trail run,,,,1,,,,,,,,,1
13.1M relay,,,1,,,,,,,,,1,2
13.1M run,,1,4,3,3,3,1,3,5,4,4,4,35
13.1M trail run,,1,1,2,3,,,,,1,1,2,11
25K run,,,,,,,,,,,1,,1
25K trail run,,,,1,1,,,,,1,,,3
3H run,,,,,,,,,,1,1,,2
30K trail run,,1,,,1,,,,,,1,,3
26.2M run,,1,1,,1,1,,2,,1,2,1,10
26.2M trail run,,1,1,,,,,,,,1,2,5
50K run,,,1,,,,,,,,1,,2
50K trail run,,,,,2,,,1,,1,,1,5
55K trail run,,,,1,,,1,,,,,,2
6H run,,,1,,,,,,,,1,,2
50M trail run,,,1,,2,,1,,,,,,4
12H run,,,1,,,,,,,,1,,2
100M trail run,,,,,1,,1,,,,,,2
Total,12,33,51,59,63,24,26,23,48,84,67,38,528
