Top 50 of 232
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,2,2,1,,1,2,1,,,9
duathlon,,,4,7,13,4,6,2,4,11,1,,52
fun run,1,,2,2,3,5,2,2,3,9,1,,30
indoor triathlon,2,3,5,2,,,,,,,,,12
kids run,,2,4,24,48,37,27,28,49,68,26,7,320
run,2,2,2,1,,1,,1,,1,1,,11
stair climb,,1,1,,,,,,,3,,,5
track meet,1,1,1,3,1,9,11,1,,,,1,29
triathlon,,,,2,9,28,26,30,20,4,,,119
walk,,,,,1,4,,1,4,4,1,,15
youth triathlon,,,,,3,1,5,3,3,,,,15
1K fun run,,,,,1,,1,1,1,2,1,,7
1K run,,,,,,,1,,2,1,1,1,6
1K walk,,,,,,1,1,,1,1,2,,6
1M fun run,,1,2,6,19,5,5,7,10,9,7,3,74
1M run,3,1,,7,10,13,9,10,14,4,3,1,75
1M walk,,,1,7,13,13,3,7,12,11,5,3,75
1.5M walk,,,,,1,1,,,1,,2,1,6
3K run,1,,1,,1,,,1,1,2,,,7
3K walk,,,,,5,3,1,1,2,4,1,,17
2M run,2,1,3,,1,,2,,2,,1,1,13
2M walk,,,3,2,3,3,1,3,3,8,3,,29
2.5M run,,1,1,,,,,,,,2,1,5
4K run,,,,,1,,2,1,,,2,,6
3M run,2,,,,,1,2,,2,1,,1,9
5K fun run,,1,1,2,4,2,1,7,1,3,1,3,26
5K mud run,,,,1,2,3,2,2,1,4,,,15
5K novelty run,,,,3,3,5,5,6,7,11,1,,41
5K obstacle run,,,,,2,,,2,2,2,,,8
5K run,21,20,36,105,186,143,104,120,192,211,105,42,1285
5K trail run,2,2,1,2,4,4,2,7,10,14,3,1,52
5K walk,3,5,11,52,73,56,40,51,87,89,29,11,507
3.5M run,1,,,,2,4,1,,,,1,,9
6K run,,,,,,1,,1,1,2,1,,6
4M run,1,6,5,10,5,3,9,7,4,1,4,3,58
4M trail run,,,,,2,2,2,,2,,,,8
4M walk,,1,,3,2,1,,1,1,1,,,10
5M run,3,5,4,5,2,6,3,4,6,2,12,1,53
8K run,,1,2,,2,4,2,1,2,,2,,16
10K run,4,3,7,18,30,17,14,27,21,36,20,8,205
10K trail run,,,,3,1,2,,2,1,4,1,1,15
10K walk,,,,,1,,,1,,4,,1,7
15K run,1,,3,2,2,,1,1,2,2,2,2,18
10M run,2,2,2,,3,1,2,2,3,1,,,18
13.1M run,3,2,7,13,17,5,3,8,18,21,2,3,102
13.1M trail run,,,,,2,,,2,1,1,,,6
26.2M relay,,1,,1,2,,,,2,2,,,8
26.2M run,,2,,1,7,3,,1,5,6,3,,28
50K trail run,,,,1,1,,1,1,1,,1,1,7
50M trail run,,,,1,1,,1,,2,,,,5
Total,55,64,109,288,491,392,298,354,508,561,248,97,3465
