Top 50 of 222
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,1,3,4,5,2,2,3,1,,,21
duathlon,,,,3,3,5,4,6,2,,,,23
fun run,2,,5,3,4,,2,,5,3,1,,25
indoor triathlon,1,3,3,1,,,,,,,,2,10
kids run,4,4,16,82,74,40,27,22,102,149,29,9,558
mud run,,,,,,,,2,2,1,,,5
triathlon,,,,3,15,13,6,18,9,2,,,66
walk,,,2,4,4,1,,,3,4,3,,21
youth triathlon,,,,1,3,6,4,9,2,,,,25
1K fun run,,,,2,1,1,,,1,2,1,,8
1K walk,,,1,,,,,,2,5,1,,9
1M fun run,3,1,8,18,11,17,7,16,27,28,15,6,157
1M run,1,1,5,15,18,10,8,14,13,14,8,4,111
1M walk,1,2,9,35,42,40,15,19,36,54,19,9,281
2K walk,1,1,1,5,,1,1,1,3,2,,1,17
1.5M fun run,,,,,,1,,3,,1,,,5
1.5M walk,,,,3,1,,,3,2,1,2,1,13
2.5K walk,,,,1,1,1,,,,1,2,1,7
3K walk,,,1,4,,1,,2,1,1,,,10
2M fun run,,1,1,1,,1,,2,,1,,,7
2M run,1,1,2,1,1,3,2,,1,2,4,1,19
2M walk,2,2,4,7,9,7,2,10,10,10,5,,68
5K fun run,,1,2,3,4,3,,1,6,5,4,2,31
5K mud run,,,,2,3,2,,2,3,1,,,13
5K novelty run,,,2,8,14,6,2,3,9,15,1,,60
5K obstacle run,,,,1,,1,,1,3,1,1,,8
5K run,19,20,85,191,237,185,112,121,209,288,157,57,1681
5K running tour,,,,,,,,,,,4,2,6
5K trail run,1,,4,12,7,6,3,5,13,19,2,,72
5K walk,2,5,30,88,95,73,50,46,99,128,64,20,700
6K run,,,1,,2,2,,,2,2,1,,10
4M run,,1,2,2,1,2,2,5,1,2,5,,23
4M walk,,1,,,,1,1,1,,2,,,6
5M run,3,2,3,7,10,8,7,6,7,10,9,2,74
5M trail run,,,1,1,3,2,1,,1,2,2,,13
5M walk,1,,,1,1,,1,,1,1,2,,8
8K run,1,1,2,1,1,,3,1,,2,3,,15
10K run,3,7,11,24,15,22,9,17,14,32,9,5,168
10K trail run,1,,1,7,4,7,2,3,3,7,1,,36
10K walk,,,,1,1,2,1,,1,1,1,,8
15K run,,1,,3,1,1,2,1,1,1,1,,12
15K trail run,,,,2,,2,4,1,,2,1,,12
10M run,3,,3,4,3,,1,4,,2,4,,24
10M trail run,,,,,1,,1,1,1,1,1,,6
13.1M run,,,7,13,8,10,5,4,12,15,7,1,82
13.1M trail run,,1,,4,2,1,,3,3,1,,,15
30K trail run,,,,,1,3,1,1,1,,,,7
26.2M run,,,2,2,4,4,,2,3,3,5,,25
50K trail run,,,,2,2,2,,,,4,,,10
50M trail run,,,,,2,1,1,1,,,,,5
Total,50,56,215,571,613,499,289,359,617,829,375,123,4596
