Top 50 of 54
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,,,1,1,1,,,,,3
aquathon,,,,,,,1,,,,,,1
duathlon,,,,,,,1,,2,1,,,4
kids run,1,,2,5,6,6,6,5,3,7,4,,45
relay,,,,,,,,1,,,,,1
run,,,,,,1,,,,,,,1
stair climb,,,1,,,,,,,,,,1
triathlon,,,,,1,1,1,5,5,,,,13
walk,,,,,1,,1,,,,,,2
youth triathlon,,,,,,,,,2,,,,2
1K fun run,,,,1,,1,,,,,,,2
1M fun run,,,,1,,,,,,,,,1
1M novelty run,,,,,,,,,1,,,,1
1M run,,,,,,4,5,4,,1,,,14
1M walk,,,,,,,,1,2,2,1,,6
1.5M run,,,,,,,,,,,1,,1
1.5M walk,,,,,,,,,1,,1,,2
3K walk,,,,,1,,,,1,1,,,3
2M walk,,,,,1,,,,1,1,,,3
3M obstacle run,,,,,,,1,,,,,,1
3M run,,,,,,3,5,4,1,,,,13
3M walk,,,,,,,,1,,,1,,2
5K fun run,,,,1,,,,,,,,,1
5K mud run,,,,,,,,,,1,,,1
5K novelty run,,,,,,,,1,1,1,,,3
5K obstacle run,,,,,2,,,,,1,1,,4
5K run,1,1,9,21,20,18,2,10,17,24,12,2,137
5K trail run,1,,,,,,,,1,2,1,1,6
5K walk,,,1,10,7,8,,4,4,10,6,1,51
3.3M walk,,,,,,,,,,,,1,1
3.5M run,,,,,,,,,1,,,,1
4M fun run,,,,,,,,,1,,,,1
4M run,,,,,,,1,1,1,,,,3
4.2M run,,,,,,,,,,1,,,1
4.8M run,,,,1,,,1,,,,,,2
4.8M walk,,,,1,,,,,,,,,1
5M run,1,,,5,4,4,5,6,,,1,,26
5M trail run,,,1,,,,1,,,,,,2
10K run,,,,2,2,2,,,,2,1,1,10
10K trail run,,1,,,,,,,,,,,1
8M trail run,,,,,,,,,,,1,,1
15K run,,,1,,,,,,1,,,,2
10M run,,,,,,1,2,,,,,,3
10M trail run,,,1,,,,1,,,,,,2
10M walk,,,,,,,1,,,,,,1
13.1M run,,,1,4,4,1,1,1,2,2,1,,17
26.2M run,,,,,3,,,,,1,,,4
6H run,,,,,,,,1,,,1,,2
12H run,,,,,,,,1,,,,,1
100M run,,,,,,,,1,,,,,1
Total,4,2,17,52,52,51,37,48,48,58,33,6,408
