Top 50 of 143
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
duathlon,,,1,4,,,,,2,1,,,8
fun run,,,2,,,,2,,,2,2,,8
kids run,1,2,2,9,8,5,3,8,16,27,16,4,101
track meet,,,,,2,4,,,,1,,,7
triathlon,,,,3,10,7,7,10,7,4,,,48
walk,,,,,,1,3,,1,1,,,6
youth triathlon,,,,,3,3,,6,2,,,,14
1K fun run,,,,,,1,,,1,1,1,,4
1K walk,,,,1,,,,,,1,,,2
1M fun run,,2,7,12,9,5,3,1,8,17,9,2,75
1M run,2,,3,3,8,4,1,8,5,7,9,3,53
1M walk,,1,7,10,11,5,1,6,9,23,4,6,83
3K walk,,,,1,1,1,1,1,1,1,,,7
2M run,,,1,,,,1,,,1,1,,4
2M walk,,,2,,,,1,,2,2,1,1,9
5K fun run,2,,1,,4,,,,,4,2,1,14
5K mud run,,,,,2,,,1,3,,,,6
5K novelty run,,,4,8,6,4,6,3,3,9,1,,44
5K run,14,14,61,80,84,39,32,43,77,115,83,36,678
5K trail run,1,,1,1,3,3,,1,1,1,1,,13
5K walk,3,7,17,29,24,16,11,14,29,40,21,9,220
6K run,,,1,,2,,,,1,,,1,5
6K walk,,,,,2,,,,1,,,,3
4M run,,,1,,3,,5,,1,3,6,1,20
4M trail run,1,,,,1,1,,,,,,,3
4M walk,,,,,2,,1,,,1,1,,5
7K run,,,1,,2,1,,,,,,,4
5M run,1,3,,2,,1,,,2,3,4,1,17
8K run,,,1,,2,,1,2,1,,1,1,9
6M run,1,,,1,,,1,,,1,,1,5
6M trail run,,,,1,,,,,,2,,1,4
10K run,1,3,11,9,12,3,3,4,13,12,13,3,87
10K trail run,1,1,,,,,,1,1,2,,2,8
7M trail run,,,,,,,2,1,,,,,3
8M run,1,,,,,1,,,,,1,1,4
15K run,,1,3,1,1,,,,4,1,,,11
15K trail run,,,1,,1,,,1,,1,,,4
10M run,1,1,1,2,,2,,,,1,1,,9
11M trail run,,1,,2,,,,,,1,,,4
13.1M run,1,5,6,8,6,2,,2,3,12,8,4,57
13.1M trail run,1,2,,2,,1,,1,,,1,1,9
25K trail run,,,1,,,,,,1,,1,1,4
20M trail run,,,,,,1,,1,,1,,,3
26.2M relay,,,1,1,1,,,,,1,,,4
26.2M run,,2,3,5,1,,1,1,1,5,3,1,23
26.2M trail run,1,1,,1,,,,,,,1,,4
50K run,2,,,,,,,,,,1,,3
50K trail run,,1,1,2,,,,,2,2,2,1,11
50M trail run,,,,,,,,1,,,1,1,3
24H run,1,,,,,,,,,1,,,2
Total,36,47,141,198,211,111,86,117,198,308,196,83,1732
