Top 50 of 123
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,2,,,,,,1,,,3
duathlon,,,1,2,3,,,2,1,,2,,11
fun run,,,,,1,,,1,,,1,,3
indoor triathlon,2,1,2,1,,,,,,,,,6
kids run,,1,6,5,14,7,4,5,12,15,5,1,75
run,,,,,,,,,2,,,,2
triathlon,,1,2,5,8,8,7,13,11,2,2,,59
youth triathlon,1,,,,,1,1,1,1,1,,,6
1K fun run,,,,,2,,,1,,1,,,4
1K run,,,,3,,,1,1,,,,,5
1K walk,,,,2,1,,,,,,,,3
1M fun run,,,,2,4,3,3,2,3,4,2,1,24
1M run,,,1,3,6,2,1,1,1,2,2,,19
1M walk,,,1,4,7,3,1,2,3,3,1,,25
2K run,,,,,,,,2,,,,,2
2M obstacle run,,,,,,1,,1,,,,,2
2M walk,,,,,1,,,,,1,,,2
3M trail run,,,,,,1,1,1,,,,,3
5K fun run,,,1,1,3,3,2,2,1,2,,,15
5K mud run,,,,,,2,,2,1,,,,5
5K novelty run,,1,,1,3,1,1,3,2,4,1,,17
5K obstacle run,,1,,,2,,,,1,,,,4
5K run,6,10,21,33,56,32,32,34,39,47,28,6,344
5K trail run,1,,,4,1,2,,,1,4,2,,15
5K walk,,2,6,10,18,15,11,5,13,13,7,1,101
6K run,,,,,1,,,,1,1,1,,4
5M trail run,,,,,,1,1,2,,,,,4
5M walk,,,,,1,,,1,,,,,2
8K trail run,,,2,,,,1,1,,,,,4
10K mud run,,,,,,1,,,1,,,,2
10K run,,4,10,4,16,8,12,8,14,11,6,2,95
10K trail run,1,,,,,1,2,,1,3,,,8
10K walk,,,1,,,1,,,,,1,,3
8M trail run,,,,,,1,1,1,,,,,3
15K run,,1,,1,,,1,,1,,,,4
15K trail run,,,,,,,,1,,1,,,2
10M run,,,1,1,,,,,,1,,,3
11M trail run,,,,,,1,1,1,,,,,3
13.1M run,1,3,2,11,13,5,9,15,12,12,5,2,90
13.1M trail run,,,2,,,1,1,2,2,1,2,,11
30K trail run,,,1,1,,,,,,1,,,3
26.2M relay,,,,,1,,,,1,,,,2
26.2M run,,1,1,2,3,1,2,,5,5,,1,21
26.2M trail run,1,,,,,,,2,2,,1,,6
50K trail run,1,,3,2,,1,,,1,2,1,,11
50M relay,,,1,,1,,,,,,,2,4
50M trail run,,,2,1,,2,1,1,1,,,,8
100K trail run,,,,1,,,,1,,,,,2
100M run,,,,1,,,,,1,1,,,3
100M trail run,,,2,1,,1,,,1,,,,5
Total,14,26,69,104,166,106,97,115,136,139,70,16,1058
