Top 50 of 144
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,1,1,1,1,3,2,1,,,10
duathlon,,,1,1,2,2,2,1,1,2,1,,13
fun run,1,2,3,6,5,5,,,1,1,2,2,28
indoor triathlon,3,,,1,1,,,,,,,,5
kids run,4,2,8,32,29,10,6,9,25,54,28,10,217
mud run,,1,,,,1,1,,1,,,,4
stair climb,,1,,1,,,,,1,,,,3
track meet,2,1,1,,1,3,1,2,,,,,11
triathlon,,,1,5,14,13,9,12,9,7,,,70
walk,,,1,1,2,,,,1,,3,,8
youth triathlon,,,,,3,3,1,4,2,,,,13
1K fun run,,,1,3,4,1,3,1,1,3,3,,20
1K run,,,1,1,1,1,,,1,,1,,6
1M fun run,2,2,11,17,20,10,7,4,13,22,14,9,131
1M novelty run,1,2,,,1,,,1,,,,,5
1M run,1,,4,10,14,,5,5,8,16,7,3,73
1M walk,3,1,7,13,14,5,2,6,11,12,4,5,83
2K walk,,,,,,1,,1,1,,2,,5
1.5M fun run,,,,,,,,,,3,,,3
1.5M walk,,,,,,1,,,1,2,,,4
3K walk,,1,,2,,,,,,1,3,1,8
2M walk,,,1,,2,,,,1,2,,,6
3M run,,1,,,,,1,1,,2,,1,6
5K fun run,,,1,2,1,1,2,1,2,4,3,2,19
5K mud run,,,,,3,,,1,2,,,,6
5K novelty run,,,1,12,3,4,,2,6,5,2,,35
5K obstacle run,,,1,1,1,,,,1,3,,,7
5K run,25,19,54,117,133,54,41,37,69,144,109,50,852
5K trail run,1,,7,4,4,6,3,1,4,15,2,1,48
5K walk,4,3,21,40,51,18,16,11,29,58,29,16,296
4M run,,1,3,1,5,3,2,3,4,5,6,1,34
4M walk,,,,1,1,1,,1,1,1,,,6
5M run,1,,2,,,1,2,1,2,1,4,1,15
5M trail run,,,4,2,,1,1,,3,1,3,1,16
8K run,2,5,3,5,6,2,2,2,7,3,3,1,41
8K walk,,,,1,1,1,,,2,1,1,,7
10K run,4,8,2,21,24,7,7,7,10,19,17,4,130
10K trail run,2,,4,5,3,1,,1,4,4,1,1,26
10K walk,,,,2,,,,,1,1,,,4
15K run,1,,,2,1,1,,,,,,1,6
10M run,2,2,3,2,1,,,1,4,,4,,19
10M trail run,,,4,3,,,,,2,2,4,,15
13.1M run,1,3,4,12,6,4,,2,7,9,6,2,56
13.1M trail run,,2,3,1,2,,,,3,2,2,,15
13.1M walk,,,1,,,1,,,1,,,,3
25K trail run,,,1,,1,1,,,,1,,,4
26.2M run,,,3,4,,1,,,1,2,1,,12
26.2M trail run,,,1,1,1,,,,2,,2,,7
50K trail run,2,,2,2,1,1,,1,2,1,,1,13
50M trail run,,,1,1,,,,,2,,1,,5
Total,62,57,166,336,363,166,115,122,251,410,268,113,2429
