Top 50 of 91
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
fun run,,,,,,,1,,1,1,,,3
kids run,2,,,1,7,5,2,7,6,5,4,1,40
mud run,,,,,,2,,,,,,,2
track meet,,,,,1,,1,,,,,,2
triathlon,1,,,,2,3,5,6,,1,,,18
walk,,,,,1,1,,,,,1,,3
1K fun run,,,,,,1,,1,,2,,,4
1K run,,,,,2,4,5,3,,,,,14
1M fun run,,,,,2,,1,,,2,,,5
1M run,,,,,1,1,1,,,1,,1,5
1M walk,,,,,2,1,1,1,1,3,,,9
2.5K run,1,,,,,,,,,1,,,2
2.5K walk,,,,,,,,,,1,,,1
3K run,,,,,,4,5,3,,,,,12
2M fun run,,,,,,,,1,,,,,1
2M run,,1,,,1,,,,2,1,,,5
3M run,,,,,1,,1,,,,,,2
5K fun run,,,1,,4,1,1,3,,1,2,1,14
5K mud run,,,,,,,1,,,,,,1
5K novelty run,,,,,,,1,1,1,,1,,4
5K obstacle run,,,,,,,,1,,1,,,2
5K run,3,1,2,4,20,21,26,17,27,29,17,3,170
5K trail run,,,,1,,3,2,1,1,4,,,12
5K walk,,,1,2,8,6,7,6,8,14,8,1,61
3.7M run,,,,,,1,,,,,,,1
4M fun run,,,,,,,,,,2,,,2
4M run,,,,,,1,1,1,,,,,3
4.3M run,,,,,,,,1,,,1,,2
4.4M run,,,,,,,,1,,,,,1
5M run,,,,,3,,1,2,1,1,,,8
5.7M run,,,,,,,1,,,,,,1
6M run,,,,,,,,,1,,,,1
10K obstacle run,,,,,,1,,1,,2,,,4
10K run,,,3,,7,6,7,4,6,5,3,,41
10K trail run,,,,,,1,1,,,2,,,4
10K walk,,,,,1,,1,1,,,1,,4
10.4K run,,,,,,,,,,1,,,1
8M run,,,,,,,1,,,1,,,2
8.5M run,,,,1,,,,,,,,,1
15K run,,,,,1,1,,,,,,,2
10M run,,,,,,1,,1,,,,,2
13.1M relay,,,,,2,,,,,1,,,3
13.1M run,,,1,2,5,3,3,2,5,5,1,,27
13.1M trail run,,,,,,,,1,,,,,1
25K trail run,,,,,,1,,,1,,,,2
26.2M relay,,,,,1,,1,,,,,,2
26.2M run,,,1,,3,,1,,,2,,,7
50K run,,,1,,,,,,1,,,,2
50M run,,,1,,,,,,1,,,,2
100M trail run,,,,,1,,1,,,,,,2
Total,7,2,11,11,76,69,80,66,63,89,39,7,520
