State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,17,36,71,94,80,42,25,43,45,81,59,30,623
Alaska,2,1,1,8,14,13,11,20,10,6,3,3,92
Arizona,25,36,56,46,37,14,15,19,29,53,64,30,424
Arkansas,1,4,17,46,42,16,5,13,33,50,28,10,265
California,112,111,175,201,248,145,109,118,193,288,253,122,2075
Colorado,19,13,21,62,92,78,52,83,90,86,48,24,668
Connecticut,5,3,25,45,76,57,31,37,67,88,49,12,495
Delaware,4,6,22,32,36,26,16,22,30,41,20,6,261
District of Columbia,3,3,11,8,21,6,1,3,15,22,10,6,109
Florida,160,224,224,238,194,62,63,69,143,264,264,179,2084
Georgia,66,102,221,226,224,97,51,109,169,274,184,107,1830
Hawaii,8,1,14,7,6,8,6,6,9,11,9,7,92
Idaho,2,2,6,15,26,16,20,13,26,22,12,5,165
Illinois,14,14,56,122,200,145,107,95,246,220,109,35,1363
Indiana,11,16,43,106,117,108,92,98,130,143,75,32,971
Iowa,5,4,16,44,58,71,51,71,66,70,28,10,494
Kansas,5,12,23,48,56,47,32,42,62,66,34,14,441
Kentucky,8,7,34,46,67,46,28,41,67,85,48,14,491
Louisiana,10,20,45,42,45,15,8,15,38,64,48,32,382
Maine,4,3,11,30,59,53,42,44,57,48,25,6,382
Maryland,10,6,47,105,120,59,31,38,89,120,92,31,748
Massachusetts,36,24,56,111,215,126,73,90,174,209,115,45,1274
Michigan,29,34,53,104,194,172,147,147,197,208,97,51,1433
Minnesota,26,19,22,54,125,131,101,143,141,104,36,24,926
Mississippi,12,15,29,39,30,11,9,13,17,41,28,11,255
Missouri,9,18,59,96,110,72,49,53,105,112,84,23,790
Montana,1,2,8,17,30,18,15,17,17,29,11,2,167
Nebraska,4,5,11,32,20,42,32,23,37,45,12,10,273
Nevada,6,16,24,23,23,10,9,8,18,35,24,11,207
New Hampshire,7,9,11,23,51,33,18,27,53,41,41,4,318
New Jersey,16,12,35,95,163,130,62,53,148,211,88,33,1046
New Mexico,7,10,10,19,21,15,13,17,25,29,23,5,194
New York,25,23,38,113,199,160,117,146,214,243,111,47,1436
North Carolina,25,44,164,211,233,96,56,80,156,221,189,91,1566
North Dakota,,2,1,8,9,23,14,16,15,12,3,2,105
Ohio,18,19,68,190,255,235,165,236,213,262,128,49,1838
Oklahoma,9,7,29,32,35,30,20,26,54,55,37,14,348
Oregon,15,26,29,40,81,67,59,64,65,75,37,29,587
Pennsylvania,20,21,94,218,266,203,119,133,243,329,166,59,1871
Rhode Island,2,1,9,22,22,21,8,15,20,29,14,3,166
South Carolina,23,28,59,78,85,27,22,25,40,62,65,33,547
South Dakota,,2,3,8,13,15,10,10,17,7,5,,90
Tennessee,17,14,67,88,99,47,37,48,84,125,88,37,751
Texas,108,129,221,323,270,118,105,91,226,337,294,151,2373
Utah,7,11,22,39,65,41,36,42,45,57,31,6,402
Vermont,3,1,3,5,25,25,32,23,29,34,20,4,204
Virginia,26,20,64,137,144,65,46,43,84,169,115,54,967
Washington,20,20,48,62,80,72,82,69,82,78,55,33,701
West Virginia,2,1,10,19,24,14,15,19,15,44,15,6,184
Wisconsin,25,26,41,65,147,137,113,129,149,142,72,27,1073
Wyoming,1,,3,5,17,16,14,14,8,8,7,,93
Total,990,1183,2430,3847,4869,3296,2394,2819,4305,5455,3473,1579,36640
