State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,,,1,2,1,,,1,1,,1,,7
Alaska,,,,,,,,,,,,,
Arizona,,2,2,1,4,2,2,,4,4,1,,22
Arkansas,,,2,,3,,,3,1,1,,,10
California,5,3,4,7,9,4,5,6,7,6,6,,62
Colorado,1,1,,,1,2,2,4,1,2,,1,15
Connecticut,,,1,,5,4,,,,1,,,11
Delaware,,,,1,,2,,1,2,,,,6
District of Columbia,,,,,,,,,,,,,
Florida,1,3,3,4,4,3,5,5,2,3,1,3,37
Georgia,,,2,3,4,3,1,4,2,4,,,23
Hawaii,,,1,,,,,,2,2,,,5
Idaho,,,,,,,1,2,,1,,,4
Illinois,,,2,,4,5,4,4,6,2,,,27
Indiana,,,,,4,4,4,5,2,,,,19
Iowa,,,1,,1,1,1,4,,,1,,9
Kansas,,,,2,3,2,3,,1,,,,11
Kentucky,,,,,1,,,2,2,,,,5
Louisiana,1,1,1,1,3,1,1,,,,,1,10
Maine,,,1,,1,,,2,1,1,1,,7
Maryland,,,,1,2,2,3,2,2,3,,,15
Massachusetts,,,,2,5,1,1,1,,3,,,13
Michigan,,,,1,7,6,6,8,8,1,,,37
Minnesota,,,,,8,2,1,2,5,,,,18
Mississippi,,1,2,1,2,1,1,,2,1,,,11
Missouri,,,,2,6,2,2,1,2,,1,,16
Montana,,,,,1,1,3,1,,,,,6
Nebraska,,,,1,1,2,1,1,,1,,,7
Nevada,,,,,1,1,,,1,,,,3
New Hampshire,,,,,1,2,2,1,1,1,,,8
New Jersey,,,,1,7,3,7,6,9,4,,,37
New Mexico,,1,,2,,2,,,,,,,5
New York,,,3,7,13,4,6,2,4,11,1,,51
North Carolina,,1,2,2,4,,,3,3,2,,,17
North Dakota,,,,,1,,,1,,,,,2
Ohio,,1,,4,7,10,11,17,4,,,,54
Oklahoma,,,1,,1,,2,1,,1,,,6
Oregon,,,,3,3,4,3,2,1,2,,,18
Pennsylvania,,,,3,3,5,4,6,2,,,,23
Rhode Island,,,,,,,1,,2,1,,,4
South Carolina,,1,1,2,1,2,,1,,1,,,9
South Dakota,,,,,2,1,,2,1,,,,6
Tennessee,,,1,4,,,,,2,1,,,8
Texas,,2,3,6,3,2,,,3,3,3,3,28
Utah,,,1,2,3,,,2,1,,2,,11
Vermont,,,,,,,1,,,,,,1
Virginia,,,1,1,2,2,2,1,1,2,1,,13
Washington,2,1,1,3,3,2,3,3,3,,,,21
West Virginia,,,,,,,1,1,,,,,2
Wisconsin,1,,,2,3,3,4,4,3,1,,,21
Wyoming,,,,,,,,1,,,,,1
Total,11,18,37,71,138,93,94,113,94,66,19,8,762
