State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,3,1,5,2,1,2,2,,3,6,2,2,29
Alaska,1,1,1,,3,5,3,7,1,2,,,24
Arizona,1,2,2,3,,1,1,1,4,2,3,3,23
Arkansas,1,1,,2,,1,1,,,3,1,1,11
California,18,13,10,16,12,12,9,17,14,21,20,14,176
Colorado,4,3,1,8,7,3,5,7,12,10,2,,62
Connecticut,1,1,,,3,1,1,7,3,1,,1,19
Delaware,1,,2,,,,,,1,3,1,,8
District of Columbia,,,,3,1,,,1,2,2,1,1,11
Florida,7,6,12,6,3,,1,2,3,10,9,4,63
Georgia,5,7,5,6,5,1,2,4,,9,4,4,52
Hawaii,1,1,1,1,2,1,1,3,,1,2,,14
Idaho,2,,,1,1,,3,1,3,,1,,12
Illinois,2,2,4,3,6,6,3,2,5,4,7,2,46
Indiana,,3,2,5,8,1,1,3,10,7,3,,43
Iowa,,,,2,2,1,2,2,2,6,2,1,20
Kansas,,1,,,1,1,2,,2,2,1,2,12
Kentucky,3,1,4,1,,4,1,,1,,,2,17
Louisiana,1,3,1,,1,1,,,,4,3,2,16
Maine,,1,,2,1,1,,1,2,2,,,10
Maryland,2,2,3,4,3,1,3,4,1,4,4,5,36
Massachusetts,,4,1,6,5,2,4,3,5,8,4,,42
Michigan,2,1,1,2,,5,6,6,13,2,2,,40
Minnesota,,1,3,4,6,4,2,6,11,3,1,,41
Mississippi,1,1,1,,,,,,,,3,,6
Missouri,1,2,4,2,2,2,2,2,5,5,1,5,33
Montana,,,,1,3,3,4,4,1,1,1,,18
Nebraska,,,2,1,2,,,3,,3,1,,12
Nevada,,1,,1,,,,2,2,,3,,9
New Hampshire,,,,,2,6,1,7,,2,2,,20
New Jersey,1,3,3,2,4,,4,3,4,6,3,1,34
New Mexico,,,1,1,2,,1,2,2,,,1,10
New York,4,3,5,2,10,5,7,10,10,6,5,3,70
North Carolina,5,6,4,6,5,4,1,3,8,5,7,4,58
North Dakota,,1,,,,2,,,1,,,,4
Ohio,3,3,6,4,3,6,2,6,5,3,5,3,49
Oklahoma,1,,1,3,,,,1,,2,,,8
Oregon,2,4,6,3,7,5,3,5,5,5,7,3,55
Pennsylvania,4,2,5,12,6,6,11,7,4,9,10,2,78
Rhode Island,,,2,,,1,3,,1,,1,,8
South Carolina,4,3,1,2,3,1,1,2,2,2,2,,23
South Dakota,,,,,,,1,1,2,1,1,,6
Tennessee,4,3,8,5,3,4,2,2,4,7,2,2,46
Texas,3,6,7,11,7,2,2,3,9,12,12,3,77
Utah,,1,1,3,1,2,3,3,2,3,1,,20
Vermont,,,,1,1,3,2,1,,2,,,10
Virginia,4,3,9,8,3,2,,3,8,4,9,2,55
Washington,7,3,9,6,12,7,4,5,10,8,3,3,77
West Virginia,1,,,1,3,1,,1,,4,,,11
Wisconsin,,2,3,2,4,5,4,3,4,8,5,2,42
Wyoming,,,,,1,3,1,,1,2,,,8
Total,100,102,136,154,155,124,112,156,188,212,157,78,1674
