State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,12,19,37,40,39,21,14,20,32,38,30,17,319
Alaska,4,3,6,3,4,17,13,13,6,8,6,5,88
Arizona,14,17,34,24,19,11,12,7,19,36,44,14,251
Arkansas,6,1,10,16,13,8,3,6,10,14,9,2,98
California,34,42,65,64,77,60,67,62,70,95,56,40,732
Colorado,8,11,10,25,40,50,42,32,40,34,17,8,317
Connecticut,2,6,14,19,32,26,35,27,35,36,16,4,252
Delaware,2,1,3,10,9,5,2,4,5,14,2,,57
District of Columbia,2,3,2,3,6,3,2,1,4,6,4,1,37
Florida,44,51,60,65,62,25,24,25,41,99,68,52,616
Georgia,21,50,91,97,91,42,26,51,65,102,70,45,751
Hawaii,3,3,1,2,4,1,4,4,7,5,3,2,39
Idaho,3,3,2,7,7,6,9,4,13,15,4,1,74
Illinois,10,5,14,30,52,51,30,35,66,70,35,10,408
Indiana,4,5,15,17,29,31,47,31,37,27,26,16,285
Iowa,1,3,6,14,17,17,16,19,19,30,16,1,159
Kansas,1,6,6,8,16,21,13,13,14,26,13,5,142
Kentucky,4,5,7,15,16,11,6,14,21,17,6,6,128
Louisiana,4,12,22,14,17,11,10,11,15,26,22,17,181
Maine,1,3,1,7,12,13,19,18,13,10,5,2,104
Maryland,7,4,8,35,38,18,19,17,45,43,30,13,277
Massachusetts,18,13,13,26,68,53,44,36,37,49,34,15,406
Michigan,9,12,15,31,54,50,57,45,41,57,36,13,420
Minnesota,3,5,10,13,35,44,38,19,38,20,8,2,235
Mississippi,3,6,10,16,14,5,7,8,6,22,12,7,116
Missouri,7,6,26,28,26,18,20,11,31,41,34,15,263
Montana,1,1,2,12,16,8,10,11,6,14,3,1,85
Nebraska,3,3,6,14,10,29,17,20,17,25,8,2,154
Nevada,2,3,4,3,6,1,2,1,4,12,10,2,50
New Hampshire,4,7,7,5,10,5,16,7,19,13,4,1,98
New Jersey,3,9,14,42,52,42,27,20,63,82,34,13,401
New Mexico,3,5,3,2,4,4,1,6,6,11,9,2,56
New York,15,19,25,45,63,64,61,55,73,62,44,17,543
North Carolina,22,20,46,69,77,48,26,33,82,96,69,29,617
North Dakota,,,,1,1,2,1,2,3,1,2,,13
Ohio,7,20,19,45,57,60,53,54,53,73,33,11,485
Oklahoma,4,7,17,14,23,17,10,14,25,27,21,8,187
Oregon,11,14,10,17,38,32,38,32,29,30,15,7,273
Pennsylvania,11,13,37,119,102,61,48,61,127,178,59,16,832
Rhode Island,1,,2,8,4,11,15,13,3,2,3,,62
South Carolina,8,12,18,21,19,3,6,9,12,18,21,5,152
South Dakota,1,,,5,1,3,4,4,2,1,1,1,23
Tennessee,7,10,21,21,39,23,17,18,33,48,33,13,283
Texas,36,34,69,118,103,48,45,41,86,134,125,71,910
Utah,2,1,8,13,20,10,10,17,9,17,7,3,117
Vermont,2,2,,,11,13,14,10,8,16,1,1,78
Virginia,16,14,36,60,66,36,30,26,53,76,49,20,482
Washington,17,9,20,24,29,28,40,31,30,24,22,13,287
West Virginia,2,,4,1,7,3,4,9,6,10,4,,50
Wisconsin,13,11,10,14,30,44,45,31,34,37,32,15,316
Wyoming,1,1,2,1,4,5,5,2,6,2,1,,30
Total,419,510,868,1303,1589,1218,1124,1060,1519,1949,1216,564,13339
