State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,3,3,4,2,5,3,3,2,7,8,7,3,50
Alaska,,2,,,1,4,2,7,,2,,1,19
Arizona,5,9,6,5,5,3,3,2,3,6,7,2,56
Arkansas,4,2,2,5,3,1,1,,2,3,3,3,29
California,20,18,23,30,35,36,20,35,30,39,33,14,333
Colorado,1,1,2,9,14,16,21,30,30,21,5,2,152
Connecticut,,,1,4,4,11,4,6,6,9,2,1,48
Delaware,,,2,4,1,,,,,,1,,8
District of Columbia,,,,,,,,,1,,3,,4
Florida,8,15,10,8,8,9,4,7,2,12,12,8,103
Georgia,6,7,12,14,11,11,4,6,3,13,7,3,97
Hawaii,1,,,,,,1,1,2,1,1,1,8
Idaho,,1,4,2,2,5,4,4,7,6,1,,36
Illinois,3,2,5,8,9,4,4,2,10,14,8,3,72
Indiana,3,3,5,4,10,9,6,6,10,11,5,3,75
Iowa,,,2,1,6,2,2,1,5,9,3,2,33
Kansas,1,1,4,4,6,4,4,2,7,8,6,1,48
Kentucky,1,2,1,5,3,4,1,,3,3,3,3,29
Louisiana,3,2,,,3,3,2,1,1,,4,2,21
Maine,,,,,6,9,7,12,8,5,2,,49
Maryland,4,3,7,5,7,9,2,7,6,8,8,,66
Massachusetts,1,1,,12,21,18,18,16,16,15,6,,124
Michigan,3,,2,9,7,16,9,18,15,20,12,1,112
Minnesota,2,,,7,9,6,6,9,22,9,4,,74
Mississippi,,1,2,1,,,,1,,3,2,,10
Missouri,3,2,2,5,3,1,,5,4,8,6,1,40
Montana,,,,,3,6,2,8,5,4,,,28
Nebraska,1,2,,3,3,2,2,,4,2,3,,22
Nevada,,1,2,4,4,1,2,3,3,2,2,2,26
New Hampshire,,,,2,11,10,4,8,14,10,6,1,66
New Jersey,2,2,5,7,11,9,6,9,4,17,4,3,79
New Mexico,2,1,2,2,2,1,1,4,5,5,2,,27
New York,2,2,2,9,15,12,10,17,18,20,7,4,118
North Carolina,10,8,9,15,13,2,2,7,12,20,12,5,115
North Dakota,,,1,,,1,,1,,1,,,4
Ohio,7,8,9,13,9,17,6,11,17,17,8,7,129
Oklahoma,1,1,,1,,3,1,2,3,4,1,1,18
Oregon,3,5,8,11,13,13,14,13,20,15,7,2,124
Pennsylvania,5,3,10,20,17,19,12,15,23,36,7,1,168
Rhode Island,1,1,1,,,,1,,1,2,2,1,10
South Carolina,4,4,6,11,11,6,4,6,4,5,5,3,69
South Dakota,,,,,1,3,2,3,1,2,1,,13
Tennessee,5,6,5,7,7,8,2,6,6,9,4,5,70
Texas,9,9,15,20,6,8,5,10,12,13,10,9,126
Utah,1,1,6,8,2,8,7,8,6,11,4,,62
Vermont,,,,1,4,5,3,2,2,5,,,22
Virginia,5,4,16,12,10,15,6,4,16,21,11,4,124
Washington,7,7,10,15,15,16,11,14,13,13,4,5,130
West Virginia,2,,1,2,4,4,2,2,3,7,1,,28
Wisconsin,3,1,1,7,12,16,8,7,10,20,8,1,94
Wyoming,,,,,2,4,4,2,1,2,,,15
Total,142,141,205,314,354,373,245,342,403,496,260,108,3383
