State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,1,,3,1,5,6,4,6,4,2,,,32
Alaska,,,,,7,2,5,5,,,,1,20
Arizona,2,1,7,6,9,5,5,5,8,9,5,1,63
Arkansas,,,,,4,6,4,6,4,2,,,26
California,,6,17,24,19,28,25,29,27,21,11,3,210
Colorado,2,1,2,4,14,19,13,18,6,2,,,81
Connecticut,1,1,4,1,2,17,16,10,4,,,,56
Delaware,,,1,,,3,,1,3,,,,8
District of Columbia,,,1,,,,,,1,,,,2
Florida,3,3,19,19,31,21,16,13,19,17,9,2,172
Georgia,4,1,2,11,9,12,10,13,14,3,,,79
Hawaii,,,2,2,5,2,2,4,2,1,3,,23
Idaho,,1,1,2,1,1,7,12,4,1,,,30
Illinois,6,6,3,10,9,13,16,15,8,3,,,89
Indiana,2,,2,5,10,21,15,22,6,,,,83
Iowa,3,1,1,1,5,8,8,10,5,,,,42
Kansas,1,4,2,3,3,5,7,11,4,,,,40
Kentucky,1,2,1,2,1,6,2,5,2,1,,,23
Louisiana,,,1,4,6,7,4,7,6,5,1,,41
Maine,1,,,,3,7,5,9,8,,,,33
Maryland,,2,2,3,9,11,7,7,9,5,,1,56
Massachusetts,1,2,2,,7,13,16,12,17,2,,,72
Michigan,4,3,3,8,11,20,26,29,9,2,1,,116
Minnesota,3,1,1,11,6,22,18,29,5,2,,,98
Mississippi,,,,3,2,4,2,4,1,2,,,18
Missouri,2,3,3,3,7,6,14,13,8,,,,59
Montana,,,,1,2,2,7,10,1,,,,23
Nebraska,1,2,,2,2,6,5,6,1,,,,25
Nevada,,,,4,2,1,2,2,5,2,,,18
New Hampshire,,1,,,2,4,3,7,6,,,,23
New Jersey,2,,,3,11,15,13,10,8,4,,,66
New Mexico,,,,2,1,3,3,7,3,,,,19
New York,2,3,5,4,12,27,28,32,21,4,,,138
North Carolina,1,,2,12,17,19,13,25,19,5,1,,114
North Dakota,1,1,1,,,,2,1,,,,,6
Ohio,5,6,2,5,12,19,23,27,10,3,,,112
Oklahoma,1,3,1,1,2,4,2,5,1,,,,20
Oregon,,1,,3,10,9,5,7,10,2,,,47
Pennsylvania,1,3,3,5,16,17,10,26,10,2,,2,95
Rhode Island,,,,,1,1,1,4,6,,,,13
South Carolina,2,2,3,5,6,6,6,6,7,4,,,47
South Dakota,,,,1,1,3,1,4,3,,,,13
Tennessee,,,,3,11,9,7,16,8,4,,,58
Texas,4,,11,31,23,18,26,16,34,14,5,,182
Utah,2,2,4,5,7,9,7,12,10,2,2,,62
Vermont,1,,,,2,3,5,5,,1,,,17
Virginia,3,,1,6,16,15,9,13,11,6,,,80
Washington,,2,2,1,6,8,15,12,8,,,,54
West Virginia,,,,,,,2,4,1,,,,7
Wisconsin,4,6,8,2,11,24,23,23,16,1,2,1,121
Wyoming,,,,,1,5,3,4,,,,,13
Total,67,70,123,219,359,492,468,579,383,134,40,11,2945
