State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabama,2,2,2,1,1,,,,,1,3,1,13
Alaska,,1,2,,,,1,3,1,,,,8
Arizona,3,5,2,2,4,1,,2,2,3,2,5,31
Arkansas,,2,1,2,,1,1,,,1,1,,9
California,12,7,8,10,14,12,12,17,9,12,11,8,132
Colorado,,,,5,3,4,6,12,9,2,,,41
Connecticut,,,1,1,1,,,1,1,2,,,7
Delaware,,,,1,,,,,,,,,1
District of Columbia,,,,,,,,,,,1,,1
Florida,7,11,6,5,3,,,,2,4,2,8,48
Georgia,,1,3,2,4,2,1,1,1,,4,1,20
Hawaii,3,,,,,,1,,,1,,,5
Idaho,,,3,1,,3,1,2,3,2,,,15
Illinois,1,1,2,3,1,,1,1,1,5,4,1,21
Indiana,,,,1,1,2,1,,,1,2,2,10
Iowa,1,,,1,1,,,,,2,1,1,7
Kansas,,1,1,3,1,1,2,,5,5,1,,20
Kentucky,,1,1,1,,1,,,,1,1,,6
Louisiana,1,2,1,,,,,,,,1,1,6
Maine,,,,,1,,,,,,,,1
Maryland,1,3,2,,,,2,,1,1,3,,13
Massachusetts,1,,,2,2,,1,1,2,,1,1,11
Michigan,1,,,3,,3,,2,5,1,1,,16
Minnesota,1,,,3,2,3,2,,3,3,,,17
Mississippi,,,2,2,,,,,,,,,4
Missouri,,1,4,4,1,,,,2,4,2,1,19
Montana,1,,,,,2,1,1,1,1,,,7
Nebraska,,,,,,1,,,2,1,1,,5
Nevada,,,3,1,3,,1,3,,1,2,1,15
New Hampshire,,,,,,1,1,1,2,1,,,6
New Jersey,1,1,,1,4,1,1,2,1,1,1,,14
New Mexico,1,1,,1,1,2,,,1,,,,7
New York,1,1,1,5,5,3,3,3,3,5,2,1,33
North Carolina,6,3,3,5,6,2,,,4,6,4,1,40
North Dakota,,,1,,,,,1,,1,,,3
Ohio,3,2,2,3,4,4,,2,6,3,2,2,33
Oklahoma,1,1,1,1,1,,,,1,2,1,,9
Oregon,2,2,1,4,3,4,4,2,5,6,1,2,36
Pennsylvania,,,2,2,4,4,5,3,5,9,,,34
Rhode Island,,,,,,,,1,,,1,,2
South Carolina,,2,1,1,3,2,,,,3,1,2,15
South Dakota,,,,,,1,,1,,,,,2
Tennessee,3,1,1,2,2,,,1,3,4,4,2,23
Texas,5,5,7,6,1,2,3,4,6,9,9,7,64
Utah,1,1,4,4,1,5,1,3,4,3,1,,28
Vermont,,1,1,,4,,1,1,2,,,,10
Virginia,2,4,2,5,4,2,,1,7,2,3,2,34
Washington,4,3,3,9,6,9,2,5,7,6,3,2,59
West Virginia,1,,1,,1,1,1,1,,2,,,8
Wisconsin,2,2,,2,3,2,3,1,4,3,5,,27
Wyoming,,,,1,1,2,,,1,,,,5
Total,68,68,75,106,97,83,59,79,112,120,82,52,1001
