City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alabaster,1,,,1,,2,,,1,2,,,7
Albertville,,,1,,1,,,,,,,,2
Alexander City,,1,1,,1,1,1,,,2,,1,8
Altoona,,,,,1,,,,,,,,1
Andalusia,1,1,2,,2,,,,,,,1,7
Anniston,1,1,2,5,2,1,,2,,1,1,,16
Arab,,,,,1,,,1,,,,,2
Ardmore,,,1,,,,,,,,,,1
Ashland,,,,,1,,,,,,1,,2
Athens,,,,,2,1,,,3,1,2,1,10
Auburn,,3,7,11,4,,1,1,1,1,1,1,31
Baileyton,,,,,,,,,,1,,,1
Bankhead National Forest,,1,,,,,,,,,,,1
Bay Minette,,,,,,,,,1,1,,1,3
Bayou La Batre,,,,,,,,,,,,1,1
Bessemer,,,,1,,1,,,1,,,1,4
Beulah,,,,1,,,,,,,,,1
Billingsley,,,,,1,,,,,,,,1
Birmingham,3,7,11,10,6,4,,6,10,5,9,6,77
Boaz,,,,,,,,,,1,,,1
Bremen,,,,,1,,,,,,,,1
Brent,,,1,,,,,,,,,,1
Brewton,,,,,,1,,,,,1,,2
Brookside,,,,,,1,,,,,,,1
Calera,,,,1,,,,,,1,,,2
Centre,,,,1,,,,,,,,,1
Centreville,,,,,1,,2,,,,,,3
Chelsea,,,,2,,1,,,,1,1,,5
Chickasaw,,,,,1,,,,,,,,1
Childersburg,,,,,,,,,,1,,,1
Clanton,,,,,,1,,,,1,1,1,4
Coker,1,,,,,,,1,,,,,2
Columbiana,,,1,,,1,,,,,,,2
Cottonwood,,,1,,,,,,,,,,1
Creola,,,,,,,,,,,1,,1
Cropwell,,,,1,,,,,,,,,1
Cullman,,,,,1,2,1,2,1,1,,,8
Danville,,,,,,1,,1,,,,,2
Daphne,,,1,,1,,,,1,1,1,,5
Dauphin Island,,1,,,,,,,1,,,,2
Decatur,,1,3,2,,3,1,2,2,,2,,16
Delta,,2,,,,,,,,,1,,3
Demopolis,,,,,,,,,,,,1,1
Dora,,,,,,,,,,1,,,1
Dothan,1,,1,1,2,1,1,1,1,1,1,2,13
Double Springs,,,,1,,,,,,,,,1
Eclectic,,,,,,,,,,1,,,1
Elberta,,,,1,,,,,,,,,1
Elkmont,1,,,,,,,,,2,,,3
Enterprise,,,1,1,2,,,,1,1,,,6
Eufaula,,,,,1,,,,,,,,1
Fairhope,,,1,1,1,1,,,,,,,4
Falkville,,,,,1,,,,,,,,1
Florala,,1,,,,1,,,,,1,,3
Florence,,,1,2,2,,3,,,3,1,,12
Foley,,,1,2,,,,,,2,2,,7
Fort Payne,,,,,1,,,,,1,,,2
Fort Rucker,,,,,1,1,,,,,,,2
Fultondale,,,,,,1,,,,,,,1
Gadsden,,2,1,2,1,2,1,,3,4,2,,18
Gardendale,,,,1,,,,,,,,,1
Grant,,,,,,,,,1,,,,1
Greensboro,,,,,,,,,,1,,,1
Greenville,1,,,1,,,,,,,,,2
Guin,,,,,,,1,,,,,,1
Gulf Shores,1,2,1,1,,1,,,2,1,,,9
Guntersville,,,,,2,,,2,1,3,1,,9
Haleyville,,,,,1,,,1,,,,,2
Hamilton,,,,1,1,,,,,,,,2
Hampton Cove,,,,,,,,1,,,,,1
Hanceville,,,,1,,,,,,,,,1
Hartford,,,1,,,,,,,,,,1
Hartselle,,,1,,1,,,,2,,,,4
Harvest,,1,,,,,,,,,,,1
Heflin,,,1,,,,,,,,,,1
