City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Ajo,,1,,,,,,,,,,,1
Anthem,,1,1,,,,,1,1,,1,1,6
Apache Junction,,1,,,1,,,,,1,,,3
Avondale,,1,,1,1,1,,,,1,,,5
Benson,,,,,,,,,,,1,,1
Bisbee,,,,,,,,,,2,,,2
Black Canyon City,,,1,,,,,,,,,,1
Buckeye,,,,,,,,,1,,,1,2
Bullhead City,,,,,,,,,,1,1,,2
Cameron,,1,,,,,,,,,,,1
Carefree,,,,,,,,,,1,,,1
Casa Grande,,,,,,,,,,1,1,,2
Cave Creek,,1,1,,,,,,,2,,1,5
Chandler,,,8,6,,,,,,6,10,1,31
Chino Valley,,,,,,1,,,1,,,,2
Clay Springs,,,,,,,,2,,,,,2
Coolidge,,1,,,,,,,,,,,1
Cottonwood,,,1,1,,,,,,,1,,3
Crown King,,,,1,,,,,,,,,1
Dolan Springs,,,,,,,,,,1,,,1
Dragoon,,,1,,,,,,,,,,1
Eagar,,,,,,,,1,,,,,1
Elgin,,,,,,,,1,,,,,1
Eloy,,,,,,,,,,1,,,1
Flagstaff,,,2,2,1,3,3,4,2,3,1,,21
Florence,,,1,1,,,,,,,,,2
Fort Huachuca,1,,1,,1,,,,,,,,3
Fountain Hills,,2,1,,1,,1,1,,2,3,1,12
Fredonia,,,,,2,,,,,,,,2
Ft. McDowell,,2,,,,,,,,,,,2
Gilbert,1,1,3,4,2,,,,,2,6,4,23
Glendale,,1,1,1,2,,,1,,3,1,4,14
Goodyear,1,2,,3,2,1,1,1,,2,2,1,16
Green Valley,,1,1,,,,,,,,,,2
Heber-Overgaard,,,,,,,1,,,,,,1
Holbrook,,,,,,,1,1,,3,,,5
Indian Wells,,,,,,1,,,,,,,1
Jerome,,,,,,,,,1,,,,1
Kingman,,1,,,1,,2,,2,2,2,,10
Lake Havasu City,,,1,1,1,,,,1,,4,,8
Laveen,,,,1,,,,,,,1,,2
Litchfield Park,,1,,1,,,,,,,1,,3
Marana,,,1,,1,,,,,,,,2
Maricopa,,,1,1,,,,,,1,,,3
Mayer,,1,,,,,,,,,,,1
Mesa,3,2,2,2,2,,,1,,6,6,,24
Miami,,,,,,,,,1,,,,1
Old Oraibi,,,,,1,1,,,,,,,2
Oracle,,,,,,,,,,1,,,1
Oraibi,,,,,,,,1,,,,,1
Oro Valley,,,2,,,,1,1,,1,,1,6
Page,,1,,,,,,,,2,,,3
Patagonia,,,,,,,,,,1,,,1
Payson,,,,,1,2,,1,,,1,,5
Peoria,,1,7,3,2,1,3,,3,1,3,3,27
Phoenix,11,6,13,10,6,1,,2,2,12,14,8,85
Pine,,,,1,,,,,,,,,1
Polacca,,,,1,,,1,,1,,,,3
Prescott,,1,1,1,3,2,,,2,2,1,,13
Prescott Valley,,,,,,,,,2,,,,2
Queen Creek,1,1,1,1,1,,,,,,1,,6
Rio Rico,,,1,,,,,,,,,,1
Sahuarita,,1,2,,1,,1,1,,,2,1,9
Salt River,,,,,,,,,,1,,,1
San Carlos,,,,,,,,,,1,,,1
San Tan Valley,,,1,,,,,,,,2,,3
Scottsdale,3,4,4,8,4,3,2,1,6,3,3,4,45
Second Mesa,,,,,,,,,1,,,,1
Sedona,,1,,,,,,,,,1,,2
Show Low,,,,,,2,,2,,,,,4
Sierra Vista,1,,3,1,1,1,,,1,2,1,,11
Skull Valley,,,,,1,,,,,,,,1
Somerton,1,,,,1,,,,,,,,2
Sonoita,,,1,,,,,,,,,,1
Springerville,,,,,,,1,,,,,,1
Steamboat,,,,,,1,,,,,,,1
Sun City West,,,1,,,,,,,,,,1
Superior,,1,,,,,,,,,,,1
Surprise,1,,,,,,,,,,,,1
Tempe,7,8,9,10,12,3,5,3,8,10,15,6,96
Tombstone,,,,,,,,1,,1,,,2
Topock,,,1,,,,,,,,,,1
Tucson,5,6,9,6,6,2,4,1,9,9,6,4,67
Tusayan,,,,,1,,,,,,,,1
Vail,,,,1,1,,,,2,,1,1,6
Waddell,1,,1,,,,,1,1,,,1,5
Whetstone,,,,,,,,,,,1,,1
Wickenburg,,1,,1,,,,,,,,,2
Willcox,,,,,,,,1,,,,1,2
Williams,,,,,,,,,1,,,,1
Window Rock,,,,,,,,,1,,,,1
Winslow,,,,,,,1,,1,,,,2
Yarnell,,,,,,1,,,,,,,1
Yuma,1,3,2,,2,1,,,1,,2,2,14
Total,38,56,87,70,62,28,28,30,52,88,96,46,681
