City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alamosa,1,,,,,,,,1,1,,,3
Allenspark,,,,,,,1,1,,,,,2
Arvada,1,2,,2,2,2,,2,1,2,2,,16
Aspen,,,,,,1,3,3,1,1,,1,10
Aurora,1,,,1,7,7,4,2,3,1,2,,28
Avon,,,,,,,6,3,1,,,,10
Bailey,,,,,,,,1,,,,,1
Basalt,,,,,,,,1,,,,,1
Bayfield,,,,,,,,,,1,,,1
Beaver Creek,,,,,,1,,,,,,,1
Bellvue,,,,,1,,,,1,,,,2
Berthoud,,,,,1,1,,,1,,,,3
Beulah,,,,,,,,,,1,,,1
Black Hawk,,,,,,1,,,,,,,1
Boulder,,,,5,7,10,11,6,6,1,2,1,49
Breckenridge,1,,,,,2,3,4,2,1,,,13
Brighton,,,,3,1,,,,1,1,1,,7
Broomfield,,,,3,4,3,1,,1,,3,,15
Buena Vista,,,,1,3,,,1,1,1,,,7
Byers,,,,,,2,,,1,,,,3
Calhan,,,,,,,1,1,,,,,2
Canon City,,,,,1,,1,,,1,,,3
Carbondale,,,,,,,1,,,,,,1
Cascade,,,,,1,,,,,,,,1
Castle Pines,,,,1,,,,,1,,,,2
Castle Rock,,,,,3,,1,1,,2,1,,8
Cedaredge,,,,,1,,,,,1,,,2
Centennial,1,,,,1,3,,3,,1,,,9
Clark,,,,,,,1,,,,,,1
Colorado Springs,4,4,5,13,16,11,11,13,18,16,12,6,129
Commerce City,,,1,1,2,,,2,,,,,6
Como,1,,,,,,,,,,,,1
Conifer,,,,,,,1,,,,,,1
Copper Mountain,,,,,,1,,2,1,,,,4
Cortez,,,,1,,,1,1,,,,,3
Creede,,,,,,1,,,1,,,,2
Crested Butte,,,,,,,2,,3,,,,5
Cripple Creek,,,,,,,,,,1,,,1
Dacono,,,,,,,,,1,,,,1
Denver,3,8,4,15,14,19,15,15,16,15,9,7,140
Dillon,,,,,,,1,,,,,,1
Divide,,,,,,,,1,,,,,1
Dumont,,,,,1,,,,,,,,1
Durango,,,,2,1,3,1,5,2,2,2,,18
Eagle,,,,,2,,1,,,,,,3
