City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Bayard,,,,,,,,,,,1,,1
Bear,,,1,1,1,1,,,1,1,,,6
Bethany Beach,2,,1,,2,,,1,1,1,1,,9
Camden Wyoming,,,,1,1,1,,,,,,,3
Centreville,,,,,,,,,,1,,,1
Dagsboro,,,1,1,,,,,,,,,2
Delaware City,,,,1,,,,,,1,,,2
Delmar,,,,,1,,,,,,,,1
Dewey Beach,,,,2,1,2,3,4,3,1,,,16
Dover,1,1,2,2,3,2,1,1,1,1,2,1,18
Felton,,,,,,,,,,,1,,1
Fenwick Island,,,,,,,,,,,1,,1
Frederica,,,,,,,,1,,,,,1
Georgetown,,,,2,,1,,,1,2,,,6
Glasgow,,,,,,,,,2,,,,2
Harrington,,,,1,,,,,,1,,,2
Hartly,,,,,,,,,,1,,,1
Hockessin,,,,,,,,1,1,,,1,3
Laurel,,,,2,2,,,1,,,,,5
Lewes,,1,1,1,4,5,2,2,2,1,1,1,21
Magnolia,,,,,,,,,1,,,,1
Middletown,,,2,3,5,1,,,4,4,,,19
Milford,,,,,1,2,1,1,,,,,5
Millsboro,,,,,,,,1,1,,,,2
Milton,,,1,,1,1,,,1,,,,4
New Castle,,1,,,1,1,,,,1,2,,6
Newark,,1,1,11,4,3,,2,4,17,2,1,46
Newport,,,,,,,,1,,,,,1
Ocean View,,,,,,,,1,,,,,1
Rehoboth,,,,1,1,,,,,1,,1,4
Rehoboth Beach,,1,1,1,1,4,4,2,1,2,1,1,19
Seaford,,,1,,,1,,,,,1,,3
Selbyville,,,,1,,,,,,,,,1
Smyrna,,,,,1,1,1,,,,1,1,5
Wilmington,3,2,10,13,16,6,5,6,14,18,7,,100
Wyoming,,,2,,1,,1,1,1,2,,,8
Total,6,7,24,44,47,32,18,26,39,56,21,7,327
