City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alachua,1,,,,2,,,1,,,,,4
Altamonte Springs,,,,1,1,,,,1,4,1,,8
Altha,,,,,,,,,1,,,,1
Alva,1,,,,,,,,,,,,1
Amelia Island,1,,2,,,,1,,,,1,,5
Apalachicola,1,,,,,,,,,1,,,2
Apollo Beach,,,,,,,,,,,,1,1
Apopka,,1,1,,,,,,1,2,,,5
Arcadia,,,,,1,,,,,,1,,2
Atlantic Beach,,,1,,1,,,,,1,1,,4
Ave Maria,1,,,,,,,,,,,,1
Avon Park,,1,1,,,,,1,,,,1,4
Babson Park,,,,,,,1,,,,,,1
Baker,,,,,,,1,,,,,,1
Bartow,1,,1,,,,,,,1,1,,4
Bay Harbor Islands,,1,,,,,,,,,,,1
Bell,,,,1,,,,,,,,,1
Belle Isle,,,1,,,,,,,,,,1
Big Pine Key,1,,,,,,,,,,1,,2
Blountstown,,,,,1,,,,,,,1,2
Blue Mountain Beach,,,,,,,,,,2,,,2
Boca Grande,,1,,,,,,,,,,,1
Boca Raton,3,2,,2,2,1,1,1,,3,4,5,24
Bonifay,,,,,,,,,,1,,,1
Bonita Springs,,,1,,,,1,,,,,,2
Bowling Green,,,1,,,,,,,,,,1
Boynton Beach,,1,,,,,,1,,,1,,3
Boys Ranch,,,1,,,,,,,,,,1
Bradenton,,1,3,3,2,,,,1,3,4,2,19
Brandon,,,3,1,2,,,,,,,1,7
Branford,,,,,1,,,,,,,,1
Bristol,,,,1,,,,,,1,,,2
Brooksville,2,2,3,1,1,,,2,1,5,,1,18
Bryceville,,1,,,,,,,,,,,1
Bunnell,,,,,2,,,,,,,,2
Callahan,,,,,,,,,,,,1,1
Cantonment,,,,,1,,,,,,,,1
Cape Canaveral,,,1,,,,,,,2,,1,4
Cape Coral,1,2,,1,4,1,2,1,1,1,2,1,17
Captiva,,,,,,,,,2,,,,2
Casselberry,,,,,,,,1,1,,,,2
Cedar Key,,,,,,,,,1,,,,1
Celebration,1,,1,,,,,,,2,,1,5
Charlotte Harbor,1,,,,,,,,,,,,1
Chattahoochee,,1,,,,,,,,,,,1
Chiefland,,,,,1,,,,,,,1,2
Chipley,,,,,,1,,,,,,,1
Clearwater,2,,1,1,,,,2,3,3,3,3,18
Clearwater Beach,2,,,,1,2,1,2,,1,,1,10
Clermont,6,7,10,10,11,7,8,8,7,10,11,6,101
Clewiston,1,,,1,,,,,,,,1,3
Cocoa,,,1,,,,,,1,1,1,,4
Cocoa Beach,,,1,1,1,,,,,3,1,,7
Coconut Creek,,1,1,2,,,1,,1,,3,1,10
Coconut Grove,,,,1,1,,,,,,,,2
Cooper City,,,,,,,,,,1,,,1
Copeland,,1,,,,,,,,,,,1
Coral Gables,,,1,1,1,,,,2,,1,2,8
Coral Springs,,1,2,,,,,,,,1,1,5
Crawfordville,,1,,,,1,,,,,,,2
Crescent City,,1,,,,,,,,,,,1
Crestview,,1,1,1,,,,,,1,1,,5
Crystal Lake,,,,,,,,,,,1,,1
Crystal River,1,,,,1,1,,,1,,1,,5
Cudjoe Key,,1,,,,,,,,,,,1
Dade City,,1,1,2,,,,,,2,2,2,10
