City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Aiea,,,2,,,,1,,,,,,3
Barbers Point,,,,,,1,,,,,,,1
Ewa Beach,,,,1,,,1,,,,,,2
Halawa,,,1,,,,,,,,,,1
Haleiwa,,,1,,,,,,,,,1,2
Hanalei,,,,,,,,,1,,,,1
Hilo,1,,1,,1,,1,,1,,1,1,7
Honaunau,,,,1,,,,,,,,,1
Honolulu,8,3,3,4,7,5,2,4,4,6,6,4,56
Hoolehua,,,,,,,,1,,,,,1
Ka'a'awa,1,,,,,,,,,,,,1
Kaaawa,,,,1,,,1,,,1,,,3
Kaanapali,,,,,,,,,1,,,,1
Kahakuloa,,,,,,1,,,,,,,1
Kahuku,,,,,,,,,1,,,,1
Kahului,,,1,,1,,,1,,1,,1,5
Kailua,,1,,3,2,,3,2,,1,3,1,16
Kailua Kona,,1,2,,1,,,,1,1,,,6
Kailua-Kona,,,,,,2,,,,2,1,1,6
Kamuela,,,,,,1,,,1,,,,2
Kaneohe,1,,,,,,,,,,,,1
Kapalua,,,,,,,,1,,,,,1
Kapolei,,,1,,,,,,,,1,,2
Kekaha,,,1,,,,,,,1,,,2
Kihei,1,,,,,,,,,,,,1
Koloa,,,1,1,,,,,1,,1,,4
Kona,,,,,,,,,1,1,,,2
Kula,,,,,,,,,,,1,,1
Lahaina,1,,,,,,,,1,1,,1,4
Laie,,,,,,,,,,1,,,1
Lanai City,,,,,,,1,,,,1,,2
Makena,,1,,,,,,,,,,,1
Maui,,,1,,,,,,3,,2,,6
MCBH Kaneohe Bay,1,,1,,1,1,1,2,1,2,,,10
Mokuleia,,,,,,,,,,1,,,1
Oahu,,,,,,,,,,,,1,1
Pahala,,,,,,,,,1,,,,1
Paia,,,,,,,,,,1,,,1
Pearl City,,,,,2,,,,,,,,2
Pearl Harbor,,,1,1,,,,,,,,,2
Poipu,,,,,,,1,,,,,,1
Poipu Beach,,,,,,,,,1,,,,1
Princeville,,,,,1,,,,,,,,1
Schofield Barracks,,,1,,,,,,,,,,1
Volcano,,,,,,,,1,,,,,1
Wahiawa,,,,,1,,,,,,,,1
Waialua,,,,,1,1,,1,,,,,3
Waikoloa,,,1,1,,,,1,,,1,,4
Wailea,1,,,,,,,,,,1,,2
Wailuku,1,,2,,,,1,1,1,,,,6
Waimanalo,,,,,,1,,,,,,,1
Waimea,,,,,,1,,1,,,,,2
Total,16,6,21,13,18,14,13,16,20,20,19,11,187
