City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adel,,,,,,,,1,,1,,,2
Algona,,,,1,,1,,,,1,,,3
amana,1,,,,,,,1,,,,,2
Ames,1,,,3,2,2,3,,5,2,1,1,20
Anamosa,,,,,,,,1,,1,,,2
Ankeny,,,,,1,1,2,1,,1,,,6
Arnolds Park,,,,,,,1,,,,,,1
Atkins,,,,,,,,1,,,,,1
Audubon,,,,,,,1,,,,,,1
Avoca,,,,,,1,,,,,,,1
Batavia,,,,,,,,,,1,,,1
Bedford,,,,,1,,,,,,,,1
Bettendorf,,,,,,,,,1,,,,1
Blairstown,,,,,,,,,1,,,,1
Blue Grass,,,,,,,,,,,1,,1
Bondurant,,,,,,,,,1,,,,1
Boone,,,,,1,2,1,,2,,,,6
Booneville,,,,,1,,,,,,,,1
Britt,,,,,,,1,1,,,,,2
Burlington,,,2,,1,1,,,1,,,,5
Bussey,,,,,,,1,,,,,,1
Camanche,,,,,1,,,,,1,,,2
Cambridge,,,,,,,,,,1,,,1
Cantril,,,,,,,,1,,,,,1
Carlisle,,,,,,,,,1,,1,,2
Carroll,,,,,2,1,,,,,,,3
Carson,,,,,,,1,,,,,,1
Cedar Falls,,,,2,2,1,,,2,5,1,1,14
Cedar Rapids,,,1,1,3,3,1,4,5,5,2,1,26
Center Point,,,,,1,,,,,,,,1
Central City,,,,,1,1,,1,,,,,3
Chariton,,,,,,,,,1,,,,1
Charles City,,,,1,1,,1,,,,,,3
Chester,,,,,,,,,,1,,,1
Clear Lake,,,,1,,,,1,,,,,2
Clermont,,,,,,,,,1,1,,,2
Clinton,,1,,,,1,,,1,,1,,4
Clive,,,,,1,,,1,,,,,2
Coggon,,,,,,1,,,,,,,1
Colo,,,,,1,,1,,,,,,2
Coralville,,,,,,1,,1,,1,1,,4
Council Bluffs,,,2,1,,,1,1,1,,2,,8
Cresco,,,1,,,1,1,,,,,,3
Creston,,,,,,,,,,,1,,1
Cushing,,,,,,,,1,,,,,1
Dallas Center,,,,,,,,3,,,,,3
Danville,,,,,,,,,,1,,,1
Davenport,,1,,2,2,1,3,1,1,3,1,1,16
De Witt,,,,,,,,1,,,,,1
Decorah,,,,,,1,1,,1,2,1,,6
Denison,,,,,1,,,,,,,,1
Des Moines,1,1,2,8,6,6,3,8,9,5,7,3,59
Dixon,,,,,,1,,,,,,,1
Dorchester,,,,,,,,,,1,,,1
Drakesville,,,,,,1,,,,,,,1
Dubuque,2,,,2,1,1,,2,2,1,1,1,13
Dunkerton,,,,,,1,,,,,,,1
Dunlap,,,,,,,,1,,,,,1
Durango,,,,,1,,,,,1,,,2
Dyersville,,,1,,2,2,,,,,,,5
Eagle Grove,,,,,,1,,,,,,,1
Earlham,,,,,,,1,,,1,1,,3
Eldridge,1,,,,,,1,,,,,,2
Elkader,,,,,,,1,,,1,,,2
Elma,,,,,,,1,,,,,,1
Emmetsburg,,,1,,,,,,,,,,1
Epworth,,,1,,,,,,,,,,1
Essex,,,,,,,,,1,,,,1
Estherville,,,,,1,,,,,1,,,2
Evansdale,,,,,,,,,1,,,,1
Fairbank,,,,,1,,,,,,,,1
Fairfield,,,1,1,1,,,1,2,,1,,7
Fayette,,,,1,,,,,,,,,1
Floyd,,,,,,1,,,,,,,1
Forest City,,,,,1,,,1,,,,,2
Fort Dodge,,,,1,,,,,1,,,,2
Fredericksburg,,,,,,1,,1,,,,,2
Garnavillo,,,,,,,1,,,,,,1
Garner,,,2,,,,,,,,,,2
Garrison,,,1,,,,,,,,,,1
Garwin,,,,,,,,1,,,,,1
Glenwood,,,,,,,,,,1,,,1
Grandview,,,,,,,1,,,,,,1
Grimes,,,,,,1,,,,,,,1
Grinnell,,,,,,2,,,1,1,,,4
Guttenberg,,,,,,,1,,,,1,,2
Hamburg,,,,,,,,,1,,,,1
Hampton,,,,1,,,,1,,,,,2
Harlan,,,,,1,,,,,,,,1
Harpers Ferry,,,,,,,1,,,,,,1
Hawkeye,,,,,,,,,,1,,,1
Hiawatha,,,,1,,,1,,,,,,2
Highlandville,,,,,,,1,,,,,,1
Honey Creek,,,,,,,,,3,1,,1,5
Humboldt,,,,,,,,,,1,,,1
Huxley,,,,,,,,1,,,,,1
Ida Grove,,,,,,1,,,,2,,,3
Independence,,,,,1,,,,,,,,1
Indianola,,,,2,,1,,,1,,,,4
Inwood,,,,,,,3,,,,,,3
Iowa City,1,1,3,5,2,,,1,6,8,2,,29
Janesville,,,,,,,1,,,,,,1
Jefferson,,,,,,1,,,,1,,,2
Johnston,,,,,,2,,,,,,1,3
Kellogg,,,,,,1,,,,,,,1
Keosauqua,,,,,,,,,,1,,,1
Keota,,,,,,1,,,,,,,1
Knoxville,,,,,,,,,1,,,,1
La Porte City,,,,,,1,,,,,,,1
Lacona,,,,,,,,1,,,,,1
Lake Mills,,,,,,,,,1,,,,1
Lake View,,,,,1,,,,,,,,1
Le Claire,,,,,1,,,,,,,,1
Le Mars,,,,,,,,,1,,,,1
Lime Springs,,,,,,,,1,,,,,1
Lisbon,,,,,,,,1,,1,,,2
Little Sioux,,,,,,,,1,,,,,1
