City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Abilene,,,,2,,1,1,,,,,,4
Andover,,,1,,,,,,,,,,1
Anthony,,,,1,,,,,,,,,1
Arkansas City,,,,,,,,2,,1,,,3
Arlington,,,,,,,,,,1,,,1
Ashland,,,,,,,,,,,1,,1
Atchison,,,1,,1,,1,,2,,,,5
Atwood,,,,,,,1,,1,,,,2
Augusta,,,,1,,,,,1,1,,,3
Baldwin City,,,,,,,1,1,,,,,2
Baxter Springs,,,,,1,,,,,,,,1
Bel Aire,,,,,,1,,,,,,,1
Belle Plaine,,,,,,,,,,,1,,1
Belleville,,,,,,,,,,1,,,1
Beloit,,,,1,,,,,1,,,1,3
Bennington,,,,1,,,1,,,,,,2
Benton,,,,1,,,,,,,,,1
Bonner Springs,,,,,,,,3,1,2,,,6
Bucyrus,,,,,1,,,,,1,,,2
Burlingame,,,,,,,,,,,,1,1
Cassoday,,,,,,,,,,1,,,1
Chanute,,,,,,,,1,1,,,,2
Cheney,,,,,,,1,,,,,,1
Clay Center,,,1,,,,,,,,,,1
Clearwater,,,,,,,,1,,,,,1
Clyde,,,,,,,,,1,,,,1
Coffeyville,,,,1,,,,,,,1,,2
Coldwater,,,,,,,,,1,,,,1
Columbus,,,,,,,1,,,,,,1
Concordia,,,,,,,,,,,1,,1
Cottonwood Falls,,,,,,1,,,1,,1,,3
Council Grove,,,,,,1,,,1,,,,2
Derby,,,,,1,,1,,,2,,,4
Dexter,,,,,,,1,,,,,,1
Dodge City,,,,,,,1,,,,,,1
Effingham,,,,,,1,,,,,,,1
El Dorado,,,,2,,3,,2,,,1,1,9
Ellis,,,,,,1,,,,,,,1
Emporia,,1,,3,1,,,2,1,3,2,,13
Erie,,,,,,,,,,1,,,1
Esbon,,,,1,,,,,,,,,1
Eudora,,,1,,,1,,,,,,,2
Eureka,,,,,,,1,,,,,,1
Fort Leavenworth,,,,,1,,,1,,1,1,,4
Fort Riley,,,,,1,,,,,,,,1
Fort Scott,,,,,1,,,,,,,,1
Frontenac,,,,1,,,,,1,,,,2
Garden City,,1,,1,,,1,1,2,3,,,9
Gardner,,,,,,,1,1,1,,,,3
Garnett,,,,,,1,,,1,,,,2
Goddard,,,,,1,,1,,1,,,,3
Goodland,,,,,,,,,1,,,,1
Great Bend,,,,1,,,,,,1,,,2
Greensburg,,,1,,,,,,,,,,1
Haviland,,,,,,,,,,1,,,1
Hays,,,1,2,1,1,2,2,3,1,1,,14
Haysville,,,,,,,,,,,1,,1
Hesston,,,,1,,,,,,,,,1
Hillsboro,,,,1,,,,,,2,,,3
Holcomb,,,,,,1,,,,,,,1
Holton,,,,,,,,1,,1,,,2
Horton,,,,,1,,,,,,,,1
Humboldt,,,,,,,,,,,1,,1
Hutchinson,,,,1,2,1,1,1,2,2,1,,11
Independence,,,,1,,,,,1,1,,,3
Iola,,,,,,,1,,,,,,1
Jetmore,,,,,,1,,,,,,,1
Junction City,,,,,1,,1,,,,1,,3
Kansas City,1,1,1,1,3,4,4,4,1,1,1,1,23
Kincaid,,,,,,,,,1,,,,1
La Cygne,,,,,,,,,1,,,,1
Lake Quivira,,,,,,,,,1,,,,1
Lansing,,,,,,,,,1,,,,1
Lawrence,,1,2,3,3,2,1,,6,2,3,,23
Leavenworth,,,,1,1,1,,,,2,,1,6
Leawood,1,,,,2,,1,,4,2,1,,11
Lecompton,,,,,,1,,,,,,,1
Lenexa,1,,,,,1,1,,,2,1,1,7
Leonardville,,,,,,1,,,,,,,1
Leoti,,,,1,,,,,,,,,1
Liberal,,,,,,1,,,,,,,1
Lincoln,,,,,,,,,1,,,,1
Lindsborg,,,,,,,,,,1,,,1
Little River,,,,,1,,,,,,,,1
Longton,,,1,,,,,,,,,,1
Louisburg,,,,,,,,,1,,,,1
Madison,,,,,,1,,,,,,,1
Manhattan,,1,5,4,2,,,6,4,4,1,2,29
Marienthal,,,1,,,,,,,,,,1
Marion,,,,,,,,1,,,,,1
Marquette,,,,1,,,,,1,,,,2
Marysville,,,,,,1,,,,1,,,2
McPherson,,,,,1,,,1,1,1,2,,6
Meriden,,,,,1,1,,1,,1,,,4
Merriam,,,,,1,,,,,,,,1
Milford,,,,,,,1,,,,1,,2
Minneapolis,,1,,,,,,,,,,,1
Mulvane,,,,,,,,,,,,1,1
Newton,,,,1,,1,1,,,1,,,4
Oakley,,,,,,1,,,,,,,1
Oberlin,,,,,,,1,1,,,,,2
Olathe,,,,2,5,2,,3,5,3,,,20
Osage City,,,,,,1,,,,,,,1
Osborne,,,,1,,,,,,,,,1
Ottawa,,,1,,,1,,,,1,,,3
Overbrook,,,,1,,,,,,,,,1
Overland Park,,6,4,2,4,7,1,6,4,5,2,1,42
Ozawkie,,,,,,,,,,1,,,1
Palmer,,,,,,,,,1,,,,1
Paola,,,1,1,2,,,,,,1,,5
Park City,,,,,,,,1,,,,,1
Parsons,,,,1,1,,,,,1,,,3
Perry,,,,,,,,,1,,,,1
Phillipsburg,,,,,1,,,,,,,,1
Pittsburg,,1,,1,2,,,2,1,1,,,8
Prairie Village,,,,,1,,,,1,,,,2
Pratt,,,,1,1,,,,,,,1,3
Pretty Prairie,,,,,,,1,,,,,,1
Quinter,,,,,,,1,,,,,,1
Randolph,,,1,,,,,,,,,,1
Richmond,,,,,,,,,,1,,,1
Rossville,,,,,,,,1,,,,,1
Russell,,,,,,1,,,,,,,1
Sabetha,,,,,,,,,,,,1,1
Salina,,1,,,1,,,1,,1,1,,5
Satanta,,,,,1,,,,,,,,1
Scott City,,1,,,,,1,,,,,,2
Seneca,,,,,,,,2,,,,,2
