City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Abbeville,1,,,,1,,,,,,2,,4
Addis,,,,,,,,,,,1,,1
Alexandria,2,,2,1,1,,,,2,1,1,1,11
Amite,,,,,,,,,1,,,,1
Anacoco,,,1,,,,,,,,,,1
Arcadia,,,,1,,,,,,1,,,2
Avery Island,,,,,,,,,,,1,,1
Baker,,,,,,,,,1,,,,1
Bastrop,,,1,,,,,,,,,,1
Baton Rouge,2,4,9,9,6,4,5,4,3,4,3,4,57
Belle Chasse,,,,1,,1,,,,,,,2
Benton,,,,1,,1,,1,1,,,1,5
Berwick,,,,,,,,,,1,1,,2
Bogalusa,,,,,1,,,,,,,,1
Bossier City,,,,2,1,,,1,1,1,1,,7
Breaux Bridge,,,,,,,,,,,1,,1
Broussard,,,,,,,,,1,1,1,,3
Bush,,,,,,,,,,1,,,1
Calhoun,,,1,,,,,,,,,,1
Carencro,1,,,,,,,,,,,1,2
Central,,,,,,,,,,,1,,1
Covington,,1,,1,,1,,,,1,,,4
Crowley,,,,,,,,,1,1,,,2
Delhi,,,,,,,,,,1,,,1
Denham Springs,,,,1,,,,1,,,,,2
DeQuincy,1,,,,,,,,,,,,1
DeRidder,,,,,,,,,1,,,,1
Eunice,,,,1,,,,,,1,,2,4
Florien,,,,,,,,,,1,,1,2
Fordoche,,,,,,,,1,,,,,1
Franklinton,,1,,,,1,,,,3,,1,6
Gilliam,,,,,1,,,,,,,,1
Gonzales,,,,3,1,,,,,,,,4
Grand Isle,,,1,,,,,,,,,,1
Gretna,,,,,,2,,,,,,,2
Gueydan,,,,,,,,1,,,,,1
Hammond,,1,3,1,,,1,,1,1,3,,11
Harahan,,,,,1,,,,,1,,,2
Haughton,,1,,,,,,,,,,,1
Haynesville,,,,,,,,,1,,,,1
Hessmer,,,,,1,,,,,,,,1
Houma,,,1,,1,,1,2,2,,1,2,10
Jefferson,,,,,,,1,,,1,,,2
Jena,,,,1,,,,,,,,,1
Jennings,,,,,,,,,1,2,1,,4
Jonesboro,,,,1,,,,,,,,,1
Kaplan,,,,,,,,,,1,,,1
Kenner,,,,1,,,,,,1,,2,4
Lafayette,,2,6,4,2,2,1,5,3,5,3,1,34
Lake Charles,,2,2,2,1,1,1,,3,,4,2,18
LaPlace,,,,,,,,,,1,,,1
Larose,,,,,,,,,1,,,,1
Leesville,,,,,2,,,,,1,1,2,6
Livingston,,,,,,,,,,1,,,1
Loranger,,,,,,,,,,1,,,1
Luling,,,1,,,,,,1,,,,2
Lutcher,,,,,,,,,,,1,1,2
Manchac,,,,,,,,,,,1,,1
Mandeville,,,,,,,,1,3,1,1,,6
Mansura,,,,,1,,,,,,,,1
Many,,,,1,1,,,,1,,,,3
Marksville,,,,1,,,,,1,,,,2
Marrero,,,,1,,,,,,1,,,2
Maurice,,,,,,,,,,1,,,1
Metairie,1,1,1,1,2,2,1,,,2,,,11
Minden,,1,,1,,,,1,,2,,1,6
Monroe,,2,2,,2,,,1,2,2,2,2,15
Moreauville,,,,,,,,,,1,,,1
Morgan City,,,,,,2,,,,1,,,3
Natchitoches,,,1,1,,,,,1,,1,,4
New Iberia,,,1,,,,,,,1,1,,3
New Orleans,3,6,8,4,8,4,3,5,6,6,5,5,63
New Roads,,,,1,2,,,,,2,1,,6
Norco,,,,,,1,1,,,,,,2
Olla,,,,1,,,,,,,,,1
Opelousas,,,,,1,,,,,,1,,2
Paincourtville,,,,,1,,,,,,1,,2
Pineville,,,,,,,,,,1,,,1
Pioneer,,,,,1,,,,,,,,1
Plaquemine,,,1,,,,,,,1,,,2
Ponchatoula,,,,1,1,,,,,,,1,3
Port Allen,,,,,1,,,,,1,,,2
Princeton,1,,,,,,,,,,,,1
Reeves,,,,,,,,,,,1,,1
Rocky Mount,,,1,,,,,,,,,,1
Rosepine,,,,,,,,,,,1,,1
Ruston,,2,2,1,1,,,,1,2,2,1,12
Saint Francisville,,,,,1,,,,,,,,1
Saint Joseph,,,,,1,,,,,,,,1
Scott,,,,1,,,,1,,1,,1,4
Shreveport,2,4,3,2,7,7,6,3,5,8,10,5,62
Slidell,,,1,,,,,,1,2,,1,5
Springhill,,,,,,,,,,,1,,1
St. Francisville,,,,,,,,,,1,,1,2
Stonewall,,,1,,,1,,,,,,,2
Sulphur,,1,,,,,,,,1,,,2
Sunshine,,,,,1,,,,,,,,1
Thibodaux,,,3,1,1,,,2,,2,2,,11
Vacherie,,,1,,,,,,,,,,1
Ville Platte,,,,,,,,,,,1,1,2
Walker,,,,,,,,1,,,,,1
West Monroe,,,,,2,1,,,1,1,1,1,7
Westwego,,1,,,,,,,,,,,1
Winnsboro,,,,2,,,,,,,,,2
Woodworth,,,,,,1,,,,,,,1
Youngsville,,1,,,1,,,,,1,,1,4
Zachary,,,,,,,,,,,1,,1
Zwolle,,,,,1,,,,,,,,1
Total,14,31,54,51,57,32,21,31,47,76,61,42,517
