City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Aberdeen,,,,1,,,,,,1,,,2
Accident,,,,,,,,,1,,,,1
Adamstown,,,,,1,,,,1,,1,,3
Ammendale,,,,,,,,,1,,,,1
Annapolis,,,1,7,4,10,4,3,5,6,9,4,53
Arbutus,,,,,,,1,,,,,,1
Arnold,1,,,2,,1,,,,,3,,7
Ashland,,,1,,,,,,,,,,1
Aspen Hill,,,,,1,,,,,,,,1
Baltimore,1,2,4,11,14,13,5,10,15,11,10,4,100
Beallsville,,,,,,1,,,,,,,1
Bel Air,,,4,2,3,1,1,2,2,5,1,3,24
Beltsville,,,,,2,2,,,,,,,4
Benedict,,,,,,,,,,,,1,1
Berlin,,1,,,1,,,,,1,,,3
Bethesda,,,3,2,4,1,,1,2,1,2,,16
Bivalve,,,,,1,,,,,,,,1
Boonsboro,,,,,,,,,3,,,,3
Bowie,,,2,2,1,1,,,,1,,,7
Boyds,1,,,,,,,1,,2,,,4
Brooklandville,,,,,,,1,,,,,,1
Brunswick,,,,,,,,1,,,,,1
Burkittsville,,,,,,,,,,1,,,1
Cabin John,,,,,,,,,2,3,,,5
California,1,,,,,,,1,,,,,2
Callaway,,1,,,,,,,,,,,1
Cambridge,,,,,1,1,1,,,2,1,,6
Carderock,,,,,1,,,,1,,3,1,6
Cascade,,,,,,,,2,,,,,2
Catonsville,,,,,1,1,,,,1,2,,5
Centreville,,,,,1,,,,,,,,1
Chaptico,,,,,,,,1,,,,,1
Charlotte Hall,,,,1,,,,2,1,1,,,5
Chase,,,,,,,,,,1,,,1
Chesapeake Beach,,,,,1,,,,,,,,1
Chesapeake City,,,,,1,,,,,,,,1
Chester,,,1,1,,,,,1,,,,3
Chestertown,,,1,1,1,,,,,2,1,,6
Cheverly,,,,,,,,,,,1,,1
Chevy Chase,,,,2,,,,,1,2,2,,7
Clarksburg,,,,1,1,,2,,,2,,,6
Clarksville,,,,1,,,,,,,,,1
Cockeysville,,,,1,2,1,,,,1,1,,6
College Park,,,,3,1,1,1,1,2,1,1,1,12
Colton's Point,,,,,,,,,,1,,,1
Columbia,4,3,,4,5,4,2,1,5,2,2,4,36
Conowingo,,,,,1,,,,,,,,1
Cooksville,1,,,1,,,,,,1,,,3
Cordova,,,,,1,,,,,,,,1
Crisfield,,,,,,,,,1,,,,1
Crofton,,,,,,1,,,,1,,,2
Crownsville,,,,1,,,,,1,,,,2
Crumpton,,,,,,,,1,,,,,1
Cumberland,,,,1,,1,,2,3,2,,,9
Davidsonville,,,,,1,,,,,,,,1
Deal Island,,,,,,,,,1,,,,1
