City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Appleton,,,,,1,,,,,,,,1
Auburn,,,1,1,1,2,1,1,3,2,1,,13
Augusta,,,,,6,3,3,3,4,2,1,,22
Bangor,,,1,1,,1,1,1,4,3,,1,13
Bar Harbor,,,,,,2,1,1,3,1,,,8
Bath,,,1,,1,,1,,,1,,,4
Belfast,,,,,1,,1,2,1,1,1,,7
Belgrade,,,,,,,1,,1,,,,2
Berwick,,,,,1,,,,,,,,1
Bethel,,,,,,,1,2,,,,,3
Biddeford,,,,1,1,2,,,,,1,,5
Biddeford Pool,,,,,,,,,1,,,,1
Blue Hill,,,,,,,,,1,,,,1
Boothbay,,,,,,,,,1,,,,1
Boothbay Harbor,,,,,,1,1,,,,,,2
Brewer,,,,,,,1,,,1,1,,3
Bridgton,,,,,,1,1,1,,,1,,4
Bristol,,,,,,,,1,,,,,1
Brunswick,1,,1,2,4,1,,2,2,,,,13
Bryant Pond,,,,,,1,,,,,,,1
Bucksport,,,,,,1,1,,,,,,2
Buxton,,,,,,,1,,,,,,1
Calais,,,,,,,,1,,1,,,2
Camden,1,,,,1,,2,,2,,,,6
Cape Elizabeth,,1,,,,1,,1,,,1,,4
Caribou,1,,,,,,,,,,,,1
Carrabassett Valley,,1,,,,,,1,,,,,2
Casco,,,,,,3,1,,,,,,4
Cherryfield,,,,,,,,,,,1,,1
Cumberland,,,,1,2,,,,1,,1,,5
Damariscotta,,,,,,,1,,,1,,,2
Dexter,,,,,,1,,,,,,,1
Dixfield,,,,,,,,,,,,1,1
Dover-Foxcroft,,,,,,,,1,,,,,1
East Machias,,,,,1,,,,,,,,1
Eastport,,,,,,,,,1,,,,1
Edgecomb,,,,,1,,,,,,,,1
Eliot,,,,,,,,,1,,,,1
Ellsworth,,,,1,2,2,1,,,1,,,7
Fairfield,,,,,,,,1,,,,,1
Falmouth,,,,2,,1,,,1,,1,,5
Farmington,,,,1,1,,,,1,1,,,4
Fayette,,,,,,,,1,,,,,1
Freeport,,,,,2,2,1,2,2,2,,1,12
Fryeburg,,,,,,,,2,,,,,2
Gardiner,,,,,,,,1,,,,,1
Gorham,,,,2,1,2,,,1,1,,,7
Grand Lake Stream,,,,,,,1,1,,,,,2
Gray,,,,,1,1,,,,,1,,3
Greenwood,,,1,,,,,1,,,,,2
Guilford,,,,,,,,,,1,,,1
