City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Aberdeen,,,,1,,,,,,,1,1,3
Advance,,,1,,,,,,,,,,1
Ahoskie,,,,,,,,,1,,,,1
Albemarle,,,4,2,2,,,4,1,2,2,1,18
Alexander,1,,,,,,,,,,,,1
Almond,1,,,,,,,,,,,,1
Apex,,1,,,2,,,,3,1,1,,8
Arapahoe,,,,2,1,,,,1,,,,4
Archdale,,,,,,,,,2,,,1,3
Arden,,,1,,,,,,,,,,1
Asheboro,,,1,1,,2,,,,2,,2,8
Asheville,2,,6,3,4,6,3,7,5,5,6,1,48
Atlantic Beach,,,,,2,2,2,1,1,,,,8
Aulander,,,,,,,,,1,,,,1
Aurora,,,,,1,,,,,,,,1
Ayden,,,,,,,,,2,,,,2
Badin,,,,,,1,,,1,,,,2
Bakersville,1,,,,,1,,,,,,,2
Bald Head Island,,,1,1,1,3,5,4,1,1,2,1,20
Barium Springs,,,,,,,1,,,,,,1
Bath,,,,1,1,,,,,,,,2
Beaufort,1,1,1,,1,,1,1,,,1,,7
Beech Mountain,,,,,,1,,,,,,,1
Belhaven,,,,1,,,,,,1,,,2
Belmont,,1,3,,1,,,,1,2,,1,9
Bennett,,,,,1,,,,,,,,1
Benson,,,,,,,,,,1,,,1
Bermuda Run,,,,,,,,,,,1,,1
Bessemer City,,,,,,,,,,1,,,1
Bethel,,,,,,,,,1,,,,1
Black Mountain,,2,,1,1,1,1,1,2,1,,,10
Blowing Rock,,,,1,1,,,,1,,,,3
Boiling Spring Lakes,,,,,,,,,1,,,,1
Boiling Springs,,,,1,,,,,1,,1,,3
Boomer,,,,,,,,,,,,1,1
Boone,,,1,4,2,2,1,2,1,2,3,,18
Boonville,,,,,1,,,,,,,,1
Bostic,,,1,,,,,,,,1,,2
Brevard,,,1,2,2,,1,,1,1,,1,9
Browns Summit,,,,,,,,,,2,,,2
Bryson City,,,,1,3,,1,,1,,,1,7
Buies Creek,,,1,,,,,,,1,2,,4
Burgaw,,,2,,,1,,,,,,,3
Burlington,,,,1,4,,1,1,,,1,1,9
Burnsville,,,,,3,1,,,,,,,4
Buxton,,,,,1,,,,,,,,1
Calabash,,,,,,,,,,,1,,1
Cameron,,,,,1,,,,,,,,1
Camp Lejeune,,1,1,3,,1,1,,1,1,,2,11
Candler,,,,2,,,,,,,,,2
Candor,,,,,,,1,,,,,,1
Canton,,,,,1,1,,3,,,,1,6
Cape Carteret,,,,,,1,,,,1,,,2
Carolina Beach,,1,1,1,1,,,,1,2,1,,8
Carrboro,,,,2,,,1,,,2,1,,6
Carthage,,,,,,1,,,,,,,1
Cary,4,,2,6,10,3,,5,8,6,6,3,53
Casar,,1,,,,,,,,1,,,2
Cashiers,,,,,,,,1,,,,,1
Catawba,,,1,1,,,,,,,1,,3
Cedar Point,,,,,,,,,,,1,,1
Cerro Gordo,,,,,1,,,,,,,,1
Chapel Hill,,2,4,4,6,,,2,3,2,4,1,28
Charlotte,2,6,14,18,18,13,8,10,22,18,9,9,147
Cherokee,,,,,,,,,2,5,1,,8
Cherry Point,,,2,,,1,,1,1,,,,5
Cherryville,,,1,,,,,,,1,,,2
Chimney Rock,,,,,,,,1,,,,,1
China Grove,,,,1,2,1,,,,,1,,5
Chocowinty,,,,,,,,,,1,,,1
Clayton,,1,,,1,,,,1,2,1,1,7
Clemmons,1,,2,1,2,2,,,2,2,2,,14
Climax,,,,1,,,,,,,,,1
Clinton,,,1,1,,,,,1,1,1,,5
Clyde,,,,,1,,,,2,1,,,4
Coats,,1,,,,,,,,,,,1
Colfax,,,,,,,,,1,,,,1
Columbia,,,,,,,,,,1,,,1
Columbus,,,,,1,,,,,1,,,2
Concord,,,4,5,3,1,1,,4,5,4,,27
Conover,,,1,,,2,,,,1,,,4
Cordova,,,,1,,,,,,,,,1
Cornelius,,,,,1,,,1,2,1,1,1,7
Corolla,,,,,1,,3,4,,,1,,9
Cullowhee,,,,2,,,,,1,2,,,5
Currituck,,,,,,,,,,,1,,1
Dallas,,,1,,,,,,,1,,,2
Danbury,,,,,1,,,1,,,,,2
Davidson,1,,2,,3,1,,1,2,1,1,,12
Denton,,,,,1,1,,,,,,,2
Denver,,1,,1,1,1,,,1,1,1,,7
Derby,,,,,,,,,,,1,,1
Dilworth,,,,,,,,1,,,,,1
Dobson,,,,1,1,,,,,,,,2
Drexel,,,1,,,,,,,,,,1
Duck,,,,,,,,,,,1,,1
Dunn,,,,,1,2,,1,,,,,4
Durham,,1,7,6,5,1,1,2,3,6,4,2,38
Earl,,,,,,,,,,,1,,1
East Bend,,,,,1,,,,,,,,1
East Flat Rock,,,,,,,,,,1,,,1
Eden,,,,1,,,,,1,1,,1,4
Edenton,,,1,1,1,,,,,1,,,4
Efland,,,,,,,,,,,1,,1
Elizabeth City,,,,2,2,,,,,2,2,,8
Elizabethtown,,,1,1,,1,,,1,1,,,5
Elkin,,,,2,,1,,,,1,,,4
Ellenboro,,,,,,,,,,1,,,1
Ellerbe,,,1,,,1,,,,,,,2
Elm City,,,,,,,1,,,1,,,2
Elon,,,,1,2,,,,1,,,,4
Emerald Isle,,,,1,1,,,1,,,,,3
Erwin,,,,1,,1,,,1,1,,1,5
Fairmont,,,,,,,,,,,,1,1
Fairview,,,,,,,,,1,,,,1
Faison,,,,,,,,,,,1,,1
Faith,,,,,,1,,,,,,,1
Farmville,,,,,1,,,,,,,,1
Fayetteville,2,,3,1,5,1,3,2,4,1,3,2,27
Flat Rock,,,1,,,,,,,1,,,2
Fletcher,1,2,3,6,3,1,1,4,1,1,2,1,26
Fontana Dam,,,,,1,,,,,,,,1
Forest City,,,,1,,1,,,1,2,,,5
Fort Bragg,1,,,1,,,,,,,2,,4
Four Oaks,,,,,1,,,,1,,,,2
Franklin,,1,1,1,2,1,1,2,,4,2,,15
Fuquay-Varina,,,,,1,1,,,,,1,,3
Garner,,,,,,,1,,,2,1,,4
Gastonia,,1,1,1,3,,1,1,,1,1,,10
Gatesville,,,1,,,,,,,,,,1
Gerton,,,,,1,,,,,,,,1
Gibsonville,,1,1,,,1,,,,,1,1,5
Gold Hill,,,,,,,,,1,,,,1
Goldsboro,,1,1,2,1,1,,1,1,,5,1,14
Graham,,,,,1,,,,,,1,,2
Granite Falls,,,,,1,,,,1,,,,2
Greensboro,2,1,5,10,7,8,,6,7,10,10,3,69
Greenville,,3,6,9,2,2,,,4,6,7,1,40
Grifton,,,,1,1,,,,,1,,,3
Hallsboro,,,,,,,,,1,,,,1
Hamlet,,,1,,,,,,,1,,,2
Hampstead,,1,,1,,,,1,1,,2,,6
Harkers Island,,,1,,,,,,,,,,1
Harrisburg,,,1,1,,,,,,,,1,3
Hatteras,,,,,1,,,,,,1,,2
Havelock,1,,,,,,,,,1,,,2
Hayesville,1,,,,,,,,,,,,1
Henderson,,,,,1,1,,,,,,,2
Hendersonville,,1,2,3,3,1,,,2,4,2,1,19
Hertford,,,,,,,,,,1,,,1
Hickory,,,,1,2,2,,1,2,2,2,1,13
Hiddenite,,,,,1,,,,1,,,,2
High Point,,,,1,2,,,2,2,2,3,2,14
Highlands,,,,,1,1,,1,,,,,3
Hillsborough,1,,,1,2,,,,,,,,4
Hobbsville,,,,,1,,,,,,,,1
Hobgood,,,,,,,,,,1,,,1
Holden Beach,,,1,,,,,,1,1,1,,4
Hollister,,,,1,1,,,,,1,,,3
Holly Ridge,,,,1,,,,,,,,,1
Holly Springs,,,,1,,,,,,1,,2,4
Hope Mills,,,,1,,1,,1,1,1,2,1,8
Hudson,,,1,,1,,,,,,1,,3
Huntersville,1,,4,4,6,2,2,1,2,2,2,3,29
Indian Trail,,,,1,,,1,1,1,,,,4
Iron Station,,,,,,,,,,1,,,1
Jacksonville,,,1,3,3,2,,1,3,5,2,2,22
Jamestown,,,,2,1,,,,,,1,1,5
Jarvisburg,,1,,,1,,,,,,,,2
Jonas Ridge,,,,,,,1,,,1,,,2
Jonesville,,,,,1,,,,,,,,1
Kannapolis,,,1,2,1,,,,,1,,1,6
Kelly,,,,1,,,,,,,,,1
Kenansville,,,1,,,,,,,,,,1
Kernersville,,,,1,2,,1,,,1,,1,6
Kill Devil Hills,,,,1,,,1,,,,,,2
King,,,1,,,,,,1,2,,,4
Kings Mountain,1,,1,,2,,,,,1,,1,6
Kinston,,1,2,,,,,,1,2,1,,7
Kitty Hawk,,,1,1,,,,1,,,2,,5
Knightdale,,,,,,,,,1,,1,,2
Kure Beach,,,,1,,,,,,,,,1
La Grange,,,,,,,,,,1,,,1
Lake Junaluska,,,1,,,1,,,,,,,2
Lake Lure,,,,,1,,,2,,,,,3
Lake Norman,,,,,,,,,1,,,,1
Lake Waccamaw,,1,,,,,,,1,,,1,3
Lake Wylie,,,,,,,,,1,,,,1
Landis,,,,,,,,,,1,,,1
Lattimore,,,,,,,,1,,,,,1
Laurinburg,,,,1,,,,,,1,,,2
