City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Allamuchy,,,,,,,,,,1,,,1
Allendale,,,,,,,,,,1,,,1
Allentown,,,,,,,,,,1,,,1
Alloway,,,1,,,,,,,1,,,2
Andover,,,,,,1,,,1,1,1,,4
Asbury,,,,,1,,,,,,,,1
Asbury Park,,,,1,,2,,1,1,,1,1,7
Atco,,,,1,1,1,,,,,,,3
Atlantic City,,,,3,2,1,2,3,1,2,,,14
Atsion,,,,,,,,,1,,,,1
Audubon,,,,,,,,,,1,,,1
Augusta,,,,1,4,,,,2,,2,,9
Ausbury Park,,,,1,,,,,,,,,1
Avalon,,,,,1,2,3,,2,,1,1,10
Avon,,,,,1,,,,,,1,,2
Barnegat,,,,,2,,,,1,,,,3
Barrington,,,,,,,1,,,,,,1
Basking Ridge,,,1,1,3,4,,,1,3,3,,16
Bay Head,,,,,,,,,,1,,,1
Bayonne,,,,,,1,,,2,3,,,6
Beach Haven,,,,,,,,,,,2,,2
Bedminster,,,,,,,,,,,1,,1
Bellmawr,,,,,,1,,,,,,,1
Belmar,,,,,1,,1,2,,,,,4
Belvidere,,,,1,1,,,1,,,,,3
Bergenfield,,,,,,,,,,1,,,1
Berkeley Heights,1,,,,1,,1,,1,,,,4
Berlin,,,,1,1,,1,,,1,,,4
Bernardsville,,,,1,1,,,,,,,1,3
Blairstown,,,,,1,,,,,,1,,2
Bloomfield,,,,3,,1,,1,1,1,,,7
Bloomingdale,,,,,,,,,1,,,,1
Bloomsbury,,,,,,,,,,1,,,1
Bogota,,,,,,,,,,1,,,1
Boonton,,,,,,1,4,1,,,,,6
Bordentown,,,1,,,,,,,,1,,2
Bound Brook,,,,,2,,,,,,,,2
Bradley Beach,,,,,,,,1,,,,,1
Branchville,,,,,,,,,,1,,,1
Brant Beach,,,,,,,,1,1,,,,2
Brick,,,,,,1,,1,,1,1,,4
Bridgeton,,,,,,,1,1,,1,1,,4
Bridgewater,,,1,1,1,3,1,,2,3,,,12
Brielle,,,,,,,,,1,,,,1
Brigantine,,,,,,1,,,,,,,1
Brooklawn,,,,1,,,,,,,,,1
Browns Mills,,,,,,,,,1,,,,1
Buena,,,,,,2,,,,,,,2
Burlington,,,,,,,,,1,,,1,2
Butler,,,,,,,,,,,1,,1
Byram,,,,1,,,,,,,,,1
Caldwell,,,,,2,,,,2,,,1,5
Califon,,,,,1,,,,,1,,,2
Camden,,,,1,1,,1,,,4,1,1,9
Cape May,,,,2,2,2,,1,1,2,1,,11
Cape May County,,,1,,,,,,,,,,1
Cape May Court House,,,,1,,,,,,,,,1
Cape May Point,,,,,,1,,,,,,,1
Cedarville,,,,,1,,,,,,,,1
Chatham,,,,,,1,,,1,1,1,,4
Cherry Hill,,,,1,3,3,1,1,3,5,,1,18
Chester,,,,,2,,,,,,,,2
Chesterfield,,,,,,,,,1,,,,1
Cinnaminson,,,,,,,,,1,,,,1
Clark,,,,1,1,,,1,2,4,1,,10
Clayton,,,,,,,,,,1,,,1
Cliffside Park,,,,,1,,,,,,,,1
Clifton,,,,,,,,,,1,1,,2
Clinton,,,1,,4,,1,,3,1,,,10
Clinton Township,,,,1,,,,,,,,,1
Closter,,,,,,,,,1,,,,1
Collingswood,,,,,,1,,,,1,,,2
Colonia,,,,1,,,,1,,,,,2
Colts Neck,,,,,,,,,,1,,,1
Columbia,,,,,,,,,,,1,,1
Columbus,,,1,,,,,,,,,,1
Cranbury,,,,,,,,,1,,,,1
Cranford,,,,1,1,1,1,,1,3,2,,10
Cream Ridge,,,,1,,,,,,,,,1
Cresskill,,,,,,,,,,1,,,1
Deal,,,,,,,,,,1,,,1
Delaware,,,,1,,,,,,,,,1
Delran,,,,,1,,,,1,,,,2
Demarest,,,,,1,,,,,,,,1
Denville,,,2,1,,,,,,,,,3
Deptford,,,,2,,,,1,,1,,,4
Dover,,,,,,,,1,,,,,1
Dumont,,,,,,,,,1,,,,1
Dunellen,,,,,,,,,1,,,,1
East Brunswick,,,,1,,1,1,,,2,,,5
East Rutherford,,,,1,1,,1,,,,,,3
East Windsor,,,,,,,,,,1,,,1
Eastampton,,,,,,1,,,,,,,1
Eatontown,,,,,,,,,1,,,,1
Edison,1,,,,,1,1,,2,,,,5
Egg Harbor City,,,,,,,1,,1,,,,2
Egg Harbor Township,,,,,,1,,,,1,1,,3
Elizabeth,,,,,,1,,,,,,1,2
Elmer,,,,,,,,,,1,,,1
Emerson,,,,,,,,,,1,,,1
Englewood,,,,,,,,1,,,,,1
Englishtown,,,,,2,1,2,1,1,1,,,8
Erial,,,,,1,,,,,,,,1
Ewing,,,1,,1,,,,1,,,,3
Fair Haven,,,,,,1,,,,,,,1
Fair Lawn,1,,1,,1,,,,,,,,3
Fanwood,,,,,,,,,,1,,,1
Farmingdale,,,,,,,,,,1,,,1
Flanders,,,,1,,,,,2,3,,,6
Flemington,,,,1,1,,,,2,1,1,,6
Florham Park,1,,,1,,1,,,1,1,1,,6
Forked River,,,1,,,,,1,,1,1,,4
Fort Lee,,,,,1,1,,,3,4,,,9
