City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acoma,,,,,1,,,,,,,,1
Alamogordo,,1,,,,1,,,,1,,1,4
Albuquerque,4,4,5,11,10,6,4,10,8,12,9,4,87
Angel Fire,,,,,,1,1,1,,,,,3
Anthony,,,1,,,1,,,,,,,2
Artesia,,,,,1,,,,,,,,1
Bernalillo,,,,,1,1,,,,,,,2
Bloomfield,,,,,,,1,,,1,,,2
Cannon AFB,,,,,,,,,,,1,,1
Carlsbad,,,,,,,,1,,,,,1
Cimarron,,,,,,,,,,1,,,1
Clayton,,,1,,,,,,,,,,1
Cloudcroft,,,,,,1,,,,,,,1
Clovis,,,1,,,,,1,1,1,1,,5
Cochiti Lake,,,,,,,,1,,,,,1
Corrales,,,,,,,,,1,,1,,2
Crownpoint,,,,,,1,,,,,,,1
Deming,,,,,,,,1,,,,,1
Dexter,,,,,,1,,,,,,,1
Edgewood,,,,,,,,1,,,,,1
Farmington,,,,1,,,,,2,1,,,4
Gallup,,,,,1,1,,,1,,,,3
Grants,,1,,,,,,,1,,,,2
Hobbs,,,,,,,,,,1,,,1
Holloman AFB,,1,,1,,,,,1,,,,3
Jemez Springs,,,,1,,,,,,,,,1
Kirtland AFB,,1,,,,,,,,,,,1
La Union,,,,,1,,,,,,,,1
Las Cruces,2,3,2,2,,,1,,1,5,11,,27
Las Vegas,,,,,,,1,1,,,,,2
Logan,,,,,,,,1,,,,,1
Los Alamos,,,,1,1,,1,2,,,1,,6
Los Lunas,,,1,,1,,,,1,3,,,6
Lovington,,,,1,,,,,,,,,1
McGaffey,,,,,,1,,,,,,,1
Mesilla,,1,,,,1,,,,,1,,3
Moriarty,,,,,,,,,,,1,,1
Navajo,,,,,,,,,,,1,,1
Pecos,,,,1,,,,,,,,,1
Placitas,,,,1,,,,,,,,,1
Portales,,,,1,,1,1,,,1,,,4
Pueblo of Pojoaque,,,,,,1,,,,,,,1
Raton,,,,1,,,,,1,,,,2
Red River,1,,,,1,,,,,,,,2
Rio Rancho,,,1,1,2,,2,2,1,1,1,,11
Roswell,,1,1,,1,,2,1,1,,2,1,10
Ruidoso,,,,,,,1,,1,,,,2
Sacramento,,,,,,,,1,,,,,1
Sandia Park,,,,,,,,,1,,,,1
Santa Fe,1,2,,2,2,1,1,1,10,3,2,1,26
Santa Rosa,,,,,,1,,,,,,,1
Shiprock,,,,,1,,,,,,,,1
Silver City,,,,,1,,,,,1,,,2
Socorro,,,,,,,,2,,,,,2
Sunland Park,,,,,1,,,,1,,,,2
Taos,,,,,1,2,,,,,,,3
Taos Ski Valley,,,,,,,,1,,,,,1
Tijeras,,,,1,,,,,,,,,1
Tohatchi,,,,,,,1,,,,,,1
Vado,1,,,,,,,,,,,,1
White Sands,,,1,,,,,,,,,,1
White Sands Missile Range,,1,,1,,1,,1,,,,,4
Total,9,16,14,27,27,23,17,29,33,32,32,7,266
