City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Barrington,,,1,,,,,,,,1,,2
Block Island,,,,,,,,3,1,,1,,5
Bristol,1,,,,2,2,2,2,1,3,1,,14
Charlestown,1,,1,,1,1,,,1,2,1,,8
Chepachet,,,,,,,1,,,,,,1
Coventry,,,,,2,,,,,,,,2
Cranston,,,,1,,2,,,,1,1,,5
Cumberland,,,,,,2,1,2,,2,3,,10
East Greenwich,,,,,,,,,,,2,,2
East Providence,,,,,1,1,1,1,,2,1,,7
Exeter,,,,,,,,,,1,,,1
Foster,,,,,1,,,,,,,,1
Greenville,,,,1,,,,,1,,,,2
Hope,,,,1,,,,,,,,,1
Jamestown,,,,,1,,,,1,,1,,3
Johnston,,,,,,,,1,,,,,1
Kingston,,,2,1,1,,,,1,1,,,6
Lincoln,,,,2,,,,1,,,,,3
Little Compton,,,,1,,,1,1,,,,,3
Middletown,,,,,,1,,,1,,1,,3
Misquamicut,,,,,,3,5,4,1,,,,13
Narragansett,1,,,1,2,1,2,2,2,2,,,13
Newport,,1,,,1,3,1,,1,5,,1,13
North Kingstown,,1,1,2,,,1,,1,,,,6
North Scituate,,,1,,,,,,,,,,1
North Smithfield,,,,,1,,,,,,,,1
Pawtucket,,,1,3,,2,,,2,2,,,10
Portsmouth,,,,1,,,,1,1,,1,1,5
Providence,,,2,2,4,,1,1,5,5,1,1,22
Prudence Island,,,,,,,,1,,,,,1
Rumford,,,,,1,,,,,1,,,2
Saunderstown,,,,,1,,,,,,,,1
Smithfield,,,,1,,1,,1,3,,,,6
South Kingstown,,,1,,,,1,1,1,1,1,1,7
Tiverton,,,,1,,,,,,,,,1
Wakefield,,,1,1,1,,,1,,,,,4
Warren,,,,4,5,4,5,4,1,2,,,25
Warwick,,,,2,2,4,,,3,3,2,,16
West Greenwich,,,,1,,,,,,,,,1
West Kingston,,,,,1,,,,1,,,,2
West Warwick,,,,,,,,,1,,,,1
Westerly,,,,1,,1,,2,2,1,1,,8
Wood River Junction,,,,1,,,,,,,,,1
Woonsocket,,,,,1,1,,,,,,,2
Total,3,2,11,28,29,29,22,29,32,34,19,4,242
