City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Aiken,1,,,2,2,,,1,3,1,1,1,12
Allendale,,,,,1,,,,,,,,1
Anderson,,,2,2,2,1,1,,1,1,2,2,14
Awendaw,,,,,,,,1,,,1,,2
Barnwell,,,,1,,,,,,,,,1
Beaufort,,2,1,,1,1,1,,,1,1,1,9
Bennettsville,,,,,,,,,,,1,,1
Bethera,,,,,,1,,,1,,,,2
Bishopville,,,,,,,,,,,,1,1
Blacksburg,,,,,1,,,,,,,,1
Blackville,,,,,,,,,,,1,,1
Bluffton,1,1,2,,1,1,1,1,2,5,1,,16
Blythewood,,,,1,,,,,,1,,,2
Boiling Springs,,,,1,,,,,,,,,1
Branchville,,,,,,,,,,1,,,1
Camden,,,,1,,,,1,,,,,2
Cayce,,,1,,,,,,,,,1,2
Central,,,,,,,,,,1,,,1
Chapin,,,,,,,,1,,,,,1
Charleston,4,4,6,7,10,6,3,1,2,7,4,4,58
Cheraw,,,1,,,,,,,,,,1
Chesnee,,,1,,,1,,,,,,,2
Chesterfield,,,,,,1,,,,1,,,2
Clearwater,,,,,,,,,,,1,,1
Clemson,,,1,5,2,1,,,,,1,,10
Clinton,,,1,,2,,,,,,1,,4
Clover,,,1,2,1,,,,2,1,2,,9
Columbia,3,9,4,8,4,1,3,5,2,4,7,7,57
Conway,,,1,2,1,,,,,1,1,1,7
Cordesville,,,,,1,,,,,,,,1
Cowpens,1,,,,,,,,,,,,1
Daniel Island,,,,,1,1,1,1,1,,,,5
Darlington,,,,,,,,,1,,,,1
Dataw Island,1,,,,,,,,,,,,1
Due West,,,,,,,,,,1,,,1
Duncan,,1,1,,1,1,,,,,,,4
Easley,,,,1,1,,1,,1,1,,,5
Edisto Beach,,,1,,,,,,,,,,1
Elloree,,,,,,,,1,,,,,1
Eutawville,,,,,,,,,1,,,,1
Florence,2,,4,3,2,1,,,,2,4,,18
Folly Beach,,2,,1,,,,,,1,1,,5
Fort Mill,2,3,3,2,3,1,1,,,3,,,18
Fountain Inn,,,,,,1,,,,1,,,2
Gaffney,1,,1,1,,,1,,,,,,4
Galivants Ferry,,,,,,,,,,1,,,1
Garden City Beach,,,,1,,,,,,,,,1
Gaston,,,,2,1,,,,,,,,3
Georgetown,,,,,,,,,,,1,,1
Goose Creek,,,,,,,,,,1,,,1
Greenville,3,5,5,2,9,,5,9,7,5,10,2,62
Greenwood,,,,3,2,1,,,2,2,2,,12
Greer,,1,,2,2,,,,2,1,,1,9
Hampton,,,,,,1,,,,1,,,2
Hanahan,,,,,1,,,,1,,,,2
Hartsville,,1,,1,1,1,,2,1,,1,,8
Hemingway,,,,,,,,,,1,,,1
Hilton Head,,,1,1,,,,,1,,1,1,5
Hilton Head Island,2,1,1,1,3,1,2,2,,1,1,1,16
Huger,,,,,1,,,,,,,,1
Inman,,2,,,,1,,,,,,,3
Irmo,1,,,1,1,,1,,1,2,,,7
Isle of Palms,,,,,,,1,,,4,,,5
Iva,,,,,,,,,,1,,,1
Jamestown,,,,,1,,,,,,,,1
Jefferson,,,,,,,,,,1,,,1
Johns Island,,,,3,,,,,,3,1,,7
Johnsonville,,,,,1,,,,1,,,,2
Kiawah Island,,,,,,,,,1,,,1,2
Kingstree,,,,1,1,,,,,,,,2
Lake City,,,,1,1,,,,1,,,,3
Lake Wylie,,1,,1,,1,,,,,,,3
