City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Aberdeen,,,,,2,,1,,1,,,,4
Arlington,,,,,,,1,,,,,,1
Belle Fourche,,,1,,,,1,1,2,,,,5
Beresford,1,,,,,,,1,,,,,2
Brandon,,,,,,,,,,1,,,1
Britton,,,,,,1,,,,,,,1
Brookings,,,,2,2,1,1,1,1,3,1,,12
Buffalo,,,,,,,,,1,,,,1
Chamberlain,,,,,,1,,,,,,,1
Colman,,,,,,,,1,,,,,1
Crazy Horse,,,,,,,,,,1,,,1
Custer,,,,,,1,,1,1,,,,3
Dakota Dunes,,,,,,,1,,,,,,1
De Smet,,,,,,1,,,,,,,1
Deadwood,,,,,,2,,,,,,,2
Deerfield,,,,,,,,,,1,,,1
Dell Rapids,,,,1,,,,,1,,,,2
Elk Point,,,,,,,,,1,,,,1
Flandreau,,,,,,,,1,,1,,,2
Gary,,,,,,,1,,,,,,1
Harrisburg,,,,,,3,,2,,,,,5
Hayti,,,,,,,1,,1,,,,2
Hot Springs,,,,,,,1,,1,,,,2
Hoven,,,,,1,,,,,,,,1
Huron,,,,,,1,,1,,,,,2
Lennox,,,,,,,1,,,,,,1
Madison,,,,,,1,,,,,,,1
McCook Lake,,,,,,,,1,1,,,,2
Menno,,,,,,,1,,,,,,1
Milbank,,,,,,1,,,,,,,1
North Sioux City,,,,,,1,,,,,,,1
Pierre,,,,,,,,1,,,,,1
Rapid City,,2,1,2,5,3,3,1,4,2,2,,25
Renner,,,,,,1,,,,,,,1
Salem,,,,,,1,,,,,,,1
Scotland,,,,,1,,,,,,,,1
Sioux Falls,,,,3,3,4,,3,3,2,2,,20
Spearfish,,,,1,3,,2,3,1,,,1,11
Sturgis,,,,,1,1,1,,,,,,3
Tea,,,,,,,,,1,,,,1
Vermillion,,,,,,,,,2,,,,2
Viborg,,,,,,1,,,,,,,1
Warner,,,,,,,,,,,1,,1
Watertown,,,1,,,1,,1,1,,,,4
White,,,,,,,,,1,,,,1
Yankton,,,,2,,,,,,,,,2
Total,1,2,3,11,18,26,16,19,24,11,6,1,138
