City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adams,,,,,,,1,,,,,,1
Algoma,,,,,,,,1,,,,,1
Allenton,,,,,,,,1,,,,,1
Altoona,,,,1,,1,,1,,,,,3
Amery,,,,,,1,,,1,,,,2
Antigo,,,,,,,,1,,1,,,2
Appleton,,1,,2,3,1,1,2,4,3,3,,20
Arbor Vitae,,,,,,1,,,,,,,1
Arcadia,,,,,,,,2,,1,1,,4
Argyle,,,,,,1,,,,,,,1
Arkansaw,,,,,,1,1,,,,,,2
Ashland,,,,,1,1,1,1,,2,1,1,8
Ashwaubenon,,,,,1,,,,,,,,1
Athens,1,,,,,,,1,,,,,2
Auburndale,,,,,,1,,,,,,,1
Augusta,,,,1,,1,1,,,,,,3
Babcock,,,,,,1,,,,,,,1
Baldwin,,,,,,1,,,,,,,1
Baraboo,1,,,,1,2,1,1,3,,1,1,11
Barre Mills,,,,,1,,,,,,,,1
Barron,,,,,1,,,,1,,,,2
Bayfield,,,2,,,,,,,1,,,3
Bayside,,,,,1,,,,1,,,,2
Bear Creek,,,,,,,,,1,,,,1
Beaver Dam,,,,,1,,,,1,,,,2
Belgium,,,,1,,,,,,,,,1
Belleville,,,,,,,1,,1,,,,2
Beloit,,,1,,1,,,,,1,,,3
Berry,,,,,1,,,,,,,,1
Birchwood,,,,,,,1,,,,,,1
Birnamwood,,,,,,1,,,,,,,1
Black Creek,,,,,,,,,,1,,,1
Black Earth,,,,1,,1,,,,,,,2
Black River Falls,,,,,2,,1,,2,,,,5
Blair,,,,,,,,,1,,,,1
Blanchardville,,,,,,,,,,,1,,1
Bloomer,,,,1,,2,1,1,1,,,,6
Blue Mounds,,,,,,1,,,,,,,1
Boscobel,,,,,,,1,,1,,,1,3
Boulder Junction,,,,,1,,,1,,,,,2
Boyceville,,,,,,,,,,1,,,1
Brillion,,,,,1,,,1,,,,,2
Bristol,,,,,,,,,,,1,,1
Brookfield,,,,1,,1,1,,,,2,,5
Brown Deer,,,,1,,,,,,,,,1
Brule,,,,,,,,1,,,,,1
Brussels,,,,,,,1,,,,,,1
Burlington,,,1,,2,,,,1,,1,,5
Cable,,,1,,,,,,,,,,1
Cambria,,,1,,,,,,,,,,1
Cambridge,,,,,,,1,1,1,,,,3
Cameron,,,,,1,,,,,,,,1
Camp Douglas,,,,,1,,,,,,,,1
Campbellsport,1,,,,,,1,,,,,,2
Cascade,,,,1,,,,,,,,,1
Casco,,,,,1,,,,,,,,1
Cashton,,,,,,,,1,,,,,1
Cazenovia,,,,,,,1,,,,,,1
Cedarburg,,,1,,,1,1,1,,,1,1,6
Chaseburg,,,,,,1,,,,,,,1
Chili,,,,,,,,1,,,,,1
Chippewa Falls,,,1,,1,1,,2,3,,1,1,10
Clinton,,,,,,,1,,,,,,1
Clintonville,,,,,1,,,,1,1,,,3
Cobb,,,,,,,,1,,,,,1
Colby,,,,,,,1,,,,,,1
Columbus,,,1,,,,1,,1,1,,,4
Combined Locks,,,,,,,,1,,,,,1
Coon Valley,,,,,,,1,,,,,,1
Cornell,,,,,,,,,,1,,,1
Cottage Grove,,,,1,,1,,,1,,,,3
Crandon,,,,,1,,1,,,,,,2
Cross Plains,1,1,,1,,,,,,1,,,4
Cuba City,,,,,1,,,,,,,,1
Cudahy,,1,,,,,2,,1,,,,4
Cumberland,,,,,,,1,,,,,,1
Dane,,,,,,2,,,,,,,2
Darboy,,,,,,1,,,,,,,1
Darien,,,,,,,,,,1,,,1
Darlington,,,,,,1,,,1,,,,2
De Forest,,,,,1,,,,,,,,1
De Pere,1,1,,,1,1,1,,1,1,2,,9
Deer Park,,,,,,1,,,,,,,1
Deerfield,,,,,,,,,1,,,,1
Deforest,,,,,,,1,,2,,,,3
Delafield,,,,1,,,1,1,1,1,,,5
Delavan,,,,,2,1,,1,,1,,,5
Denmark,,,,,,,1,,,,,,1
Dodgeville,,,,,1,,1,,,,,,2
Dousman,,,,,1,1,2,,1,,,,5
Dyckesville,,1,,,,,,,,,,,1
Eagle,,,,,1,,,,1,2,,,4
Eagle River,,,1,,1,,1,1,1,,,,5
East Troy,,,,,,,,1,,,,,1
Eau Claire,,1,1,4,7,6,3,1,3,6,3,,35
Edgar,,1,,,1,1,,,1,,,,4
Edgerton,,,,,2,,2,,2,1,,,7
Egg Harbor,,,,,,,2,,,,,,2
Eleva,,,,,1,,,,,,,,1
Elkhart Lake,1,,,,,1,,,,1,,,3
Elkhorn,,,,,2,1,2,,,2,1,2,10
Ellsworth,,,,,,1,,,,,1,,2
Elm Grove,,,,,,,,1,,,,,1
Elroy,,,,,,,,,1,,,,1
Erin,,,,,,,,,,1,,,1
Evansville,,,,,,,1,,,,2,,3
Fall Creek,,,,,,1,,,,,,,1
Fall River,,,,,,,,,1,,1,,2
Fennimore,,,,,,1,,,1,1,,,3
Ferryville,,,,,,,,,1,,,,1
Fish Creek,,,,,1,,1,,1,,,,3
Fitchburg,1,1,2,,,1,,,2,2,1,1,11
Fond du Lac,,2,1,1,2,2,1,,3,1,2,1,16
Footville,,,,,,1,,,,,,,1
Fort Atkinson,1,,,1,2,1,1,,,,1,,7
Francis Creek,,,,,,,,,1,,,,1
Franklin,,,,,,,,,,,,1,1
Frederic,,,,,,1,,,,,,,1
Fredonia,,,,,,1,,,,,,,1
Fremont,,,,,,,1,,,,,,1
Friendship,,,,,,1,,,,,,,1
Galesville,,,,,,,1,,,,,1,2
Gays Mills,,,,,,,,,1,,,,1
Germantown,,,,1,1,,,,1,1,1,,5
Gills Rock,,,,,,,,,,1,,,1
Gilman,,,,,,2,,,,,,,2
Glendale,,,,,,1,,,,1,,,2
Glenwood,,,,,,,,,,1,,,1
Gordon,,,,,,,1,,,,,,1
Grand View,,,,,,,,1,,,,,1
Grantsburg,,,,,1,1,,,,,,,2
Green Bay,,,3,,4,5,,3,3,6,1,1,26
Green Lake,,,,,,,1,,1,,,,2
Greenbush,,,,,,,,,,1,,,1
Greendale,,,,,1,,,,,,1,,2
Greenville,,,,,,,,1,,,,,1
Hales Corners,,,1,1,,,1,,,,1,,4
Hammond,,,,,,,,1,,,,,1
Hartford,,,,,,,1,2,,1,,,4
Hartland,,,1,,,,,1,,,1,,3
Hayward,,,1,,1,1,,,2,,,,5
Helenville,,,,,1,,,,,,,,1
Herbster,,,,,,,,1,,,,,1
Hewitt,,,,,,,,,,,1,,1
Hilbert,,,,,,,,1,,,,,1
Hillsboro,,,,,,1,,,2,,,,3
Hingham,,,,,1,,,,,,,,1
Holcombe,,,,,2,,,,,,,,2
Holmen,,,,,,,,,1,,,,1
Horicon,,,,,,1,,,,2,,,3
Hortonville,,,,,1,,,,,,,,1
Howard,,,,,,1,,,,,,,1
Hubertus,,,,,,1,,,,,,,1
Hudson,1,1,,,2,3,,4,4,1,,,16
Hurley,,,,,,,,1,,,,,1
Hustler,,,,,,,,1,1,,,,2
Iola,,1,,1,,,,,,1,,,3
Ixonia,,,,,,,,,1,,,,1
Jackson,,,,,,,,1,,1,,,2
Janesville,,2,1,,3,3,1,2,1,,2,,15
Jefferson,,,,,1,1,,,2,1,,,5
Johnson Creek,,,,,,1,,1,,1,,,3
Juda,,,,,1,,,,,,,,1
Juneau,,,,,,1,,,,,,,1
Kansasville,,,,,,,,,1,,,,1
Kaukauna,,,,,,,1,1,,,,,2
Kellner,,,,,,1,,,,,,,1
