City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alderson,,,,,,,1,,,,,,1
Arnoldsburg,,,,,,,1,,,,,,1
Arthurdale,,,,,,,,1,,,,,1
Barboursville,,,,,1,2,,,,1,,,4
Barnum,,,,,,,,,1,,,,1
Beckley,,,,,,,,,1,1,,,2
Benwood,,,1,,,,,,,1,,,2
Berkeley Springs,,,,,,1,1,,,,1,,3
Beverly,,,,,,,1,,,,,,1
Bluefield,,,,,,1,,,,1,1,1,4
Bridgeport,,,,,,2,1,,,1,,,4
Bruceton Mills,,,,,,,,1,,,,,1
Buckhannon,,,,,1,,,1,,,,,2
Buffalo,,,,,,,,,1,,,,1
Bunker Hill,,,,1,,,,,,,,,1
Caldwell,,,,,,,,,1,,,,1
Capon Bridge,,,,,,,,,1,,,,1
Charles Town,,,,,1,,,,1,,,,2
Charleston,1,,3,,5,1,2,1,2,3,1,1,20
Chester,,,,,,,1,,,,,,1
Circleville,,,,,,,,,,4,,,4
Clarksburg,,,,1,1,1,1,1,,1,,,6
Clendenin,,,,,1,,,,,,,,1
Clifftop,,,,1,,,,,,1,,,2
Craigsville,,,,,,,,,1,,,,1
Cross Lanes,,,,,1,,,,,,,,1
Davis,1,,,,,1,,,1,,,,3
East Lynn,,,,,,,,,1,,,,1
Eleanor,,,1,,,,,1,,,,,2
Elkins,,,,1,,,,1,1,1,,,4
Fairmont,1,,,1,1,,1,1,,2,,,7
Fayetteville,,,,,,,,1,,2,1,,4
Glen Dale,,,,1,,,,,,,,,1
Grafton,,,,,,,,,,,1,,1
Grantsville,,,,,,,,1,,,,,1
Green Bank,,,,,,,,,,,1,,1
Hacker Valley,,,,,,,,,1,,,,1
Hamlin,,,,1,,,,,,,,,1
Harpers Ferry,,,,,1,1,,,,1,,,3
Hedgesville,,,,,,,,,,,1,,1
Helvetia,,,,,,,,,1,,,,1
Huntington,,,,3,1,2,2,1,1,7,3,1,21
Hurricane,,,,,1,,,1,,2,,,4
Inwood,,,,,,,,,,,,1,1
Kingwood,,,,,1,,,1,,,,,2
Lewisburg,,,1,1,,,,1,,1,,,4
Lost River,,,,,,,,,,1,,,1
Madison,,,1,,,,,,,1,,,2
Mannington,,,,,1,,,,,,,,1
Martinsburg,,,,1,,,,,1,1,2,,5
Masontown,,,,,,,,,,,,1,1
Minden,,,,,,,1,1,,,,,2
Morgantown,,,2,3,3,3,1,4,1,9,2,1,29
Moundsville,,,,,,,1,1,,1,,,3
Mullens,,,,,,,1,,,,,,1
New Cumberland,,,,,1,,,,1,,,,2
Nitro,,,,1,,,,,,,,,1
Nutter Fort,,,,,,,,1,,,,,1
Oak Hill,,,,,2,,,,,1,,,3
Ona,,,,,1,,,1,,1,,,3
Parkersburg,,,1,,,,,2,,,1,,4
Philippi,,,,,,,,1,,,,,1
Pipestem,,,,,1,,,,,1,,,2
Princeton,,,,,,,,,,1,,,1
Ravenswood,,,,,,,,,1,,,,1
Richwood,,,,,,,1,,,,,,1
Roanoke,,,,1,,,,1,,,,,2
Saint Albans,1,,,1,1,,1,1,,2,1,,8
Shenandoah Junction,,,,1,1,,,,1,,1,,4
Shepherdstown,,,,1,,,,,,,,,1
Shinnston,,,,,1,,,,,,1,,2
South Charleston,,,,1,,,,1,,,,,2
Star City,,,,,,1,,1,,,,,2
Summit Point,,,1,,,,,,,1,,,2
Sutton,,,,,,,1,,,,,,1
Thurmond,,,,,,,,1,,,,,1
Vienna,,1,,,,,,,,,,,1
Wardensville,,,,,,,,,1,,,,1
Waverly,,,,,1,,,,,,,,1
Wayne,1,,,,,,,,,,,,1
West Milford,,,,,,,,,,1,,,1
West Union,,,,,,,,,1,,,,1
Weston,,,,,,,,,,1,,,1
Wheeling,,,,1,3,2,2,2,1,2,2,,15
Williamson,,,,,1,,,,,,,,1
Williamstown,,,,,,,,,,,,1,1
Yellow Spring,,,,,1,,,,,,,,1
Total,5,1,11,22,34,18,21,32,23,54,20,7,248
