City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Afton,,,,,1,,,,,,,,1
Alpine,,,,,,1,,,,,,,1
Alta,,,,,,1,,,,,,,1
Buffalo,,,,,,1,1,,,,,,2
Casper,2,1,3,2,5,3,3,1,1,2,2,,25
Cheyenne,,,,,2,5,4,3,3,,2,,19
Cody,,,,,1,,1,1,,1,1,,5
Douglas,,,,,,,,1,,,,,1
Dubois,,,,,,1,,,,,,,1
Evanston,,,,,,,1,1,1,,,,3
Evansville,,,,,,1,,1,,,,,2
FE Warren AFB,,,,,1,,,,,,,,1
Gillette,,,,,2,,,,,,,,2
Green River,,,,,,,,1,,,,,1
Guernsey,,,,,,,,1,,,,,1
Jackson,,,,,1,2,,1,,,,,4
Jackson Hole,,,,,,1,,,2,,1,,4
Kemmerer,,,,,,,,1,,,,,1
La Grange,,,,,,,1,,,,,,1
Lander,,,1,1,,,3,1,,,,,6
Laramie,,,,4,4,1,2,2,1,1,,,15
Lovell,,,,,,,1,,,,,,1
Meeteetse,,,,,,2,,,,,,,2
Midwest,,,,,,,,1,,,,,1
Mills,,,,,,1,,,,2,,,3
Mountain View,,,,,,,1,,,,,,1
Newcastle,,,,,1,1,,,,,,,2
Pinedale,,,,,,1,,,1,,,,2
Powell,,,,,1,,,1,,1,1,,4
Rawlins,,,,,,1,1,,,,,,2
Riverton,,,,,1,2,,,,,,,3
Rock Springs,,,,,1,,,1,,,,,2
Saratoga,,,,,,,,1,,,,,1
Sheridan,,,1,,,2,1,,1,1,,,6
Sundance,,,,,,,,,2,,,,2
Teton Village,,,,,,,,1,,,,,1
Thayne,,,,,,,1,,,,,,1
Wheatland,,,,,,,,1,,2,,,3
Wilson,,,,,,,,1,,,,,1
Wolf,,,,,,,,,1,,,,1
Woods Landing,,,,,,,,,1,,,,1
Worland,,,,,2,1,,1,,,,,4
Total,2,1,5,7,23,28,21,23,14,10,7,,141
