County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Autauga,1,1,1,1,3,,,,,3,,2,12
Baldwin,2,5,6,7,2,2,,1,6,7,4,2,44
Barbour,,,,,1,,,,,,,,1
Bibb,,,1,,1,1,2,,,,,,5
Blount,,,1,1,,,,1,,,,,3
Butler,1,,,2,,,,,1,,,,4
Calhoun,1,1,2,7,3,1,,3,1,4,1,,24
Chambers,,1,2,,2,,,,,,1,,6
Cherokee,,,,1,,,,,,,,,1
Chilton,,,,,1,1,,,,2,1,1,6
Clarke,1,,,1,1,,,,,2,1,,6
Clay,,2,,,,,,,,,1,,3
Cleburne,,,1,,,,,,,,,,1
Coffee,,,1,1,3,,,,1,1,1,,8
Colbert,,,2,1,,,,,,,,1,4
Coosa,,,,1,1,,,,,,,,2
Covington,1,2,2,1,2,1,,,,1,2,1,13
Cullman,,,,1,2,2,1,2,1,2,,,11
Dale,,,,1,1,1,,,1,,,,4
Dallas,,,,1,,,,,1,1,,,3
DeKalb,,,,,1,,,,,1,,,2
Elmore,1,2,3,1,,1,2,,,5,2,2,19
Escambia,,,,,,1,1,,,,1,,3
Etowah,,2,2,3,3,2,1,,4,4,2,,23
Franklin,,,,,,,,1,,,,,1
Geneva,,,1,,,,,,,,,,1
Hale,,,,,,,,,,1,,,1
Houston,1,,2,1,2,1,1,1,1,1,1,2,14
Jackson,,,1,,,,,,1,2,,,4
Jefferson,5,7,18,17,15,13,2,12,13,13,15,8,138
Lamar,,,,,,,,,,1,,,1
Lauderdale,,,2,3,3,,3,1,,3,2,1,18
Lawrence,,,,,2,,1,1,,,2,,6
Lee,,4,8,13,4,1,2,3,1,3,2,1,42
Limestone,1,,2,,2,1,,,4,3,2,1,16
Macon,,,,,1,,,,,,,,1
Madison,3,4,8,7,8,11,9,8,7,4,9,5,83
Marengo,,,,,,,,,,,,1,1
Marion,,1,,1,1,,1,,1,,,,5
Marshall,,,1,,4,,,3,2,4,1,,15
Mobile,4,4,7,8,5,,,3,5,4,9,3,52
Monroe,,,1,1,,,,,,,,,2
Montgomery,1,5,2,5,7,,,2,5,5,6,1,39
Morgan,,1,4,2,3,3,1,2,4,1,2,,23
Pike,,,2,1,1,,,,,,,,4
Randolph,,,,1,1,,,,,,,,2
Russell,,,,,,,1,,,1,1,,3
Shelby,1,,2,8,4,5,2,,3,7,3,1,36
St. Clair,,,,2,1,1,1,1,,1,,,7
Talladega,,,2,,,1,,1,,3,3,1,11
Tallapoosa,,1,1,,1,1,1,,,2,,1,8
Tuscaloosa,3,2,2,5,1,1,,4,,2,1,,21
Walker,,,1,1,,1,1,,,2,,,6
Winston,,1,,1,1,,,1,,,,,4
Total,27,46,91,108,94,53,33,51,63,96,76,35,773
