County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alachua,4,8,11,13,6,,2,2,1,13,10,10,80
Baker,,,,,,,,,,,1,,1
Bay,,2,6,7,3,3,6,5,7,4,6,4,53
Bradford,,,,1,,,,1,,,1,,3
Brevard,13,12,15,6,9,6,1,5,5,15,16,9,112
Broward,15,19,17,19,15,1,2,2,16,18,17,11,152
Calhoun,,,,,1,,,,1,,,1,3
Charlotte,3,2,1,2,4,1,2,1,1,2,4,3,26
Citrus,2,4,2,1,2,1,1,1,3,4,2,1,24
Clay,,1,1,5,4,1,1,,2,5,1,,21
Collier,5,4,4,7,6,2,3,1,2,8,7,4,53
Columbia,,1,3,1,,,,,1,1,,1,8
DeSoto,,,,,1,,,,,,1,,2
Duval,13,9,16,15,19,8,6,7,9,23,10,6,141
Escambia,2,5,7,8,7,3,3,3,4,9,8,7,66
Flagler,4,1,1,2,4,,1,1,3,2,3,1,23
Franklin,1,,1,,,,,1,1,1,,,5
Gadsden,,1,,,,,,,,,,,1
Gilchrist,,,,1,,,,,,,,,1
Gulf,,,,2,1,1,,,,2,,,6
Hamilton,,,1,,,,,,,1,,,2
Hardee,,,1,,2,,,,,,,2,5
Hendry,1,2,1,1,,,,,,,,1,6
Hernando,3,2,6,3,3,,,2,1,5,,2,27
Highlands,1,3,1,2,1,2,1,2,2,5,2,1,23
Hillsborough,7,12,16,19,17,3,4,3,11,19,26,13,150
Holmes,,,,,,,,,,1,,,1
Indian River,3,2,4,2,2,,1,1,1,3,5,4,28
Jackson,,,,1,1,,1,,,,1,,4
Jefferson,,,,,,1,,,,,,,1
Lake,6,14,12,13,11,7,10,8,10,12,12,11,126
Lee,5,6,8,7,4,2,3,1,4,5,7,6,58
Leon,9,7,7,10,10,9,8,4,9,8,7,4,92
Levy,,,1,1,1,,,,1,2,,1,7
Liberty,,,,1,,,,,,1,,,2
Madison,,1,,1,,,,,,,,,2
Manatee,2,1,5,4,4,,,,2,5,4,4,31
Marion,4,3,4,6,3,2,1,2,2,5,4,10,46
Martin,4,5,5,5,2,1,2,3,5,4,3,1,40
Miami Dade,2,1,2,1,4,1,1,2,2,1,1,3,21
Miami-Dade,6,23,12,13,10,5,6,3,7,22,28,13,148
Monroe,2,4,3,5,5,1,2,1,2,5,8,3,41
Nassau,1,2,2,2,,1,2,1,1,1,2,3,18
Okaloosa,2,9,8,11,8,3,3,3,2,10,7,7,73
Okeechobee,1,,,,,,,,,,,,1
Orange,14,25,18,18,13,4,5,5,10,27,26,10,175
Osceola,1,2,3,,2,,,1,4,3,1,4,21
Palm Beach,9,12,14,14,15,7,2,5,7,11,12,11,119
Pasco,4,4,6,8,1,2,,,,12,9,5,51
Pinellas,11,14,13,12,13,7,7,8,12,18,9,17,141
Polk,4,9,7,8,5,4,2,1,5,9,11,2,67
Putnam,,2,,,2,1,,,,2,2,,9
Santa Rosa,1,4,3,3,3,1,1,3,1,9,5,3,37
Sarasota,7,9,10,6,5,2,2,3,3,5,9,6,67
Seminole,2,3,5,7,8,,,3,7,10,7,2,54
St. Johns,2,3,7,6,4,2,2,,2,6,3,6,43
St. Lucie,4,1,3,4,2,,,1,,2,1,,18
Sumter,1,,1,1,1,,,,1,1,1,,7
Suwannee,,2,3,,1,,1,,1,,1,2,11
Taylor,,,1,,1,,,,,1,,,3
Union,,,1,,,,,,,,1,,2
Volusia,13,14,8,13,11,6,4,3,8,11,17,15,123
Wakulla,,2,,1,,1,,1,,,,,5
Walton,1,2,,3,2,,,1,2,3,1,2,17
Washington,,,,,,1,,,,,2,,3
Total,195,274,287,302,259,103,99,101,181,352,322,232,2707
