County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Appling,,,,1,1,,,,,,1,,3
Atkinson,,,,,2,,,,,,,,2
Bacon,,,,,,1,,,,,,1,2
Baldwin,,2,,1,5,,,,2,1,1,1,13
Banks,,,,1,1,1,,,1,,,,4
Barrow,2,2,6,2,3,1,,1,5,5,4,2,33
Bartow,,1,3,3,3,1,,1,3,4,2,1,22
Ben Hill,,,1,,,,,,1,,,1,3
Berrien,,,,1,2,,,,,,1,,4
Bibb,1,2,6,3,4,3,1,1,4,6,2,2,35
Brooks,,1,,,,,,,,1,,1,3
Bryan,1,1,,1,1,,1,,,1,1,,7
Bulloch,1,1,4,4,,1,,1,1,1,2,1,17
Burke,,,,,,,,,1,,,,1
Butts,1,,,,1,,,,,,,,2
Calhoun,,,1,,,,,,,,,,1
Camden,,1,1,3,,,1,,,1,,,7
Candler,1,,,1,,1,,,,,,,3
Carroll,1,1,3,4,2,,1,2,3,3,1,,21
Catoosa,,,1,,,,,,,1,1,,3
Charlton,,,,1,1,,,,,1,,,3
Chatham,3,5,9,8,12,5,2,2,7,9,7,7,76
Chattahoochee,,,2,,1,,,,2,1,,,6
Chattooga,,,,1,1,,,,,,,,2
Cherokee,2,2,3,6,7,3,4,2,6,7,5,3,50
Clarke,5,8,13,10,7,2,,7,6,10,6,1,75
Clay,,,,,,,,,,,1,,1
Clayton,,,2,1,,1,,2,2,3,,,11
Clinch,,,,,,,,,,,1,1,2
Cobb,2,8,11,18,14,9,8,13,18,28,12,6,147
Coffee,,1,,,2,,,,,,,,3
Colquitt,1,,,1,1,,,1,1,,,1,6
Columbia,2,1,8,1,2,1,2,,5,2,2,1,27
Cook,1,,1,2,1,,,,,,,,5
Coweta,,1,2,1,8,,,1,1,3,,3,20
Crawford,,,,,1,,,,,,,,1
Crisp,,,,1,3,1,,1,,,1,,7
Dade,,,,,,,,,,1,,,1
Dawson,1,,2,3,2,1,1,,2,4,,1,17
Decatur,1,1,1,,2,,,,,1,1,1,8
DeKalb,4,6,9,12,6,4,3,6,8,10,4,3,75
Dodge,,,,,,,,,,,,1,1
Dooly,,,,,,1,,,,,,,1
Dougherty,2,3,3,3,1,1,1,1,1,3,3,3,25
Douglas,1,2,4,8,3,4,1,4,1,2,1,,31
Early,,1,,1,,,1,,,,,,3
Echols,,1,,,,,,,,,,,1
Effingham,,1,,,1,,,1,1,3,1,,8
Elbert,1,,,1,2,,,1,,1,,,6
Emanuel,1,1,1,,,,,,1,,1,,5
