County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Allamakee,,,,,,,1,1,,1,,,3
Audubon,,,,,,,1,,,,,,1
Benton,,,1,,,1,,1,2,3,,1,9
Black Hawk,,,,2,4,5,1,3,6,7,1,1,30
Boone,,,,1,1,2,1,,3,,,,8
Bremer,,,,,4,1,2,1,1,,1,,10
Buchanan,,,,,1,1,,,,,,,2
Buena Vista,,,,1,,1,1,1,2,,,,6
Butler,,,,,1,,,,,,,,1
Calhoun,,,,,,,1,1,,,,,2
Carroll,,,,,2,1,,1,,,,,4
Cedar,,,,,1,,1,1,1,,,,4
Cerro Gordo,,1,,1,2,1,,2,2,2,,,11
Chickasaw,,,,,,3,,2,,1,1,,7
Clarke,,,,,1,,1,,,1,,,3
Clay,,,,1,,2,2,1,,,,,6
Clayton,,,,,,,4,,,1,1,,6
Clinton,,1,,,,1,,1,1,,1,,5
Crawford,,,,,1,,,,,,,,1
Dallas,,,,1,3,,,4,,1,,,9
Davis,,,,,,1,,,,,,,1
Delaware,,,,1,1,1,1,,,,,,4
Des Moines,,,2,,1,1,,,1,2,3,,10
Dickinson,,,,,,,3,1,,,,,4
Dubuque,2,,2,3,4,3,,2,2,3,1,1,23
Emmet,,,,,1,,,,,1,,,2
Fayette,,,,1,,5,1,1,1,2,,,11
Floyd,,,,1,1,2,1,2,1,,,,8
Franklin,,,,1,,,,1,,,,,2
Fremont,,,,,,,,1,1,,,,2
Greene,,,,,,1,,,,1,,,2
Hamilton,,,,,,1,1,,,,,,2
Hancock,,,2,,,,1,1,,,,,4
Hardin,,,,,,,,1,1,,,,2
Harrison,,,,1,1,,,2,1,,,,5
Henry,,,,1,1,,1,,,1,,,4
Howard,,,1,,,2,2,2,,1,,,8
Humboldt,,,,,,,,,,1,,,1
Ida,,,,,,1,,,,2,,,3
Iowa,1,,,,1,,1,2,,1,,,6
Jackson,,,,,,1,,,1,,,,2
Jasper,,,,,,3,1,1,,1,1,,7
Jefferson,,,1,1,1,,,1,2,1,1,,8
Johnson,1,1,5,8,3,1,3,6,8,10,4,,50
Jones,,,,,,,,2,,1,,,3
Keokuk,,,,,,1,,,,,,,1
Kossuth,,,,1,1,1,,,,1,,,4
Linn,,1,1,4,6,8,3,10,6,7,4,1,51
Louisa,,,,,,,1,1,,,1,,3
Lucas,,,,,,,,,1,,,,1
Lyon,,,,,,1,3,,,,,,4
Madison,,,,,2,,1,,1,1,1,,6
Mahaska,,,,1,,1,,1,,1,1,,5
Marion,,,,1,1,,2,,2,,,,6
Marshall,,,,,,,1,2,1,,,,4
Mills,,,,,,,,,,1,,,1
Mitchell,,,,,,1,1,1,,1,,,4
Monona,,,,,1,,1,,,,,,2
Montgomery,,,,,,,,,,,1,,1
Muscatine,,,,1,,,1,1,2,1,2,,8
O'Brien,,,,,,,,,,1,,,1
Page,,,,,,,,,2,,,,2
Palo Alto,,,1,,,,,,,,,,1
Plymouth,,,,,,,,,1,,,,1
Pocahontas,,,,,,1,,,,,,,1
Polk,4,1,3,10,10,14,7,13,15,7,7,4,95
Pottawattamie,,,2,1,1,1,3,1,5,2,2,1,19
Poweshiek,,,,,,2,,,1,1,,,4
Sac,,,,,1,1,,,,,,,2
Scott,1,1,,2,3,2,4,1,2,4,3,1,24
Shelby,,,,,1,1,,,,,,,2
Sioux,,,,,1,,,1,,1,,1,4
Story,1,1,,3,3,2,4,3,5,3,1,1,27
Tama,,,1,,1,,,2,,,,,4
Taylor,,,,,1,,,,,,,,1
Union,,,,,,,,,,,1,,1
Van Buren,,,,,,,,1,,1,,,2
Wapello,,,,,2,,,,,,,,2
Warren,,,,2,,1,,1,2,,1,,7
Washington,,,,,1,,1,1,,1,,,4
Webster,,,,1,,,,,1,,,,2
Winnebago,,,,,1,,,1,1,,,,3
Winneshiek,,,,,,1,2,,1,2,1,,7
Woodbury,,,,1,,2,1,3,1,1,1,,10
Wright,,,,,,1,,,,,,,1
Total,10,7,22,53,73,84,68,90,87,82,42,12,630
