County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adams,,1,1,,1,2,,2,1,1,2,1,12
Bond,,,,1,1,,,,,1,,,3
Boone,,1,,1,3,1,,,2,,,,8
Brown,,,,,,,,,,1,,,1
Bureau,,,1,1,2,2,1,1,2,,,,10
Calhoun,,,,1,,,,,,,,,1
Carroll,,,,1,,1,,1,,1,,,4
Cass,,,,,,,,,1,,,,1
Champaign,,,2,4,6,3,4,4,7,7,2,,39
Christian,,,,,1,,,,1,1,,,3
Clark,1,,,,1,1,1,,2,1,,,7
Clay,,,,,,,,,1,1,,,2
Clinton,,,,1,2,1,,1,2,1,1,,9
Coles,,1,,,1,3,2,,5,7,3,1,23
Cook,10,4,17,30,66,54,32,29,85,52,23,11,413
Crawford,,,1,1,1,,,3,,2,1,,9
Cumberland,,,,,,1,,,2,1,,1,5
De Witt,,,1,,1,,,,1,,,,3
DeKalb,,,,4,2,2,4,1,3,3,6,,25
Douglas,,,,,,1,,1,2,2,,,6
Du Page,,,,1,1,2,,1,,2,,,7
DuPage,3,2,3,15,16,11,13,13,24,21,14,2,137
Edgar,,,,,,,,,3,,1,,4
Edwards,,,,,,,,1,,,,,1
Effingham,,,1,1,3,2,1,4,1,,,,13
Fayette,,,,,,1,,,2,,,,3
Ford,,,,,,,1,,,1,,,2
Franklin,,,,1,3,1,,,,1,,,6
Fulton,,,,1,,1,,,1,,,,3
Gallatin,,,,,,,,,1,1,,,2
Greene,,,,,,,,,,1,,,1
Grundy,,,,,2,2,1,1,,2,,,8
Hamilton,,,1,1,,,2,,,,1,,5
Hancock,,,,1,,,,1,2,2,,,6
Henry,,,,2,,2,2,1,2,,,1,10
Iroquois,,,,,,,1,1,,,,,2
Jackson,,1,2,3,3,2,,1,5,3,1,,21
Jasper,,,,,,1,,,,,,,1
Jefferson,,,1,,1,,,,1,1,,,4
Jersey,,1,,,,,,,1,,,1,3
Jo Daviess,,,,1,2,1,2,,2,2,1,1,12
Johnson,,,,1,,,2,,,2,2,,7
Kane,,1,2,8,14,7,5,7,16,21,2,1,84
Kankakee,1,1,,3,2,,1,2,4,,,1,15
Kendall,,,,6,4,4,2,3,2,2,2,1,26
Knox,,,,1,1,1,,,,1,,,4
La Salle,,,,,2,1,1,2,,,2,1,9
Lake,,2,2,8,15,10,10,8,20,15,9,3,102
LaSalle,,,,,,2,1,4,1,1,,,9
Lawrence,,,1,1,1,1,,,1,1,1,,7
Lee,,,1,,2,,1,,,,1,,5
Livingston,,,,1,1,,2,3,1,,1,,9
Logan,,,,,,,,1,2,1,,,4
Macon,,,1,2,2,2,3,1,2,4,1,,18
Madison,,,2,4,14,5,4,3,13,12,11,2,70
Marion,,1,1,,,1,,,2,2,,,7
Marshall,,,,,,,,1,,,1,,2
Mason,,,1,,,,,,1,,,1,3
Massac,,,,,,1,,,1,,1,,3
McDonough,,,,1,,,,1,1,5,2,,10
McHenry,3,,1,3,9,3,4,2,7,8,3,1,44
McLean,,,3,2,4,1,2,,5,4,1,1,23
Menard,,,,1,,1,,,1,,,,3
Mercer,,,,,,,,1,,1,,,2
Monroe,1,,,,,,,1,1,4,,,7
Montgomery,,,2,,,1,3,2,1,3,1,1,14
Morgan,,,,,1,1,,1,,,,,3
Moultrie,,,,1,,,,,,,1,,2
Ogle,,,,,,2,3,,1,3,,,9
Peoria,1,1,6,6,6,5,6,3,7,2,4,3,50
Perry,1,,,,2,,2,,1,1,,,7
Piatt,,,1,2,1,1,,,,1,,1,7
Pike,,,,,,,,1,,1,,,2
Pope,,,1,1,,,,,,,,,2
Putnam,,,1,,,,1,,,,,,2
Randolph,,,,1,,1,1,,,,1,,4
Richland,,,,,,1,,1,,,,,2
Rock Island,,,,1,1,4,1,,4,1,1,1,14
Saline,,,,,2,,,,,2,1,,5
Sangamon,,,,5,5,5,6,3,3,3,2,2,34
Schuyler,,,,,1,,,,,,,,1
Shelby,,,,,,1,,2,,,,,3
St. Clair,2,2,4,5,10,5,3,4,7,12,7,2,63
Stephenson,,,1,,1,3,1,2,1,3,1,,13
Tazewell,,1,1,4,1,,2,1,1,2,1,1,15
Union,,,,,,,,,,1,1,,2
Vermilion,1,,1,1,2,2,,2,5,1,,,15
Wabash,,1,,,,,,,,1,,,2
Warren,,,,1,1,,,,,,,,2
Washington,,,1,,,,1,,2,1,,,5
Wayne,,,,,,,,1,,1,,,2
White,,,,,,,,,,1,1,,2
Whiteside,1,,,,,2,,4,2,2,,,11
Will,1,2,2,10,9,9,5,5,11,17,7,1,79
Williamson,1,3,3,2,5,1,2,,1,2,1,1,22
Winnebago,2,1,5,5,5,9,3,4,7,8,6,,55
Woodford,,,,1,,2,2,1,,,,,6
Total,29,27,75,160,243,193,147,144,297,272,132,44,1763
