County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adams,,,,2,1,,,1,1,,,,5
Allen,,,1,3,8,6,1,6,4,5,2,1,37
Bartholomew,,,2,4,2,4,3,4,3,,2,1,25
Benton,,,,1,,,,,,,,,1
Blackford,,,,1,,,,,,1,,,2
Boone,,,,1,1,2,1,,3,3,,,11
Brown,,1,,,2,,1,,,,1,2,7
Carroll,,,,,,1,1,1,,1,,,4
Cass,,,1,,,,1,,,2,1,,5
Clark,,,1,,,1,,,1,1,1,,5
Clay,,,,,1,,,,,1,1,,3
Clinton,,,,,1,,1,1,,,,,3
Crawford,,,,1,,,,,,,,,1
Daviess,,,3,1,1,,2,,,,1,,8
De Kalb,,,,,,1,1,,1,,,,3
Dearborn,,,,1,3,,3,,3,1,1,1,13
Decatur,,,,,1,,,,1,,1,,3
DeKalb,,,,,,,,,1,,,,1
Delaware,,1,2,5,1,2,3,,5,2,2,1,24
Dubois,,,,2,2,2,1,2,3,2,1,,15
Elkhart,1,3,2,2,6,3,1,3,1,2,1,2,27
Fayette,,,,2,,,,,,,,,2
Floyd,,,,1,1,2,3,1,3,,1,,12
Fountain,,,,1,,1,,,,1,1,,4
Franklin,,,,1,2,1,1,,1,,,1,7
Fulton,,,,,,1,2,,,1,1,,5
Gibson,,,,,1,1,,1,,2,,,5
Grant,,,,2,,1,,3,2,,2,,10
Greene,,,,3,,2,1,,,,,,6
Hamilton,2,3,6,3,7,7,5,11,7,7,13,2,73
Hancock,,,,,1,3,1,1,2,2,1,,11
Harrison,,,,4,,,1,,3,1,1,,10
Hendricks,,,3,2,1,7,10,6,6,4,1,,40
Henry,,,,,,1,2,1,,1,1,1,7
Howard,,,1,,1,3,2,1,,,,1,9
Huntington,,,,1,3,,1,1,1,3,1,,11
Jackson,,1,,1,1,2,1,1,1,2,3,2,15
Jasper,,,,1,,,,3,1,1,,,6
Jay,,,,1,,2,,,1,2,,,6
Jefferson,,,,,1,1,2,,1,,,,5
Jennings,,,,1,,1,1,1,1,,,,5
Johnson,,,1,5,3,1,2,1,1,3,1,1,19
Knox,,1,,1,1,1,1,1,,2,1,,9
Kosciusko,1,,3,2,5,5,4,3,2,5,2,1,33
La Porte,1,1,1,3,1,,4,4,5,6,3,,29
LaGrange,,,,,,1,1,,1,,,,3
Lake,,,1,4,14,6,9,7,10,9,5,1,66
LaPorte,,,1,,3,2,,1,2,,,,9
Lawrence,,,,,1,,1,,1,2,1,,6
Madison,,,1,1,1,,3,2,2,3,1,,14
Marion,5,7,7,13,16,19,9,19,18,21,6,4,144
Marshall,,,,,,5,2,3,2,1,,,13
Martin,,,,1,1,1,,,1,1,,,5
Miami,,,1,,,,1,2,1,3,1,,9
Monroe,1,,1,5,3,1,1,4,5,7,2,1,31
Montgomery,,,1,,1,,,,2,1,1,,6
Morgan,,,,1,,,1,2,2,4,1,,11
Noble,,,,1,1,2,1,4,,,,1,10
Ohio,,,,,,,,1,1,,,,2
Orange,,,,1,,,,,1,,,,2
Owen,,,,1,,1,,1,1,1,1,,6
Parke,,,,1,,,1,,1,,,,3
Perry,,,,,1,2,,1,,2,2,1,9
Pike,,,,,1,,1,,1,,,,3
Porter,2,2,4,2,8,8,9,5,5,11,5,4,65
Posey,,,1,1,1,,,,1,1,,,5
Pulaski,,,,1,,,1,,1,,,,3
Putnam,,,,1,,1,,,,1,,,3
Randolph,,,,1,1,,,,,,,,2
Ripley,,1,,1,1,1,2,,2,2,1,,11
Rush,,,,,2,,1,,,,1,,4
Scott,,,,,,1,1,,1,,,,3
Shelby,1,,,1,,,1,3,,2,2,1,11
Spencer,,,,,,,,,1,,,1,2
St. Joseph,,,2,2,3,12,2,3,6,5,2,1,38
Starke,,,,1,,,,1,,,,,2
Steuben,,,,1,2,2,4,1,,1,1,,12
Sullivan,,,,,,1,1,1,,,,,3
Switzerland,,,,,1,,,1,,,1,,3
Tippecanoe,,,,10,6,4,4,2,5,6,3,1,41
Tipton,,,,1,,,1,1,1,1,,,5
Vanderburgh,2,1,2,3,4,3,3,3,6,6,3,3,39
Vermillion,,,,,,,,,1,,,,1
Vigo,,,2,6,4,3,2,1,5,2,3,2,30
Wabash,,,1,1,,2,,1,1,,,,6
Warren,,,,,,,,,1,,,,1
Warrick,,,1,1,1,,,3,1,1,,,8
Washington,,,1,,,,1,,3,,1,,6
Wayne,,1,1,1,2,2,2,3,1,1,,1,15
Wells,,,,,,1,1,1,2,,,1,6
White,,,,,,,,,1,,,,1
Whitley,,,,,2,2,4,1,,,3,,12
Total,16,23,55,123,140,148,135,136,162,159,95,40,1232
