County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Allen,,,,,,,1,,,,1,,2
Anderson,,,,,,1,,,2,,,,3
Atchison,,,1,,1,1,1,,2,,,,6
Barton,,,,1,,,,,,1,,,2
Bourbon,,,,,1,,,,,,,,1
Brown,,,,,1,,,,,,,,1
Butler,,,1,4,,3,,2,2,2,1,1,16
Chase,,,,,,1,,,1,,1,,3
Cherokee,,,,,1,,1,,,,,,2
Clark,,,,,,,,,,,1,,1
Clay,,,1,,,,,,,,,,1
Cloud,,,,,,,,,1,,1,,2
Coffey,,,,,,,1,1,,,,,2
Comanche,,,,,,,,,1,,,,1
Cowley,,,,2,,1,1,2,,3,,,9
Crawford,,1,,2,2,,,2,2,1,,,10
Decatur,,,,,,,1,1,,,,,2
Dickinson,,,,2,,1,1,,,,,,4
Douglas,,1,3,3,3,4,2,1,6,2,3,,28
Elk,,,1,,,,,,,,,,1
Ellis,,,1,2,1,2,2,2,3,1,1,,15
Ellsworth,,,,,1,1,1,,,,,,3
Finney,,1,,1,,1,1,1,2,3,,,10
Ford,,,,,,,1,,,,,,1
Franklin,,,1,,,1,,,,2,,,4
Geary,,,,,1,,2,,,,2,,5
Gove,,,,,,,1,,,,,,1
Grant,,,2,,,,,,,,,,2
Greenwood,,,,,,1,1,,,,,,2
Hamilton,1,,,1,,,1,,,,,,3
Harper,,,,1,,,,,,,,,1
Harvey,,,,2,1,1,1,,,1,,,6
Haskell,,,,,1,,,,,,,,1
Hodgeman,,,,,,1,,,,,,,1
Jackson,,,,,,,,1,,1,,,2
Jefferson,,,,,1,1,,1,2,2,,,7
Jewell,,,,1,,,,,,,,,1
Johnson,3,6,4,4,13,11,5,10,16,15,4,3,94
Kiowa,,,1,,,,,,,1,,,2
Labette,,,,1,1,,,,,1,,,3
Leavenworth,,,,1,3,3,1,1,1,5,1,1,17
Lincoln,,,,,,,,,2,,,,2
Linn,,,,,,,,,1,,,,1
Logan,,,,,,1,,,,,,,1
Lyon,,1,,3,1,,,2,1,3,2,,13
Marion,,,,1,,,,1,,2,,,4
Marshall,,,,,,1,,,,1,,,2
McPherson,,,,1,1,,,1,2,2,2,,9
Miami,,,1,1,3,,,,1,1,1,,8
Mitchell,,,,1,,,,1,1,,,1,4
Montgomery,,,,2,,,,,1,1,1,,5
Morris,,,,,,1,,,1,,,,2
Nemaha,,,,,,,,2,,,,1,3
Neosho,,,,,,,,1,1,1,,,3
Osage,,,,1,,1,,,,,,1,3
Osborne,,,,1,,,,,,,,,1
Ottawa,,1,,1,1,,1,,,,,,4
Phillips,,,,,1,,,,,,,,1
Pottawatomie,,,1,1,,1,,,,,,,3
Pratt,,,,1,1,,,,,,,1,3
Rawlins,,,,,,,1,,1,,,,2
Reno,,,,1,2,1,2,1,2,3,2,,14
Republic,,,,,,,,,,1,,,1
Rice,,,,,1,,,,,,,,1
Riley,,1,6,4,3,1,,6,4,4,1,2,32
Russell,,,,,,1,,,,1,,,2
Saline,,1,,,1,,,1,,1,1,,5
Scott,,1,,,,,1,,,,,,2
Sedgwick,1,4,2,7,11,10,8,6,11,14,10,5,89
Seward,,,,,,1,,,,,,,1
Shawnee,1,1,2,5,7,3,3,3,6,5,3,,39
Sherman,,,,,,,,,1,,,,1
Stafford,,,,,,,,1,,,,,1
Sumner,,,,,,,1,,,,1,2,4
Wallace,,,,,,,,1,,,,,1
Washington,,,,,,,,,1,,,,1
Wichita,,,1,1,,,,,,,,,2
Wyandotte,1,1,1,1,3,4,4,7,2,2,1,1,28
Total,7,20,30,61,68,61,47,59,80,83,41,19,576
