County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adair,,,,,,1,,,,1,,,2
Allen,,,,2,,,,,1,1,1,,5
Anderson,,,,,1,1,,,,,,,2
Barren,,,1,1,2,,,,1,1,,1,7
Bath,,,,,,,,,,1,,,1
Boone,,1,,2,2,,,1,3,2,2,1,14
Bourbon,,,,,,1,,,,1,,,2
Boyd,,,,,,1,,,,,,,1
Boyle,,,1,,2,,,1,,4,2,,10
Breathitt,,,,,,,,,1,,,,1
Breckinridge,,,,,,1,,,,1,2,,4
Bullitt,,,,,1,,,,1,,,,2
Caldwell,,,,,,,1,,,,,,1
Calloway,,1,,1,1,,1,,1,1,,1,7
Campbell,1,1,1,2,3,1,1,2,2,2,,,16
Carroll,,,,,,,,,1,,,,1
Carter,,,,,1,,1,1,2,,,,5
Casey,,,,,,,,,,1,,,1
Christian,,,1,,2,,1,,2,1,,1,8
Clark,,,,,,1,,2,,,,,3
Clay,,,,1,,,,,,,1,,2
Crittenden,,,,1,,,,,,1,1,,3
Cumberland,,,,,,1,,,,,,,1
Daviess,,,2,1,4,2,,3,2,2,,,16
Estill,,,,1,,,,,,,,,1
Fayette,2,1,8,6,11,10,3,4,9,10,8,2,74
Fleming,,,,,,,1,1,,,,,2
Floyd,,,,,2,1,,1,,2,,,6
Franklin,,,1,3,1,3,1,,2,1,,,12
Fulton,,,,,,,,,1,,,,1
Gallatin,,,,,,1,,1,,,,,2
Grant,,,,,1,,,,,1,,,2
Graves,,,,,1,,1,1,1,,2,,6
Grayson,,,,,,,,,,,,1,1
Green,,,,1,,,,,,,,,1
Hancock,,,,,,,,,,1,,,1
Hardin,1,,3,,3,5,3,3,3,2,3,,26
Harlan,,,,,1,1,1,,,1,,,4
Henderson,1,,3,1,2,1,,,2,1,3,1,15
Henry,,,,,1,,,,1,,,,2
Hickman,,,,2,,,,1,,,,,3
Hopkins,,,1,,,1,,,2,3,,,7
Jefferson,2,3,6,5,7,9,3,8,12,17,10,7,89
Jessamine,,,1,,1,,2,1,,1,,,6
Johnson,,,,1,2,,,,,1,,1,5
Kenton,1,1,,1,1,2,2,4,,2,2,1,17
Knox,,,,1,1,,,,,1,,,3
Larue,,,,1,,,,1,,1,,,3
Laurel,,,,2,,,,,1,,,,3
Lincoln,,,,,,,,,1,1,,1,3
Livingston,,,1,,,,,1,,1,,,3
Logan,,,,1,,,,,,,,,1
Lyon,,,,,,,,,1,1,2,,4
Madison,,1,1,1,1,2,1,1,2,4,,,14
Marion,,,1,,,,,,1,,,,2
Marshall,,1,1,1,2,1,1,1,1,,2,,11
Mason,,,,,1,1,1,1,1,1,,,6
McCracken,,1,1,2,3,1,1,,1,3,1,,14
McCreary,,,,1,,,,,,1,,,2
Meade,,,1,1,1,,,,2,2,,1,8
Mercer,,,,1,,1,,1,1,1,,,5
Metcalfe,,,,,,,,,,1,1,,2
Montgomery,,,,,1,,,1,,1,,,3
Morgan,,,,,1,,,1,,,,,2
Muhlenberg,,,,,,,1,1,,,,,2
Nelson,,,1,,1,1,,1,2,1,1,,8
Nicholas,,,,,,,,,1,,,,1
Oldham,,,1,1,2,,1,4,,2,1,,12
Pendleton,,,,,,1,,,,,,,1
Perry,,,,,,,,,,1,,,1
Pike,1,,,1,2,1,1,,2,3,,,11
Powell,,,,,,1,,,1,,1,,3
Pulaski,,,1,2,1,,,,1,2,,,7
Rockcastle,,,,,,,,1,1,,1,,3
Rowan,,,1,1,1,,1,,1,,,,5
Russell,,,,,,1,,1,,,,,2
Scott,,,,3,,,,1,1,2,1,,8
Shelby,,2,1,1,,,,,1,,1,1,7
Simpson,,,,,,,,,,,1,,1
Spencer,,,,,1,1,1,,,,,,3
Taylor,,,,,1,1,,1,,,1,,4
Trigg,,,,,2,,,,,2,,,4
Union,,,,,,,,1,,,,1,2
Warren,2,1,3,2,1,5,3,4,8,3,5,,37
Washington,,,,1,,1,,,,1,,,3
Wayne,,,,,,,,,1,,,,1
Whitley,1,,,,,,,1,2,,,,4
Wolfe,,,,,,,,,,,1,,1
Woodford,1,,,2,1,,1,,2,3,,,10
Total,13,14,43,58,77,63,35,59,86,102,57,21,628
