County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acadia,,,,,,,,,1,1,,,2
Allen,,,,,,,,,,,1,,1
Ascension,,,,3,1,,,,,,,,4
Assumption,,,,,1,,,,,,1,,2
Avoyelles,,,,1,2,,,,1,1,,,5
Beauregard,,,,,,,,,1,,,,1
Bienville,,,,1,,,,,,1,,,2
Bossier,1,1,1,3,1,1,,2,1,1,1,1,14
Caddo,2,4,3,2,8,7,6,3,6,8,10,5,64
Calcasieu,1,3,2,2,1,1,1,,3,1,4,2,21
Claiborne,,,,,,,,,1,,,,1
De Soto,,,1,,,1,,,,,,,2
East Baton Rouge,2,4,9,9,6,4,5,4,4,4,5,4,60
Evangeline,,,,,,,,,,,1,1,2
Franklin,,,,3,,,,,,,,,3
Iberia,,,1,,,,,,,1,2,,4
Iberville,,,1,,,,,,,1,,,2
Jackson,,,,1,,,,,,,,,1
Jefferson,1,2,2,3,3,4,2,,,6,,2,25
Jefferson Davis,,,,,,,,,1,2,1,,4
La Salle,,,,2,,,,,,,,,2
Lafayette,1,3,6,5,3,2,1,6,4,8,4,4,47
Lafourche,,,3,1,1,,,2,1,2,2,,12
Lincoln,,2,2,1,1,,,,1,2,2,1,12
Livingston,,,,1,,,,2,,1,,,4
Morehouse,,,1,,,,,,,,,,1
Natchitoches,,,1,1,,,,,1,,1,,4
Orleans,3,6,8,3,8,4,3,5,7,6,5,5,63
Ouachita,,2,3,,4,1,,1,3,3,3,3,23
Plaquemines,,,,1,,1,,,,,,,2
Pointe Coupee,,,,1,2,,,1,,2,1,,7
Rapides,2,,2,1,1,1,,,2,2,1,1,13
Richland,,,,,,,,,,1,,,1
Sabine,,,,1,2,,,,1,1,,1,6
St. Charles,,,1,,,1,1,,1,,,,4
St. James,,,1,,,,,,,,1,1,3
St. John the Baptist,,,,,,,,,,1,,,1
St. Landry,,,,1,1,,,,,1,1,2,6
St. Martin,,,,,,,,,,,1,,1
St. Mary,,,,,,2,,,,2,1,,5
St. Tammany,,1,1,1,,1,,1,3,5,1,1,15
Tangipahoa,,1,3,2,1,,1,,2,2,4,1,17
Tensas,,,,,1,,,,,,,,1
Terrebonne,,,1,,2,,1,2,2,,1,2,11
Vermilion,1,,,,1,,,1,,2,2,,7
Vernon,,,1,,2,,,,,1,2,2,8
Washington,,1,,,1,1,,,,3,,1,7
Webster,,1,,1,,,,1,,2,1,1,7
West Baton Rouge,,,,,1,,,,,1,1,,3
West Carroll,,,,,1,,,,,,,,1
West Feliciana,,,,,1,,,,,1,,1,3
Total,14,31,54,51,57,32,21,31,47,76,61,42,517
