County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Barnstable,1,2,1,3,14,10,10,9,16,14,8,3,91
Berkshire,2,,,2,10,5,1,2,3,4,2,1,32
Bristol,8,1,6,7,19,11,9,13,18,16,12,7,127
Dukes,,1,1,,1,,,4,1,1,1,,10
Essex,8,11,14,20,36,19,15,20,28,30,26,12,239
Franklin,1,1,1,1,4,4,,3,1,7,1,,24
Hampden,6,4,2,16,26,16,16,17,19,8,9,4,143
Hampshire,,1,1,8,4,1,,3,4,12,2,1,37
Middlesex,14,10,19,31,58,35,24,15,44,56,33,12,351
Nantucket,,,1,,,1,5,1,2,1,1,1,13
Norfolk,5,1,7,11,23,16,9,3,18,30,9,4,136
Plymouth,6,3,5,12,33,30,27,26,24,25,16,5,212
Suffolk,,4,3,12,13,13,5,1,19,17,9,7,103
Worcester,10,8,14,19,40,28,16,22,31,41,23,7,259
Total,61,47,75,142,281,189,137,139,228,262,152,64,1777
