County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Allegany,,,,1,,3,2,3,4,2,,,15
Anne Arundel,1,1,5,16,16,18,9,5,14,22,23,7,137
Baltimore,,2,5,9,15,8,7,3,15,20,14,4,102
Baltimore City,1,1,4,11,13,11,5,10,13,8,7,4,88
Calvert,2,,4,2,5,1,5,2,3,2,5,1,32
Caroline,,,1,2,,2,,,4,,2,2,13
Carroll,2,2,4,4,6,1,1,5,6,8,10,3,52
Cecil,1,,1,3,5,2,1,2,,1,2,,18
Charles,,1,3,3,2,1,1,,2,3,4,1,21
Dorchester,,,,,1,1,1,,1,3,1,,8
Frederick,,,5,12,8,5,1,4,8,8,7,3,61
Garrett,,,,,1,1,,,3,1,,,6
Harford,2,,4,8,7,2,1,2,5,7,2,5,45
Howard,5,4,2,13,12,7,4,4,11,13,7,7,89
Hydes,,,,,,,,1,,,,,1
Kent,,,2,2,2,2,,1,2,7,2,1,21
Montgomery,4,2,6,14,25,11,11,6,19,29,18,4,149
Prince George's,,1,4,8,11,5,3,7,8,7,6,2,62
Queen Anne,,,,,1,,,,,1,1,,3
Queen Anne's,,,1,3,2,1,,1,2,3,,1,14
Saint Marys,,,,,,,,,,2,,,2
Somerset,,,,,,,,,2,,,,2
St. Mary's,1,1,3,4,6,2,,5,2,5,2,,31
Talbot,,,1,1,2,,,,,1,1,,6
Washington,,,,5,3,,4,4,3,3,2,1,25
Wicomico,,,3,4,2,2,,,2,3,,1,17
Worcester,,1,1,3,2,,1,1,1,2,3,1,16
Total,19,16,59,128,147,86,57,66,130,161,119,48,1036
