County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Androscoggin,,,1,1,4,4,3,1,4,2,1,,21
Aroostook,1,,,1,1,2,2,3,2,2,,,14
Cumberland,2,2,3,15,32,24,11,23,19,9,13,3,156
Franklin,,1,,1,3,2,1,3,2,2,,,15
Hancock,,1,1,2,3,5,3,2,4,2,1,,24
Kennebec,1,1,,2,7,13,11,11,10,3,3,,62
Knox,1,1,2,1,4,3,4,2,6,4,,1,29
Lincoln,,,,,1,1,2,3,2,1,,,10
Oxford,,1,2,2,2,3,7,9,2,8,,1,37
Penobscot,,,1,4,1,5,4,3,8,5,3,1,35
Piscataquis,,,,,,,,1,,1,,,2
Sagadahoc,,,1,1,1,1,3,1,,2,1,,11
Somerset,,,,,1,,,1,3,,,,5
Waldo,,,,,3,1,1,2,2,1,1,,11
Washington,,,,,2,1,1,3,1,2,1,,11
York,1,,1,5,8,10,9,7,11,11,6,2,71
Total,6,7,12,35,73,75,62,75,76,55,30,8,514
