County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Aitkin,,,,,2,,2,4,,,,,8
Anoka,4,,2,4,7,8,6,7,11,4,2,,55
Becker,,1,,,1,2,1,2,2,,,,9
Beltrami,1,,1,1,,,2,1,1,2,,,9
Benton,1,,1,,,1,1,,1,,,,5
Blue Earth,,,2,2,2,3,1,2,1,6,,2,21
Brown,,,,1,2,1,1,1,2,1,,1,10
Carlton,,,,,3,,3,1,3,2,,,12
Carver,1,,,2,3,5,2,4,4,1,1,,23
Cass,,,,,1,1,2,2,3,1,,,10
Chisago,1,,,1,2,,2,6,3,2,1,,18
Clay,,,,,,4,2,2,1,1,,,10
Clearwater,,,,,,,1,,,,,,1
Cook,,,,,2,,1,,2,,,,5
Cottonwood,,,,,,1,,,,,,,1
Crow Wing,,,1,2,,3,2,5,,2,1,,16
Dakota,1,,,4,12,9,6,5,7,3,2,1,50
Dodge,,,,,,,,1,,,,,1
Douglas,,,,,4,2,1,1,5,1,,,14
Fillmore,,,,,2,2,,1,,1,,,6
Freeborn,,,,,1,,1,,,,,,2
Goodhue,,1,,1,2,2,1,4,1,,,,12
Grant,,,,,,,1,,,,,,1
Hennepin,11,12,7,23,32,29,21,39,45,29,8,9,265
Houston,,,,,1,1,,1,1,3,,,7
Hubbard,,,,,,,2,2,1,,,,5
Isanti,,,,1,2,,,1,1,,,,5
Itasca,,,,,1,2,4,3,1,,,,11
Jackson,,,,,,2,,,,,,,2
Kanabec,,,,,,,,1,,,,,1
Kandiyohi,1,,1,,2,1,1,5,1,2,1,,15
Kittson,,,,,1,,,,1,,,,2
Koochiching,2,,,,,,1,2,1,,,,6
Lac qui Parle,,,,,,2,,,,,,,2
Lake,,1,,,,,2,,,,,,3
Lake of the Woods,,,,,,1,1,,,,,,2
Le Sueur,,,,,2,1,2,1,1,,,,7
Lincoln,,,,,,1,,,,1,,,2
Lyon,,,,1,,1,1,,,,,,3
Mahnomen,1,,,,,1,,,,,,,2
Marshall,,,,,,,,,1,,,,1
Martin,,,,,,1,1,,1,,,,3
McLeod,,,,,1,2,,,,1,,,4
Meeker,,,,,1,,1,1,1,,,,4
Mille Lacs,,,,,1,1,1,1,1,1,,,6
Morrison,,,,,2,1,,1,,,,,4
Mower,,1,,,1,1,2,,3,,,,8
Nicollet,,,1,1,2,1,1,1,1,1,1,,10
Nobles,,,,,,1,,,1,,,,2
Olmsted,,,2,1,7,14,11,6,6,4,2,2,55
Otter Tail,,1,,,1,6,8,1,2,,1,,20
Ottertail,,,,1,,,,,,1,,,2
Pennington,,,,,2,1,,,,,,,3
Pine,,,,,,,,,1,,,,1
Polk,,,,1,1,,,1,1,1,,,5
Pope,,,,,1,,2,1,,,,,4
Ramsey,3,3,6,7,18,15,13,18,19,14,10,6,132
Redwood,,,,,,1,,,1,,,,2
Renville,,1,,,,2,2,1,,,,,6
Rice,1,,,3,2,1,1,1,2,5,1,1,18
Roseau,,,,,,,,1,,,,,1
Scott,1,,,1,3,5,1,6,4,5,1,1,28
Sherburne,,1,2,1,2,5,1,4,1,3,,,20
Sibley,,,,,,1,2,1,1,,,,5
St Louis,,1,,4,9,6,3,3,10,4,1,1,42
St. Louis,,,1,1,1,1,8,8,7,3,1,,31
Stearns,,,1,3,5,8,2,4,5,5,1,1,35
Steele,,,1,,2,1,,3,1,1,,,9
Stevens,,,,1,,,1,,,,,,2
Swift,,,,,,,1,,,,,,1
Todd,,,,,1,,1,1,,,,,3
Traverse,,,,,,,,1,,,,,1
Wabasha,,,,2,,3,1,3,,1,,,10
Wadena,,,,,,,1,1,,1,,,3
Waseca,,,1,,,1,,,,,,,2
Washington,3,1,,3,7,4,4,4,8,4,2,,40
Watonwan,,1,,,,1,2,,1,,,,5
Winona,,1,,2,2,4,2,3,2,2,1,,19
Wright,,,2,2,3,7,6,5,5,1,1,,32
Yellow Medicine,,,,,,2,,,1,,,,3
Total,32,26,32,77,162,183,153,185,187,120,39,25,1221
