County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adair,,,1,1,1,,,,1,1,,,5
Andrew,,,,,,,,1,1,1,,,3
Audrain,,,,,,,1,,,,,,1
Barry,,,,1,,1,,,1,2,,1,6
Barton,,,1,,1,,,,,2,,,4
Benton,,,,,3,2,,,,,,,5
Boone,1,1,6,7,11,3,5,3,9,6,5,4,61
Buchanan,,1,1,4,3,,1,1,1,,,,12
Butler,,,,3,1,,1,,,,,,5
Callaway,,,,,,1,1,,,,,,2
Camden,,1,,1,2,1,,,1,1,,,7
Cape Girardeau,2,1,3,6,3,2,2,,5,2,2,1,29
Carroll,,,,,,,,,,,1,,1
Cass,,,2,1,,,,,3,2,,,8
Cedar,,,1,1,1,,,1,,,,,4
Chariton,,,,,,1,,,,,,,1
Christian,,,,2,1,3,1,4,3,1,5,,20
Clay,,1,2,,3,4,2,2,4,6,3,1,28
Clinton,,,,1,,,2,,,1,,,4
Cole,,,3,4,2,1,3,,,4,3,,20
Cooper,,,,,,,,,,,1,,1
Crawford,,,2,,,,,,1,1,1,1,6
Dade,,1,1,1,,,,,,,1,,4
Daviess,,,,,1,,,,1,,,,2
Dent,,,1,,,,,1,,,1,,3
Douglas,,,,1,,,,2,1,,,,4
Dunklin,,,,,,,,,,1,,,1
Franklin,,,2,3,2,3,1,3,2,2,,,18
Gasconade,,,,,1,,1,1,2,,1,,6
Greene,2,3,8,13,12,5,5,9,8,13,7,5,90
Grundy,,,,,,,,,,1,,,1
Henry,,,,,1,,1,,1,1,,,4
Holt,,,,,,,,,1,,,,1
Howell,,1,1,1,,,,,,,,1,4
Iron,,,,,,,,,1,1,,,2
Jackson,1,4,9,6,23,14,10,10,20,14,17,3,131
Jasper,1,2,1,5,5,4,3,3,2,3,3,,32
Jefferson,,1,2,1,2,,1,3,2,2,2,,16
Johnson,1,,,2,2,1,,1,1,3,1,,12
Knox,,,,,,,,,,1,,,1
Laclede,,,,1,,1,,,,1,,,3
Lafayette,,,,1,1,1,,2,,,1,,6
Lawrence,,,,1,1,1,1,,,1,3,,8
Lewis,,,,,,,,,,1,,,1
Lincoln,,,1,1,2,,,,,1,1,,6
Linn,,,,,1,,,,,,,,1
Livingston,,,,,,1,,,,1,,,2
Macon,,,,1,,1,,,,1,,,3
Maries,,,,,,,,,2,,,,2
Marion,,,,3,,1,1,,,,1,,6
McDonald,,,,1,1,,,2,,2,1,,7
Miller,,,1,3,1,,,,1,1,,,7
Mississippi,,,,1,,,,,,,1,,2
Moniteau,,,,,,,,1,1,,,,2
Montgomery,,,,,,,,,,2,,,2
Morgan,,,,,,,,,,,1,,1
Newton,,,1,,,2,,,1,,,,4
Nodaway,,,,2,1,2,1,1,1,,,,8
Osage,,,1,,,,,,1,1,,,3
Ozark,,,1,,,,,,,,1,,2
Perry,,,,,,,,1,,,,,1
Pettis,,,1,,2,1,2,,1,3,1,,11
Phelps,,1,2,3,3,4,4,3,2,2,2,2,28
Pike,1,,,,,,1,,,2,,,4
Platte,,,,1,3,,3,1,3,3,2,1,17
Polk,,1,,1,2,,,,,,,,4
Pulaski,,1,1,1,,,1,1,1,5,1,,12
Ralls,,,,,,1,,,,,,,1
Randolph,,,,,,,,1,,,,,1
Saline,,,,1,1,1,,,,,,,3
Scott,,,1,1,,,,,,,,,2
St Louis,,,1,2,2,3,,2,1,3,3,1,18
St. Charles,,1,4,2,8,3,6,2,8,5,3,1,43
St. Clair,,,,,,1,,,1,,,,2
St. Francois,,,1,,1,,,,1,,1,1,5
St. Louis,8,6,13,14,17,12,8,11,28,23,29,14,183
St. Louis (city),,,1,1,1,,,2,,3,2,,10
Ste Genevieve,,,,,1,,,,,,,,1
Ste. Genevieve,,1,,2,,1,,,,,1,,5
Stoddard,,,,,,,,,1,,,,1
Stone,,,1,1,,,,,,2,,,4
Taney,,,2,3,4,3,3,2,4,2,2,,25
Texas,,,1,1,,,,,,,,,2
Warren,,,,,1,1,,,2,1,,,5
Washington,,,,,1,,,,,,,,1
Wayne,,,,,,,,,,2,,,2
Webster,,,1,1,,,,,1,,,,3
Worth,,,,,1,,,,,,,,1
Wright,,,,1,,1,1,,2,,1,,6
Total,17,28,82,116,137,88,73,77,135,140,112,37,1042
