County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Atlantic,,,1,4,10,5,5,5,5,7,1,,43
Bergen,2,1,5,8,14,9,3,3,17,28,5,1,96
Burlington,,3,4,6,7,8,3,3,16,15,7,2,74
Camden,,,3,12,12,16,8,4,13,26,11,3,108
Cape May,,2,1,3,10,10,10,11,8,4,6,2,67
Cumberland,,,,4,2,1,3,2,3,1,3,,19
Essex,,1,1,5,12,9,2,3,12,8,2,4,59
Gloucester,5,5,4,17,10,10,8,5,11,19,2,4,100
Hudson,1,,1,4,8,5,3,4,10,8,2,,46
Hunterdon,,,2,3,8,,3,2,6,7,1,,32
Mercer,1,1,2,9,14,12,3,4,13,14,5,5,83
Middlesex,1,1,3,7,12,13,5,2,14,12,4,2,76
Monmouth,5,2,5,8,21,13,6,9,15,21,13,7,125
Morris,2,3,3,7,17,16,12,13,12,25,10,3,123
Ocean,,1,3,1,10,9,3,4,9,14,6,2,62
Passaic,,,,2,3,1,2,1,6,8,3,1,27
Salem,,,2,2,3,1,1,1,2,7,1,,20
Somerset,1,,4,5,11,11,1,2,5,15,9,1,65
Sussex,,,,4,11,8,2,,6,9,5,,45
Union,3,,1,3,6,5,3,1,7,15,4,1,49
Warren,,,,5,4,3,,2,1,3,4,,22
Total,21,20,45,119,205,165,86,81,191,266,104,38,1341
