County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Bernalillo,4,5,5,12,10,6,4,10,9,12,9,4,90
Chaves,,1,1,,1,1,2,1,1,,2,1,11
Cibola,,1,,,1,,,,1,,,,3
Colfax,,,,1,,1,1,1,1,1,,,6
Curry,,,1,,,,,1,1,1,2,,6
Dona Ana,2,4,3,2,,1,1,1,1,3,10,,28
Doña Ana,1,1,1,1,2,2,,,1,2,2,,13
Eddy,,,,,1,,,1,,,,,2
Grant,,,,,1,,,,,1,,,2
Guadalupe,,,,,,1,,,,,,,1
Lea,,,,1,,,,,,1,,,2
Lincoln,,,,,,,1,,1,,,,2
Los Alamos,,,,1,1,,1,2,,,1,,6
Luna,,,,,,,,1,,,,,1
McKinley,,,,,1,3,1,,1,,,,6
Otero,,2,,1,,2,,1,1,1,,1,9
Quay,,,,,,,,1,,,,,1
Rio Arriba,,,,,,,,,,,1,,1
Roosevelt,,,,1,,1,1,,,1,,,4
San Juan,,,,1,1,,1,,2,2,,,7
San Miguel,,,,1,,,1,1,,,,,3
Sandoval,,,1,3,3,1,2,3,2,1,2,,18
Santa Fe,1,2,,2,2,2,1,2,10,3,2,1,28
Socorro,,,,,,,,2,,,,,2
Taos,1,,,,2,2,,1,,,,,6
Torrance,,,,,,,,,,,1,,1
Union,,,1,,,,,,,,,,1
Valencia,,,1,,1,,,,1,3,,,6
Total,9,16,14,27,27,23,17,29,33,32,32,7,266
