County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Albany,4,1,5,9,13,14,10,8,18,16,6,3,107
Allegany,,1,,,2,1,,1,1,2,,,8
Bronx,1,1,,4,3,4,3,2,6,5,2,,31
Brooklyn,,,,1,1,,,1,1,,1,1,6
Broome,,2,4,5,4,2,3,2,3,5,2,3,35
Cattaraugus,1,,,,3,2,2,2,1,2,,,13
Cayuga,,,,1,1,2,2,2,1,1,,1,11
Chautauqua,,1,2,,2,4,5,5,3,5,2,,29
Chemung,,1,,,2,2,,2,1,2,1,,11
Chenango,,,,3,1,2,,,4,3,,,13
Clinton,,,,1,3,1,3,3,3,5,4,,23
Columbia,,,1,1,3,2,,,4,3,1,1,16
Cortland,,1,,2,2,1,2,1,3,1,1,,14
Delaware,,,,,,1,,1,2,2,2,,8
Dutchess,,1,1,3,5,3,3,4,8,7,6,1,42
Erie,1,3,2,6,11,13,15,17,14,11,7,3,103
Essex,1,,1,1,2,2,5,2,6,1,2,1,24
Franklin,,1,,,,1,1,1,1,1,1,,7
Fulton,,,,,,,,,2,2,,1,5
Genesee,,,,,2,3,2,3,3,3,1,1,18
Greene,,,,,,3,1,1,2,2,1,1,11
Hamilton,1,,,,,1,2,3,,,,,7
Herkimer,,,,,,3,2,1,1,2,1,1,11
Jefferson,1,,,,4,1,3,5,4,5,,1,24
Kings,,4,4,4,10,11,7,4,7,10,4,4,69
Lewis,,,,1,1,1,,3,1,1,,,8
Livingston,,,,,4,1,2,2,2,2,2,1,16
Madison,1,,,1,,3,1,3,2,2,,,13
Manhattan,,,1,,,,,,2,1,,1,5
Monroe,6,5,4,12,22,29,17,25,20,29,15,4,188
Montgomery,1,,,,,1,,,,,,,2
Nassau,4,5,5,19,17,13,14,8,12,16,12,3,128
New York,6,11,11,17,19,19,11,13,17,22,11,9,166
Niagara,1,2,,1,3,,1,3,3,2,,,16
Oneida,,,,3,2,2,4,9,6,5,,,31
Onondaga,2,4,1,8,14,12,6,11,18,12,6,2,96
Ontario,1,,2,3,5,3,3,5,6,5,1,,34
Orange,,,3,3,8,8,4,11,10,6,2,2,57
Orleans,,,,1,,2,,1,,1,,,5
Oswego,,,3,,,1,1,2,1,1,,,9
Otsego,,,,4,4,4,1,1,2,4,2,1,23
Putnam,,,,1,,1,2,,4,1,,,9
Queens,,,3,8,5,3,3,2,2,5,1,1,33
Rensselaer,,,1,,4,4,2,6,4,6,1,,28
Richmond,1,,,2,2,2,1,1,3,2,2,1,17
Rockland,,,1,4,6,3,2,1,5,8,1,1,32
Saratoga,,3,1,2,6,7,6,6,13,9,6,3,62
Schenectady,,,1,2,5,3,4,2,2,4,2,,25
Schoharie,,,,2,1,,1,2,1,3,,,10
Schuyler,,,,1,1,,1,1,2,,,,6
Seneca,,,,,1,1,1,1,,1,,1,6
St. Lawrence,1,,,,,,1,1,,1,2,,6
Steuben,,,2,1,3,1,2,3,1,3,2,1,19
Suffolk,3,1,7,16,21,20,14,22,20,33,19,5,181
Sullivan,,,3,1,2,1,2,2,1,,1,1,14
Tioga,,,,2,,2,,,,1,,,5
Tompkins,5,2,1,3,5,3,2,2,6,5,4,,38
Ulster,,1,3,5,10,6,8,6,7,5,4,,55
Warren,1,1,1,2,4,4,3,3,6,5,2,1,33
Washington,,,,1,3,2,1,2,1,2,,,12
Wayne,,,,,2,,3,3,1,1,,,10
Westchester,,2,3,6,14,9,4,2,19,19,7,5,90
Wyoming,,,,,,1,,1,3,,1,1,7
Yates,,,1,1,2,2,1,2,1,1,1,,12
Total,43,54,78,174,270,253,200,239,303,320,152,67,2153
