County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Atoka,,,,1,,,,,1,,,,2
Beckham,,,,1,,,,,1,,1,,3
Blaine,,,,1,,,,,,1,,,2
Bryan,,,1,1,,,,,1,1,,,4
Caddo,,,,,,,,1,1,,,,2
Canadian,,,2,,3,2,,2,1,3,2,,15
Carter,,,1,,2,2,,,,,1,,6
Cherokee,,,,,,1,1,,2,1,2,,7
Cleveland,,,1,3,3,2,,2,2,1,2,,16
Coal,,,,,,2,,,3,,,,5
Comanche,1,,,1,1,1,4,,1,3,3,2,17
Craig,,,1,,,,,,,1,,,2
Creek,,,,,3,,,,,,1,,4
Custer,,,1,,,1,,,2,,,,4
Delaware,,,2,,1,,,,1,1,,1,6
Garfield,,1,,,,,,1,1,,1,,4
Garvin,,,,1,,,1,,,1,1,,4
Grady,,,,,1,1,,1,,1,,1,5
Hughes,,,,,1,,,,,,,,1
Jackson,,,,,,,,,2,,,,2
Kay,,,,,1,,,,1,1,1,,4
Latimer,,,,,1,,,,,1,,,2
Le Flore,,1,2,,1,1,,1,2,1,1,,10
Lincoln,,,,,,,1,,,1,1,,3
Logan,,,,,3,2,2,1,,,,,8
Marshall,,,,1,,,,,,3,,,4
Mayes,,,,,,,,,1,1,,,2
McClain,,,1,,,,,,,,,,1
McCurtain,,,,,,1,1,,1,,,,3
Murray,,,,,,1,,,1,,,,2
Muskogee,,1,,2,1,1,,1,2,3,2,1,14
Noble,,,,,,,,,1,,,,1
Okfuskee,,,1,,,,,,,,,,1
Oklahoma,5,6,10,6,12,9,6,12,13,17,7,5,108
Okmulgee,,,,,1,1,,,,1,,,3
Osage,,,,,,2,,,,,,,2
Ottawa,,,,,,1,1,,,2,,1,5
Pawnee,,,,,,,,1,,,,,1
Payne,,,,3,,1,,,2,1,1,,8
Pittsburg,,,2,1,2,,,,1,,,,6
Pontotoc,,,1,1,,,1,,1,1,2,,7
Pottawatomie,1,1,,1,,1,,,1,1,1,,7
Rogers,,,2,3,3,1,,,,,,,9
Seminole,,,,1,2,,,1,2,1,,,7
Sequoyah,,,,,,,,1,,2,1,,4
Stephens,,,1,1,,1,1,,1,,,1,6
Texas,,,1,,1,,1,,,,,,3
Tillman,,,,,,,,,,1,,,1
Tulsa,3,4,4,5,4,3,5,10,7,7,8,3,63
Wagoner,,,,,,,1,,1,,,,2
Washington,,1,2,2,,,1,1,3,1,2,,13
Woodward,,,,,,2,,,,,,,2
Total,10,15,36,36,47,40,27,36,60,60,41,15,423
