County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adams,,,,7,2,1,2,1,1,1,4,1,20
Allegheny,1,5,11,20,20,28,16,20,31,31,17,9,209
Armstrong,,,,2,,2,3,2,1,2,1,,13
Beaver,,,3,4,8,4,2,3,4,6,4,1,39
Bedford,,,,2,2,1,,1,2,4,,,12
Berks,3,2,4,9,9,7,8,5,15,12,7,3,84
Blair,,,2,2,2,3,1,3,3,2,1,1,20
Bradford,,,2,1,2,,,,2,1,1,,9
Bucks,,1,7,15,23,13,9,9,21,26,13,,137
Butler,,,4,2,4,3,7,9,8,6,3,3,49
Cambria,,,,6,8,1,,3,3,5,3,,29
Cameron,,,,,,,,1,,1,,,2
Carbon,,,1,1,4,3,7,1,1,2,,,20
Centre,,,3,9,8,4,5,3,7,9,6,2,56
Chester,3,4,6,26,27,17,7,9,30,33,19,7,188
Clarion,,,1,2,4,1,2,2,2,2,1,,17
Clearfield,1,,,1,3,4,1,3,,6,,,19
Clinton,1,,,2,1,,,1,,1,,,6
Columbia,,1,2,4,1,,,,,3,3,1,15
Crawford,,,1,,2,3,5,1,4,3,2,1,22
Cumberland,,1,3,11,11,5,4,6,17,20,6,,84
Dauphin,1,,3,17,19,10,5,11,13,23,10,3,115
Delaware,3,4,8,27,22,8,2,1,16,38,7,4,140
Elk,,,,1,2,,2,1,2,1,,,9
Erie,1,1,3,7,10,10,5,12,12,7,2,4,74
Fayette,,1,2,3,2,5,1,3,2,4,1,,24
Forest,,,,1,,,,,,,,,1
Franklin,,,2,3,6,4,1,3,2,6,4,1,32
Fulton,,,,,,1,,,,,,,1
Greene,,,,,1,1,1,1,,2,1,,7
Huntingdon,,,,1,1,,,,1,1,,,4
Indiana,,1,,8,4,2,4,4,2,7,1,2,35
Jefferson,,1,,1,,2,1,1,2,2,2,,12
Juniata,,,1,1,,,,1,1,2,,,6
Lackawanna,2,1,2,6,14,7,4,7,6,5,6,2,62
Lancaster,1,2,5,16,14,10,6,5,17,20,10,3,109
Lawrence,,,,1,1,3,2,1,3,5,1,1,18
Lebanon,,,,8,7,2,1,,5,9,3,,35
Lehigh,2,4,5,9,13,13,10,8,10,10,3,2,89
Lehigh/Norhampton,,,,,,,,,1,,,,1
Luzerne,,,1,3,4,4,3,4,9,5,4,1,38
Lycoming,,,,1,1,3,,1,3,5,3,,17
McKean,1,,1,,1,,1,1,,2,1,,8
Mercer,2,1,3,1,4,3,1,1,3,5,2,,26
Mifflin,,,,,,,,,1,,,,1
Monroe,,,,3,5,1,3,3,1,7,3,,26
Montgomery,,2,9,28,29,21,11,12,18,46,15,7,198
Montour,,,1,1,3,3,1,,,1,2,,12
Northampton,,,1,2,8,7,2,4,6,8,6,3,47
Northumberland,,,1,,1,2,1,2,1,4,1,,13
Perry,,,,,1,2,,1,1,,,,5
Philadelphia,2,4,11,29,21,19,8,7,21,42,13,6,183
Pike,,,2,2,,1,,,,1,,1,7
Potter,,,,,,2,1,,1,1,,,5
Schuylkill,,,,4,3,3,,2,1,5,1,,19
Snyder,,,1,1,1,,2,,1,2,1,,9
Somerset,,,,2,4,1,1,2,4,3,2,,19
Susquehanna,,,,,,,2,,3,1,,,6
Tioga,,,1,2,3,1,3,1,3,2,,1,17
Union,1,1,,3,1,1,,2,5,1,1,,16
Upper Providence,,,,,,1,,,,,,,1
Venango,1,,2,,1,1,2,1,1,2,,,11
Warren,,,1,,2,1,,,,4,,,8
Washington,,,1,2,2,4,1,,7,6,2,,25
Wayne,,,,,,2,,1,2,2,,,7
Westmoreland,1,,1,2,5,3,4,6,7,4,4,,37
Wyoming,,,1,,,,,1,1,,,,3
York,3,3,3,5,13,12,4,9,14,11,9,1,87
Total,30,40,122,327,370,276,175,203,361,488,212,71,2675
