County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Abbeville,,,,,,,,,,1,,,1
Aiken,1,,,4,3,1,,1,5,4,3,2,24
Allendale,,,,,1,,,,,,,,1
Anderson,,,4,2,3,1,1,,1,2,3,2,19
Barnwell,,,,1,,,,,,,1,,2
Beaufort,4,4,8,3,6,4,4,3,3,8,4,3,54
Berkeley,,1,,1,5,1,,,2,1,1,,12
Charleston,5,9,12,14,14,9,6,5,10,14,10,7,115
Cherokee,1,,1,1,1,,1,,,,,,5
Chesterfield,,,1,,,1,,,,2,,,4
Clarendon,,,,1,,,,,,,,,1
Colleton,,,1,1,,,,,,,,,2
Darlington,,1,,1,1,1,,2,2,,1,,9
Dillon,,,1,,,,,,,,,,1
Dorchester,,1,2,2,1,,,2,2,1,1,2,14
Fairfield,,,,1,,,,,,,,,1
Florence,2,,4,4,4,1,,,2,2,5,1,25
Georgetown,2,,1,1,1,1,,1,1,1,4,,13
Greenville,5,6,8,9,12,2,6,10,10,7,12,3,90
Greenwood,,,,3,3,2,,2,2,2,2,,16
Hampton,,,1,,,1,,,,1,,,3
Horry,3,1,10,8,11,1,3,,2,4,6,2,51
Jasper,,,,,,,,,,1,,,1
Kershaw,,,,1,,,,1,,,,1,3
Lancaster,,,1,1,1,,,,,,,1,4
Laurens,,,2,,2,,,1,,,1,1,7
Lee,,,,,,,,,,,,1,1
Lexington,1,2,3,5,5,2,1,1,2,3,3,2,30
Marion,,1,,,,,,,1,1,,,3
Marlboro,,,,,,,,,,,1,,1
Newberry,,,1,1,1,,,,,,,,3
Oconee,,,2,4,5,,,1,2,2,,,16
Orangeburg,,1,1,1,2,,,1,1,2,,,9
Pickens,,,1,6,5,1,3,1,1,2,1,,21
Richland,3,9,3,9,4,1,3,5,2,5,7,7,58
Spartanburg,3,3,6,4,4,4,2,1,1,1,5,1,35
Sumter,1,,,,1,,,,1,3,1,,7
Williamsburg,,,,1,1,,,,,1,,,3
York,2,5,4,7,10,3,2,,2,8,4,,47
Total,33,44,78,97,107,37,32,38,55,79,76,36,712
