County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Anderson,,1,,,,,,,,1,,1,3
Angelina,,1,,1,2,,,,,1,2,1,8
Aransas,,,1,,,,,,,,1,,2
Archer,,,,,,,,,,,1,,1
Atascosa,,,,,1,,,,,,,,1
Austin,,2,2,1,1,1,1,,2,2,2,1,15
Bandera,1,,1,,,,,,1,1,1,,5
Bastrop,,1,3,5,,,,1,4,1,2,,17
Bee,,,,,,,,,1,,,,1
Bell,5,3,3,4,11,1,3,4,5,10,6,2,57
Bexar,18,21,31,22,22,15,18,14,27,44,53,34,319
Blanco,,,,1,,1,,,2,,,1,5
Bosque,,,,1,,1,,,,1,,,3
Bowie,,1,,1,3,,,,,2,3,1,11
Brazoria,2,2,4,4,2,,4,1,5,3,2,1,30
Brazos,3,1,4,8,3,1,4,,,6,4,3,37
Brewster,1,,1,,,,,,,2,,,4
Brown,,,1,,,,,,1,2,2,,6
Burleson,,,,1,,,1,,,,,1,3
Burnet,,,3,8,3,,2,2,2,3,,1,24
Caldwell,,,,2,2,1,1,,,4,1,,11
Calhoun,,,2,,,,1,,1,,,1,5
Cameron,2,,1,1,3,2,1,1,2,2,5,1,21
Cass,,,,2,,,,,1,1,1,,5
Chambers,,,,1,,,,,,,,1,2
Clay,,,,,1,,,,,,,,1
Coke,,,,,,,,,,1,,1,2
Coleman,,,,,3,,,,,1,1,,5
Collin,5,4,11,20,11,7,7,1,14,19,10,8,117
Comal,2,7,7,4,6,3,1,2,3,3,6,5,49
Comanche,,1,,2,,1,,1,1,,1,,7
Cooke,,,,1,2,,,,2,2,,,7
Coryell,,,,1,2,2,,,2,1,,1,9
Culberson,,,,,,1,,,,,,,1
Dallam,,,1,,,,,,,,,,1
Dallas,13,12,15,35,32,17,12,9,30,31,30,19,255
Delta,,,1,,,,,,,1,,,2
Denton,2,,5,14,10,3,9,4,8,17,11,3,86
DeWitt,,,,,1,,,,,1,,,2
Donley,,,,1,,,,,,,,,1
Eastland,,,,,2,1,,,,2,2,1,8
Ector,,,1,,1,,,2,3,1,,1,9
Edwards,,,2,,1,,,,1,,,,4
El Paso,4,4,7,9,5,6,4,5,11,4,4,2,65
Ellis,3,1,2,1,4,,,,,5,,1,17
Erath,,,4,,,2,1,,1,3,1,,12
Fannin,,,1,1,,1,,,,1,,,4
Fayette,,,,1,,,,1,,1,1,1,5
Floyd,,,,,,,,,,1,,,1
Foard,,,,,,1,,,,,,,1
Fort Bend,2,3,8,7,5,,1,2,2,6,9,5,50
Freestone,,,,1,,,,,,,,,1
Frio,,,,,,,,,,1,,,1
Galveston,4,4,3,11,5,1,,1,6,9,1,3,48
Garza,,,,,,,3,,,,,,3
Gillespie,,1,1,2,1,,,1,1,2,1,,10
Gonzales,,,,2,1,1,,,2,2,,,8
Grayson,,2,3,4,4,1,,2,3,4,2,1,26
Gregg,,2,4,4,1,,,1,,2,,2,16
Grimes,,,,1,,,1,,,,,,2
Guadalupe,,2,2,1,3,4,4,,1,3,5,3,28
Hale,,,,1,1,,,,,,1,,3
Hamilton,,,1,1,,1,1,,1,1,,,6
Hardin,,,,2,,,,1,,,,,3
Harris,9,17,25,25,30,11,8,9,19,25,36,19,233
Harrison,1,,,1,,,,,2,1,,1,6
Hays,3,5,6,6,2,1,3,1,5,9,6,1,48
Henderson,,,1,2,,,1,,1,,2,,7
Hidalgo,1,4,6,6,3,2,1,2,3,3,2,4,37
Hill,,,,,1,,,,,,,1,2
Hockley,,,,1,,,,,1,,,,2
Hood,,,,3,2,,2,1,1,,2,,11
Hopkins,,,2,1,2,1,,,,1,1,,8
Howard,,,,1,1,1,3,1,1,,,,8
Hunt,1,,1,1,,,,,1,,,1,5
Jack,,,,,,1,,,,,,,1
Jackson,,,1,,,,,,,,,,1
Jasper,,,1,,,,,,,,1,,2
Jeff Davis,,,,,,,1,,,,,,1
Jefferson,2,1,1,2,3,,,1,1,2,3,1,17
Jim Hogg,,,1,1,,1,,,,,,,3
Jim Wells,,,,,,1,,,,,,,1
Johnson,1,2,5,4,2,2,,1,3,2,3,3,28
Jones,,,,1,1,,,,,,,,2
Kaufman,1,,2,1,2,,,,5,1,3,1,16
Kendall,,,2,,3,1,,,3,1,2,1,13
Kerr,,,,,1,,,,3,1,,,5
Kleberg,,1,,,,,,,,1,1,,3
Lamar,,,,,,1,,,,2,,,3
Lamb,,,,,,,2,,,,,,2
Lampasas,,,,1,,,,1,,,,,2
Lavaca,,,,1,1,,2,,1,,1,,6
Lee,,,1,,3,,,,1,1,1,,7
Leon,,,,,,,,,,,1,,1
Liberty,,1,1,,,,,,,,1,1,4
Live Oak,,,,,,,,,,,1,,1
Llano,,,,,,,,,,1,1,,2
Lubbock,1,1,3,9,7,6,2,2,3,6,3,2,45
