County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Accomack,,,,2,,,1,,,1,,,4
Albemarle,1,,2,4,9,1,2,2,3,3,6,3,36
Alexandria,1,,4,6,6,4,2,1,1,4,8,1,38
Alleghany,,,,,1,,,,,,,,1
Amherst,,,,,1,,,,,1,1,,3
Arlington,3,2,3,2,3,3,4,4,6,4,5,2,41
Augusta,1,1,2,3,3,1,2,,2,6,6,,27
Bath,,,,,,1,,,1,,,,2
Bedford,,,5,5,4,,,,1,2,,2,19
Bland,,,,1,,,1,,,,,,2
Botetourt,,,,,,1,,,1,1,,1,4
Bristol (city),,,,1,3,1,,,1,,,1,7
Brunswick,,,,1,,,,,,1,,,2
Buchanan,,,1,,1,,,,,,,,2
Buckingham,,,,,,,,,,,1,,1
Campbell,,,,,2,,,,,,1,,3
Caroline,,,,2,,1,,,,,,,3
Charles City,,,1,,,,1,,,,,,2
Charlottesville,1,,,1,,,,1,,,,,3
Charlottesville City,,1,,,,,,,,,,,1
Chesapeake,2,,,4,4,,,,3,5,,2,20
Chesterfield,,2,3,4,1,3,1,2,4,5,3,1,29
Clarke,1,,2,,,,,,1,5,2,1,12
Covington,,,,,,,,,1,,,,1
Culpeper,,,,1,3,,3,,1,,1,1,10
Cumberland,1,,,,1,,,,,,,,2
Danville,,,1,1,,1,1,,,3,1,,8
Dickenson,,,,1,,1,,,,1,,,3
Dinwiddie,,,,,,1,,,,1,,,2
Essex,,,,,,,,,,1,,,1
Fairfax,5,4,12,28,30,11,6,9,25,32,25,7,194
Falls Church,,,1,2,2,2,1,1,2,1,2,1,15
Fauquier,,,1,,3,1,2,,2,4,6,1,20
Fluvanna,,,,,2,2,,,,1,1,,6
Franklin,1,,,3,2,1,,,1,2,,,10
Frederick,1,2,2,5,5,2,3,,1,3,2,3,29
Fredericksburg,1,1,2,4,6,5,3,,4,1,4,2,33
Fredericksburg City,1,,,,,,,,,,,,1
Galax,,,,1,1,,,,,1,,,3
Giles,,,1,,,1,,1,,,,,3
Gloucester,,1,1,,1,1,,,,2,1,,7
Goochland,,1,,,1,,,,1,1,1,,5
Grayson,,,,1,,,,,,1,,,2
Greene,,,,1,,,,,1,1,,1,4
Hampton,2,1,,1,4,4,3,2,1,3,2,1,24
Hanover,,,1,5,5,2,,,4,5,,,22
Harrisonburg,,,2,5,1,,1,1,,3,1,1,15
Henrico,,,1,2,5,1,3,1,4,7,,1,25
Henry,,,,,2,,,1,1,2,1,1,8
Isle of Wight,,1,,1,,,,,,1,,,3
James City,,3,3,4,3,3,2,4,4,6,3,2,37
King George,,1,,,,1,,1,,2,,,5
King William,,,,,1,1,,,,,,,2
Lancaster,,,1,,,,,,2,1,1,,5
Loudon,,,1,3,2,2,,,1,2,2,1,14
Loudoun,2,1,2,9,8,2,,2,4,7,7,3,47
Louisa,,,,,,,,,2,,,,2
Lynchburg City,1,1,2,6,3,1,1,2,3,5,4,1,30
Madison,,,1,,,,,1,,1,,,3
Manassas,2,,2,2,3,5,1,3,3,5,1,,27
Manassas Park,,,,,1,1,,,,,,,2
Martinsville (city),,,1,,,,,,1,,,,2
Mathews,,,,,,1,,,,2,,,3
Mecklenburg,,,,1,,,1,1,1,,,,4
Middlesex,,,,1,,,1,,,,,,2
Montgomery,,1,,3,,2,1,3,3,3,1,1,18
Nelson,,1,,5,1,,,2,,2,1,,12
New Kent,,1,,3,1,,,,,1,,,6
Newport News,1,2,2,3,3,1,1,4,4,4,5,1,31
Newport News City,,,,,,,,,,1,,,1
Norfolk,2,,,1,4,1,2,1,2,3,2,3,21
Norfolk (city),,,1,,1,,,1,,,,,3
Northumberland,,,,,,,1,,,,,,1
Orange,,,,,1,,,,1,1,1,,4
Page,,,1,1,,,,2,1,,1,,6
Patrick,,1,,,1,1,,,1,1,,,5
Petersburg (city),,,,1,1,1,,,,1,,1,5
Pittsylvania,,,,,1,,,,,,,,1
Poquoson (city),,,,,1,,,,,1,,,2
Portsmouth,,,,,,,,,,,1,,1
Powhatan,,,1,,1,,,,2,1,2,1,8
Prince Edward,,,1,1,1,1,,,1,,,1,6
Prince George,,,,,,,,,,,1,,1
Prince William,2,,2,6,7,6,2,5,5,6,8,1,50
Pulaski,,,,2,1,,,,1,1,,,5
Radford,,,,1,,,,,,,,,1
Rappahannock,,,,2,,,,,,1,,2,5
Richmond,1,1,3,15,12,7,4,4,4,14,4,3,72
Roanoke,2,1,3,5,7,5,2,4,5,11,4,2,51
Rockbridge,,,,1,,1,,,1,,2,1,6
Rockingham,1,,,1,3,,,,2,4,1,1,13
Salem,,,,1,,,,,,,,,1
Scott,,,,1,,,,,1,1,,,3
Shenandoah,1,,,,1,3,,,,1,2,,8
Smyth,,,1,1,2,,,1,1,1,,,7
Southampton,,,,,,1,,,,1,,,2
Spotsylvania,,1,2,2,3,,1,1,1,5,1,3,20
Stafford,1,,1,1,,,,1,,2,,,6
Suffolk,,,1,,1,,,1,,,,,3
Surry,,,1,,,,,,,,,,1
