County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Adams,,,,,,1,1,,,,,,2
Ashland,,,,,1,1,1,1,,2,1,1,8
Barron,,,,,2,1,3,,2,,,,8
Bayfield,,,3,,,,,2,1,1,,,7
Brown,1,2,3,,7,7,3,3,4,8,3,1,42
Buffalo,,,,,,,,,,1,,,1
Burnett,,,1,,2,1,2,1,,,,,7
Calumet,,,,,1,2,1,2,1,1,,,8
Chippewa,,,1,2,3,3,2,3,5,1,1,1,22
Clark,,,1,,,,1,1,,1,,,4
Columbia,,,2,1,3,4,2,2,5,4,1,,24
Crawford,,,,1,1,2,,,2,,,,6
Dane,9,9,6,15,23,26,14,20,21,21,10,7,181
Dodge,,,,,1,2,2,,2,4,,,11
Door,,,,,1,6,6,,2,2,,,17
Douglas,1,,,,2,2,3,2,2,1,2,,15
Dunn,,,,,3,,3,1,,2,,,9
Eau Claire,,1,1,6,7,9,4,2,3,6,3,,42
Fond du Lac,1,2,1,1,3,3,2,3,4,2,2,1,25
Forest,,,,,1,,1,,,,,,2
Grant,,,1,,3,1,1,,2,2,,2,12
Green,,,1,,2,1,,2,2,,,,8
Green Lake,,,,,,1,2,,1,,,1,5
Iowa,,,,,1,,1,1,,,,,3
Iron,,,,,,,1,1,,,,,2
Jackson,,,,,2,,2,1,2,,,,7
Jefferson,1,,1,2,5,6,2,3,6,3,3,,32
Juneau,,,,,1,,1,2,3,,,,7
Kenosha,1,1,2,4,6,8,3,7,3,3,7,1,46
Kewaunee,,,,,1,1,2,2,,,,,6
La Crosse,1,1,5,2,4,3,1,2,5,4,3,2,33
Lafayette,,,,,,2,,,1,1,1,,5
Langlade,,,,,,,1,1,,1,,,3
Lincoln,,1,,,1,1,1,2,,,,,6
Manitowoc,,,1,1,2,2,1,6,2,5,2,1,23
Marathon,1,2,1,1,4,6,2,6,5,2,1,,31
Marinette,,1,1,,,,1,2,2,,,,7
Marquette,,,,1,,3,,1,,,,,5
Milwaukee,6,4,6,5,16,19,15,12,21,19,15,4,142
Monroe,,1,,1,1,2,1,1,,1,1,,9
Oconto,,,,,1,,1,2,2,,,,6
Oneida,1,1,,2,1,1,3,6,3,2,1,,21
Outagamie,1,1,1,4,4,1,3,6,6,4,3,,34
Ozaukee,2,,2,1,2,4,3,4,,1,3,1,23
Pepin,,,,,,1,1,,1,,,,3
Pierce,,,,,,1,1,,2,1,3,,8
Polk,,,,1,2,5,,2,3,1,,,14
Portage,,,1,,3,1,,3,2,2,1,1,14
Price,2,,,,,,2,1,1,,1,,7
Racine,,3,3,2,7,2,3,2,7,3,4,2,38
Richland,,,,,,,1,,,,,,1
Rock,,2,2,,6,4,6,2,4,2,4,,32
Rusk,,,,,,,,,1,,,,1
Sauk,1,,,1,3,2,2,2,6,2,1,1,21
Sawyer,,,1,,1,1,,,2,,,,5
Shawano,,,,,1,,1,1,,2,,,5
Sheboygan,1,,,1,6,6,3,4,6,4,1,,32
St. Croix,2,2,1,1,5,6,1,8,8,4,1,1,40
Taylor,2,,,1,,2,2,3,,,,,10
Trempealeau,,,,,1,2,3,3,1,2,1,1,14
Vernon,,,,,2,3,3,,2,2,,,12
Vilas,,,1,,2,3,3,2,3,,,,14
Walworth,1,,1,1,9,9,3,2,5,5,7,2,45
Washburn,,,,,,,2,1,1,1,,,5
Washington,,,1,3,2,5,2,5,4,8,2,,32
Waukesha,4,4,1,7,15,8,21,11,9,12,7,3,102
Waupaca,,1,,2,1,1,3,3,2,3,,1,17
Waushara,,,,1,,,3,1,,2,,,7
Winnebago,1,1,2,4,1,2,5,4,4,6,3,1,34
Wood,,,,3,5,4,3,4,2,6,5,1,33
Total,40,40,55,78,190,200,173,177,196,173,104,37,1463
