Top 50 of 88
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
2.2H run,,,,,,1,,,,,,1,2
fun run,,,,,,,,,4,3,,,7
kids run,,,,1,1,2,4,4,2,1,2,1,18
relay,,,,,1,,,,,,,,1
track meet,,,,,,2,,1,,,,,3
triathlon,,,,,6,2,4,5,,,,1,18
youth triathlon,,,,,1,,1,,,,,,2
1K run,,,,,,,,2,,,,,2
run,,,1,,,2,2,,,,,,5
1M fun run,,,,1,1,1,2,1,,,,,6
1M run,,,2,,1,4,3,,1,,,1,12
1M walk,,,,,,2,1,,,,,,3
2K run,,,,,,1,1,,,,,,2
1.5M run,,,,,,2,2,,,,,,4
2M run,,,,,,1,,1,,1,,,3
2M walk,,,,,,,1,1,,,,,2
3M run,,,,,1,,1,,,,,1,3
5K fun run,,,,1,,,1,1,,,,,3
5K mud run,,,,,1,2,1,,,,,,4
5K novelty run,,,,,1,1,,,1,1,,,4
5K run,2,1,1,7,11,10,7,17,9,3,3,1,72
5K trail run,,,,,,,1,2,,2,,1,6
5K walk,,,,1,2,4,4,7,1,1,,1,21
6K run,,,,,,1,,,1,,1,,3
6K trail run,,1,,,,1,,,,,,,2
4M run,2,1,1,,1,1,,1,,1,1,1,10
7K run,,,,,,,,,1,,,1,2
5M run,,,1,,,2,3,,,1,,,7
5M walk,,,,,,2,,,,,,,2
8K run,1,,,,,,1,,,,1,,3
10K run,1,1,1,2,1,4,3,5,1,1,1,,21
10K trail run,,,,,1,,1,1,,1,,,4
6.5M run,1,,,,,,,,,,,1,2
6.8M run,,,,,,,1,,,,1,,2
7M run,,,1,,1,1,,,,,,,3
7.2M run,,1,,,,1,,,,,,,2
8M run,1,,,,,,3,,,,,,4
9M run,,,,,1,,,2,,,,,3
10M run,,,,,,1,,,1,1,,,3
10M walk,,,,,,1,,,,,,,1
11M run,,,,,1,,,2,,,,,3
13.1M relay,,,,,1,,,,1,,,,2
13.1M run,,,,,2,4,3,3,3,2,,,17
13.1M trail run,,,,,,,,1,,,,1,2
16M run,,,,,,,,3,,,,,3
26.2M relay,,,,,1,1,1,1,2,,,,6
26.2M run,,,,,1,2,3,2,2,1,,,11
26.2M walk,,,,,,1,,1,,,,,2
50M trail run,,,,,,,1,1,,,,,2
100M trail run,,1,,,,,,1,,,,,2
Total,8,6,8,13,38,60,56,66,30,20,10,12,327
