Top 50 of 292
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,7,11,11,9,10,10,14,9,2,1,84
aquathon,,1,,2,3,4,4,5,3,,,,22
duathlon,5,3,4,7,10,5,5,6,7,7,6,,65
fun run,1,1,,2,1,3,2,1,2,1,2,2,18
kids run,20,26,36,40,51,28,28,25,37,67,61,28,447
mud run,1,,1,2,3,3,,,,1,,,11
triathlon,,4,16,26,21,27,21,23,27,20,12,3,200
youth triathlon,,1,2,2,3,8,4,10,2,3,1,,36
1K fun run,4,1,4,3,2,2,,2,,5,4,2,29
1K run,,3,3,2,3,1,,,2,6,1,1,22
1K walk,1,2,2,2,1,,1,,1,6,,,16
1M fun run,1,6,10,5,6,1,4,2,7,13,10,6,71
1M run,1,7,9,5,8,6,7,5,8,10,4,7,77
1M walk,3,3,10,2,8,3,3,2,11,13,7,2,67
3K run,1,,1,1,2,1,2,1,1,2,,1,13
2M run,3,3,6,3,4,3,7,8,7,4,1,3,52
2M walk,,2,3,5,5,7,6,3,5,7,2,3,48
3M run,,1,1,1,,,,1,1,1,4,2,12
5K fun run,,2,14,6,12,4,4,3,11,12,7,4,79
5K mud run,,,6,2,4,1,4,2,6,4,3,,32
5K novelty run,4,3,13,14,13,6,3,6,10,22,11,2,107
5K run,99,100,139,162,201,117,94,98,154,238,218,107,1727
5K trail run,7,6,2,15,13,15,4,6,13,10,11,6,108
5K walk,27,28,49,55,82,53,33,47,63,85,80,26,628
4M run,1,4,4,1,2,1,3,2,2,3,2,2,27
4.5M run,,,,,,5,5,3,1,,1,,15
5M run,3,1,2,4,4,3,7,2,4,3,3,1,37
5M trail run,2,3,3,1,1,2,5,3,1,2,3,1,27
8K run,,4,2,2,1,1,1,1,2,,1,1,16
10K fun run,,,3,2,2,,1,1,,1,,,10
10K run,31,46,47,54,81,41,34,33,59,88,91,36,641
10K trail run,11,5,8,15,10,8,8,12,12,12,12,8,121
10K walk,4,3,9,4,9,6,2,3,6,5,6,1,58
12K run,,,,2,1,,1,2,1,1,,3,11
12K trail run,1,,1,,,1,1,2,1,2,1,,10
15K run,5,7,3,2,1,2,2,2,5,4,10,9,52
15K trail run,2,2,,2,,1,1,2,,3,,,13
10M run,7,2,2,6,2,,1,1,1,4,1,,27
10M trail run,,1,2,2,2,,1,3,1,2,,,14
13.1M relay,1,,3,1,1,1,,,,2,2,1,12
13.1M run,16,18,22,21,27,15,10,16,17,35,41,18,256
13.1M trail run,7,7,10,10,10,13,5,10,7,13,7,5,104
30K trail run,5,2,3,3,1,1,4,3,1,3,4,1,31
26.2M run,4,4,6,2,6,2,1,4,2,10,9,4,54
26.2M trail run,3,2,3,3,6,4,3,3,4,8,3,2,44
50K run,,1,1,2,,2,,2,1,,,2,11
50K trail run,7,5,3,7,8,4,6,11,6,8,7,5,77
50M trail run,1,,2,3,1,2,,3,2,1,2,1,18
100K trail run,1,2,1,,3,,1,2,1,,1,,12
100M trail run,,,,,1,2,,2,2,,2,,9
Total,290,322,478,524,647,424,349,394,531,756,656,307,5678
