Top 50 of 180
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,3,3,4,4,4,3,3,,,24
aquathon,,,,,,9,12,3,,,,,24
duathlon,1,1,,,1,2,3,4,1,2,,1,16
fun run,,,,,,,,2,2,1,1,,6
indoor triathlon,2,1,2,3,,,,,,,,,8
kids run,2,2,3,11,24,9,10,20,22,31,14,4,152
stair climb,,2,,,,1,1,,,,,,4
triathlon,,,,1,11,20,13,11,5,2,,,63
youth triathlon,,,,,4,2,1,7,1,,,,15
1K fun run,,,1,2,1,2,1,,2,3,1,,13
1K walk,,,,2,,,,1,,,1,,4
1M fun run,,,,2,5,7,,1,6,6,4,2,33
1M run,1,,,1,3,4,4,3,1,2,2,1,22
1M walk,,,1,2,4,2,2,2,5,2,2,2,24
2K run,,,1,1,,1,1,1,,,1,,6
2K walk,,,,,,1,1,2,,,,,4
2M run,1,,,1,,2,1,,1,1,1,,8
2M trail run,1,1,1,1,1,1,1,1,2,2,1,1,14
2M walk,,,,2,2,1,,,1,,1,,7
5K fun run,,,3,1,4,3,3,3,8,6,4,2,37
5K mud run,,,,,,1,2,3,1,,,,7
5K novelty run,,,,5,5,4,7,6,3,4,,,34
5K run,19,13,17,54,76,68,35,62,75,64,44,22,549
5K trail run,,,,2,5,3,4,8,6,11,,,39
5K walk,6,5,8,19,36,27,17,31,29,28,17,7,230
4M run,1,4,1,2,2,3,4,2,2,1,2,1,25
4M trail run,,,,,1,1,,1,,1,1,,5
4M walk,,,,,,1,1,1,,,2,,5
5M run,1,2,1,1,5,,2,2,1,1,1,,17
10K run,7,4,3,14,12,23,9,11,18,16,7,3,127
10K trail run,,,,2,2,5,3,9,7,3,,,31
10K walk,,,1,,3,3,,,,,,,7
15K run,1,,,,1,,,,1,1,,,4
10M run,1,2,1,4,3,1,,1,5,4,,,22
12M trail run,,,,,,1,1,,2,,,,4
13.1M relay,,,,1,1,1,,,1,,,,4
13.1M run,2,2,4,7,10,15,12,5,19,10,2,2,90
13.1M trail run,,,1,2,4,2,2,8,7,2,,,28
13.1M walk,,,1,,1,,1,,1,,,,4
25K trail run,,,,2,1,,,,2,,,,5
20M run,,,1,2,,,,1,2,,,,6
26.2M relay,,,,,2,2,,,3,,1,,8
26.2M run,,,1,1,4,6,2,2,7,2,1,,26
26.2M trail run,,,1,1,,3,,3,2,2,,,12
50K trail run,,,,3,1,2,,1,3,1,,,11
50M trail run,,,,,2,2,4,1,2,1,,,12
100M trail run,,,,,,,2,2,1,,,,5
24H run,,,,1,,,,6,1,,,,8
48H run,,,,,,,,5,,,,,5
72H run,,,,,,,,4,,,,,4
Total,46,39,53,156,240,245,166,240,261,213,111,48,1818
