Top 50 of 180
Race Event,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
adventure race,,,,4,6,4,2,3,3,4,,1,27
duathlon,,,2,3,4,3,1,4,2,4,,,23
fun run,2,3,5,6,4,2,1,1,6,6,4,4,44
indoor triathlon,4,1,,1,,,,,,,,,6
kids run,4,9,25,17,19,11,6,10,25,31,17,13,187
run,,,,,2,,,1,2,1,,,6
track meet,,,,,,4,1,,,,,,5
triathlon,,,2,10,8,7,9,11,12,6,,,65
walk,1,,1,1,2,,,,2,1,1,1,10
youth triathlon,,,,1,1,5,2,4,3,1,,,17
1K fun run,1,3,1,6,5,1,,,5,5,1,,28
1K run,,1,3,3,2,1,1,1,2,6,3,2,25
1K walk,,,3,2,1,1,,1,1,1,2,,12
1M fun run,6,22,45,28,32,11,3,27,25,46,26,16,287
1M novelty run,,,1,1,2,,,1,1,2,,1,9
1M run,6,15,23,27,26,11,7,14,13,19,24,10,195
1M walk,3,10,16,13,16,8,1,10,12,16,10,8,123
2K fun run,,,1,1,1,,,,,,1,,4
2K run,,1,1,,1,,,,1,,1,1,6
2K walk,,,1,1,,,,,2,1,1,,6
2M run,,,2,,,1,,,2,1,1,,7
2M walk,,,2,1,,1,,1,3,1,,1,10
4K run,,,,,,,3,,,1,,2,6
5K fun run,,1,2,2,2,3,1,,6,3,1,2,23
5K mud run,1,,1,3,1,,,1,1,1,,,9
5K novelty run,3,1,11,5,10,2,2,4,7,18,4,2,69
5K run,61,97,196,209,203,89,47,99,155,245,176,102,1679
5K trail run,1,3,9,7,5,4,1,5,1,8,4,2,50
5K walk,10,18,51,49,54,31,11,34,52,69,58,24,461
6K run,,,1,,,1,1,,1,3,1,1,9
6K walk,,,1,,,,1,,1,1,,,4
4M run,2,,1,,1,1,1,2,,,4,1,13
4M trail run,1,,,1,,1,1,,,1,,,5
5M run,,,,2,,,1,,,1,,,4
8K run,1,1,,,,,,1,,,1,4,8
10K run,6,22,22,20,22,14,10,12,19,28,17,9,201
10K trail run,,1,3,,,3,1,1,1,3,2,2,17
10K walk,,1,,1,1,2,,1,1,1,4,,12
10.2K run,1,,,,2,,,,1,1,,,5
10.4K run,1,,,1,,,1,,,,1,1,5
12K run,,2,1,,,,1,,,,1,,5
15K run,3,3,,3,2,1,,1,,4,1,,18
15K trail run,,,,,1,,,2,,1,1,1,6
10M run,1,,,,1,,1,,,1,,3,7
13.1M run,5,7,8,9,4,4,3,4,7,9,11,7,78
13.1M trail run,1,3,2,,,4,,1,,,2,,13
26.2M run,2,1,3,,1,1,,,,2,3,,13
26.2M trail run,,1,,,,1,,,,1,1,,4
50K trail run,,1,,1,,1,,,,,1,,4
12H run,,,2,,,,1,,,,1,,4
Total,127,228,448,439,442,234,122,257,375,554,387,221,3834
